Team	Average Ratings
Anaheim Ducks	['Anaheim Ducks', '26', '26.5', '25.33333333', '24.25', '22', '20.66666667', '19.71428571', '19.375', '19', '18.7', '18.45454545', '18.41666667', '18.46153846', '18.78571429', '18.86666667']
Arizona Coyotes	['Arizona Coyotes', '32', '32', '31.66666667', '31.75', '32', '31.66666667', '31.71428571', '31.75', '31.77777778', '31.7', '31.63636364', '31.58333333', '31.53846154', '31.42857143', '31.26666667']
Boston Bruins	['Boston Bruins', '9', '8', '8.666666667', '9.75', '10', '9.5', '9.285714286', '8.875', '9.222222222', '9.4', '9.545454545', '9.416666667', '9.307692308', '9', '8.733333333']
Buffalo Sabres	['Buffalo Sabres', '24', '20', '21.33333333', '22', '23', '23.16666667', '23.85714286', '24.625', '25.11111111', '25.5', '25.90909091', '26.25', '26.53846154', '26.71428571', '26.8']
Calgary Flames	['Calgary Flames', '17', '11', '9', '9.5', '9', '8.333333333', '8.142857143', '9.125', '9.777777778', '10.1', '10.36363636', '11.08333333', '11.61538462', '12.07142857', '12.33333333']
Carolina Hurricanes	['Carolina Hurricanes', '3', '2', '2.333333333', '2', '2', '1.666666667', '1.714285714', '1.625', '1.555555556', '1.5', '1.454545455', '1.416666667', '1.384615385', '1.357142857', '1.333333333']
Chicago Blackhawks	['Chicago Blackhawks', '31', '31', '31.33333333', '30.5', '30', '29.5', '29.14285714', '29.125', '29.22222222', '29.3', '29.18181818', '29.16666667', '29.15384615', '28.78571429', '28.6']
Colorado Avalanche	['Colorado Avalanche', '10', '9', '12', '13', '13', '12.5', '12.42857143', '11.75', '10.88888889', '10.2', '9.545454545', '8.916666667', '8.384615385', '8', '7.666666667']
Columbus Blue Jackets	['Columbus Blue Jackets', '25', '25', '21.33333333', '20.75', '20', '18.83333333', '18.71428571', '18.875', '19.11111111', '19.7', '20.27272727', '20.83333333', '21.23076923', '21.64285714', '21.73333333']
Dallas Stars	['Dallas Stars', '12', '17.5', '19', '20.75', '21', '21.66666667', '20.85714286', '20.625', '20.44444444', '20.4', '20.36363636', '20.08333333', '19.69230769', '19.42857143', '19']
Detroit Red Wings	['Detroit Red Wings', '23', '20.5', '22.33333333', '22.5', '23', '23.33333333', '23', '23', '23', '23.1', '23.18181818', '23.41666667', '23.69230769', '23.85714286', '23.93333333']
Edmonton Oilers	['Edmonton Oilers', '2', '2.5', '2.333333333', '2.5', '3', '2.833333333', '2.571428571', '3.25', '3.666666667', '4.7', '6.181818182', '7.5', '8.538461538', '9.428571429', '9.933333333']
Florida Panthers	['Florida Panthers', '1', '1.5', '1.333333333', '1.5', '2', '1.666666667', '1.857142857', '2', '2.444444444', '2.5', '2.636363636', '2.833333333', '2.923076923', '2.857142857', '2.8']
Los Angeles Kings	['Los Angeles Kings', '28', '28.5', '27.33333333', '24', '23', '22', '22', '21.875', '21.66666667', '21.4', '20.81818182', '20.33333333', '19.84615385', '19.28571429', '19']
Minnesota Wild	['Minnesota Wild', '5', '7.5', '7.333333333', '7.25', '7', '7.833333333', '7.428571429', '7.125', '7.444444444', '8.2', '8.727272727', '9.083333333', '9.307692308', '9.571428571', '9.666666667']
Montreal Canadiens	['Montréal Canadiens', '30', '30', '30', '29.25', '29', '29.5', '29.71428571', '29.875', '30', '30.2', '30.36363636', '30.5', '30.61538462', '30.71428571', '30.8']
Nashville Predators	['Nashville Predators', '27', '25.5', '24', '23.5', '23', '22.16666667', '21.14285714', '19.875', '18.22222222', '17.3', '16.36363636', '15.5', '14.69230769', '14.35714286', '14.06666667']
New Jersey Devils	['New Jersey Devils', '21', '19', '19.33333333', '19.5', '19', '19.5', '20', '20.25', '21', '21.5', '22', '22.16666667', '22.30769231', '22.5', '22.6']
