Rating Date,Team,Division,Absolute Ranking
16/10/2021 (THG),Anaheim Ducks,PAC,26
16/10/2021 (THG),Arizona Coyotes,CEN,32
16/10/2021 (THG),Boston Bruins,ATL,9
16/10/2021 (THG),Buffalo Sabres,ATL,24
16/10/2021 (THG),Calgary Flames,CEN,17
16/10/2021 (THG),Carolina Hurricanes,MET,3
16/10/2021 (THG),Chicago Blackhawks,CEN,31
16/10/2021 (THG),Colorado Avalanche,CEN,10
16/10/2021 (THG),Columbus Blue Jackets,MET,25
16/10/2021 (THG),Dallas Stars,CEN,12
16/10/2021 (THG),Detroit Red Wings,ATL,23
16/10/2021 (THG),Edmonton Oilers,PAC,2
16/10/2021 (THG),Florida Panthers,ATL,1
16/10/2021 (THG),Los Angeles Kings,PAC,28
16/10/2021 (THG),Minnesota Wild,CEN,5
16/10/2021 (THG),Montreal Canadiens,ATL,30
16/10/2021 (THG),Nashville Predators,CEN,27
16/10/2021 (THG),New Jersey Devils,MET,21
16/10/2021 (THG),New York Islanders,MET,14
16/10/2021 (THG),New York Rangers,MET,8
16/10/2021 (THG),Ottawa Senators,ATL,20
16/10/2021 (THG),Philadelphia Flyers,MET,16
16/10/2021 (THG),Pittsburgh Penguins,MET,13
16/10/2021 (THG),San Jose Sharks,PAC,11
16/10/2021 (THG),Seattle Kraken,PAC,29
16/10/2021 (THG),St. Louis Blues,CEN,4
16/10/2021 (THG),Tampa Bay Lightning,ATL,7
16/10/2021 (THG),Toronto Maple Leafs,ATL,15
16/10/2021 (THG),Vancouver Canucks,PAC,22
16/10/2021 (THG),Vegas Golden Knights,PAC,19
16/10/2021 (THG),Washington Capitals,MET,6
16/10/2021 (THG),Winnipeg Jets,CEN,18
23/10/2021 (THG),Anaheim Ducks,PAC,27
23/10/2021 (THG),Arizona Coyotes,CEN,32
23/10/2021 (THG),Boston Bruins,ATL,7
23/10/2021 (THG),Buffalo Sabres,ATL,16
23/10/2021 (THG),Calgary Flames,CEN,5
23/10/2021 (THG),Carolina Hurricanes,MET,1
23/10/2021 (THG),Chicago Blackhawks,CEN,31
23/10/2021 (THG),Colorado Avalanche,CEN,8
23/10/2021 (THG),Columbus Blue Jackets,MET,25
23/10/2021 (THG),Dallas Stars,CEN,23
23/10/2021 (THG),Detroit Red Wings,ATL,18
23/10/2021 (THG),Edmonton Oilers,PAC,3
23/10/2021 (THG),Florida Panthers,ATL,2
23/10/2021 (THG),Los Angeles Kings,PAC,29
23/10/2021 (THG),Minnesota Wild,CEN,10
23/10/2021 (THG),Montreal Canadiens,ATL,30
23/10/2021 (THG),Nashville Predators,CEN,24
23/10/2021 (THG),New Jersey Devils,MET,17
23/10/2021 (THG),New York Islanders,MET,12
23/10/2021 (THG),New York Rangers,MET,13
23/10/2021 (THG),Ottawa Senators,ATL,22
23/10/2021 (THG),Philadelphia Flyers,MET,9
23/10/2021 (THG),Pittsburgh Penguins,MET,19
23/10/2021 (THG),San Jose Sharks,PAC,14
23/10/2021 (THG),Seattle Kraken,PAC,26
23/10/2021 (THG),St. Louis Blues,CEN,4
23/10/2021 (THG),Tampa Bay Lightning,ATL,11
23/10/2021 (THG),Toronto Maple Leafs,ATL,21
23/10/2021 (THG),Vancouver Canucks,PAC,28
23/10/2021 (THG),Vegas Golden Knights,PAC,20
23/10/2021 (THG),Washington Capitals,MET,6
23/10/2021 (THG),Winnipeg Jets,CEN,15
30/10/2021 (THG),Anaheim Ducks,PAC,23
30/10/2021 (THG),Arizona Coyotes,CEN,31
30/10/2021 (THG),Boston Bruins,ATL,10
30/10/2021 (THG),Buffalo Sabres,ATL,24
30/10/2021 (THG),Calgary Flames,CEN,5
30/10/2021 (THG),Carolina Hurricanes,MET,3
30/10/2021 (THG),Chicago Blackhawks,CEN,32
30/10/2021 (THG),Colorado Avalanche,CEN,18
30/10/2021 (THG),Columbus Blue Jackets,MET,14
30/10/2021 (THG),Dallas Stars,CEN,22
30/10/2021 (THG),Detroit Red Wings,ATL,26
30/10/2021 (THG),Edmonton Oilers,PAC,2
30/10/2021 (THG),Florida Panthers,ATL,1
30/10/2021 (THG),Los Angeles Kings,PAC,25
30/10/2021 (THG),Minnesota Wild,CEN,7
30/10/2021 (THG),Montreal Canadiens,ATL,30
30/10/2021 (THG),Nashville Predators,CEN,21
30/10/2021 (THG),New Jersey Devils,MET,20
30/10/2021 (THG),New York Islanders,MET,11
30/10/2021 (THG),New York Rangers,MET,16
30/10/2021 (THG),Ottawa Senators,ATL,28
30/10/2021 (THG),Philadelphia Flyers,MET,6
30/10/2021 (THG),Pittsburgh Penguins,MET,19
30/10/2021 (THG),San Jose Sharks,PAC,13
30/10/2021 (THG),Seattle Kraken,PAC,29
30/10/2021 (THG),St. Louis Blues,CEN,4
30/10/2021 (THG),Tampa Bay Lightning,ATL,9
30/10/2021 (THG),Toronto Maple Leafs,ATL,8
30/10/2021 (THG),Vancouver Canucks,PAC,27
30/10/2021 (THG),Vegas Golden Knights,PAC,17
30/10/2021 (THG),Washington Capitals,MET,12
30/10/2021 (THG),Winnipeg Jets,CEN,15
6/11/2021 (THG),Anaheim Ducks,PAC,21
6/11/2021 (THG),Arizona Coyotes,CEN,32
6/11/2021 (THG),Boston Bruins,ATL,13
6/11/2021 (THG),Buffalo Sabres,ATL,24
6/11/2021 (THG),Calgary Flames,CEN,11
6/11/2021 (THG),Carolina Hurricanes,MET,1
6/11/2021 (THG),Chicago Blackhawks,CEN,28
6/11/2021 (THG),Colorado Avalanche,CEN,16
6/11/2021 (THG),Columbus Blue Jackets,MET,19
6/11/2021 (THG),Dallas Stars,CEN,26
6/11/2021 (THG),Detroit Red Wings,ATL,23
6/11/2021 (THG),Edmonton Oilers,PAC,3
6/11/2021 (THG),Florida Panthers,ATL,2
6/11/2021 (THG),Los Angeles Kings,PAC,14
6/11/2021 (THG),Minnesota Wild,CEN,7
6/11/2021 (THG),Montreal Canadiens,ATL,27
6/11/2021 (THG),Nashville Predators,CEN,22
6/11/2021 (THG),New Jersey Devils,MET,20
6/11/2021 (THG),New York Islanders,MET,15
6/11/2021 (THG),New York Rangers,MET,12
6/11/2021 (THG),Ottawa Senators,ATL,29
6/11/2021 (THG),Philadelphia Flyers,MET,8
6/11/2021 (THG),Pittsburgh Penguins,MET,25
6/11/2021 (THG),San Jose Sharks,PAC,18
6/11/2021 (THG),Seattle Kraken,PAC,31
6/11/2021 (THG),St. Louis Blues,CEN,5
6/11/2021 (THG),Tampa Bay Lightning,ATL,6
6/11/2021 (THG),Toronto Maple Leafs,ATL,4
6/11/2021 (THG),Vancouver Canucks,PAC,30
6/11/2021 (THG),Vegas Golden Knights,PAC,17
6/11/2021 (THG),Washington Capitals,MET,9
6/11/2021 (THG),Winnipeg Jets,CEN,10
13/11/2021 (THG),Anaheim Ducks,PAC,14
13/11/2021 (THG),Arizona Coyotes,CEN,31
13/11/2021 (THG),Boston Bruins,ATL,11
13/11/2021 (THG),Buffalo Sabres,ATL,27
13/11/2021 (THG),Calgary Flames,CEN,9
13/11/2021 (THG),Carolina Hurricanes,MET,1
13/11/2021 (THG),Chicago Blackhawks,CEN,26
13/11/2021 (THG),Colorado Avalanche,CEN,15
13/11/2021 (THG),Columbus Blue Jackets,MET,18
13/11/2021 (THG),Dallas Stars,CEN,24
13/11/2021 (THG),Detroit Red Wings,ATL,25
13/11/2021 (THG),Edmonton Oilers,PAC,3
13/11/2021 (THG),Florida Panthers,ATL,2
13/11/2021 (THG),Los Angeles Kings,PAC,17
13/11/2021 (THG),Minnesota Wild,CEN,8
13/11/2021 (THG),Montreal Canadiens,ATL,30
13/11/2021 (THG),Nashville Predators,CEN,22
13/11/2021 (THG),New Jersey Devils,MET,19
13/11/2021 (THG),New York Islanders,MET,21
13/11/2021 (THG),New York Rangers,MET,12
13/11/2021 (THG),Ottawa Senators,ATL,28
13/11/2021 (THG),Philadelphia Flyers,MET,10
13/11/2021 (THG),Pittsburgh Penguins,MET,23
13/11/2021 (THG),San Jose Sharks,PAC,20
13/11/2021 (THG),Seattle Kraken,PAC,32
13/11/2021 (THG),St. Louis Blues,CEN,16
13/11/2021 (THG),Tampa Bay Lightning,ATL,5
13/11/2021 (THG),Toronto Maple Leafs,ATL,6
13/11/2021 (THG),Vancouver Canucks,PAC,29
13/11/2021 (THG),Vegas Golden Knights,PAC,13
13/11/2021 (THG),Washington Capitals,MET,4
13/11/2021 (THG),Winnipeg Jets,CEN,7
20/11/2021 (v1.0),Anaheim Ducks,PAC,13
20/11/2021 (v1.0),Arizona Coyotes,CEN,32
20/11/2021 (v1.0),Boston Bruins,ATL,7
20/11/2021 (v1.0),Buffalo Sabres,ATL,24
20/11/2021 (v1.0),Calgary Flames,CEN,3
20/11/2021 (v1.0),Carolina Hurricanes,MET,1
20/11/2021 (v1.0),Chicago Blackhawks,CEN,29
20/11/2021 (v1.0),Colorado Avalanche,CEN,8
20/11/2021 (v1.0),Columbus Blue Jackets,MET,12
20/11/2021 (v1.0),Dallas Stars,CEN,23
20/11/2021 (v1.0),Detroit Red Wings,ATL,25
20/11/2021 (v1.0),Edmonton Oilers,PAC,4
20/11/2021 (v1.0),Florida Panthers,ATL,2
20/11/2021 (v1.0),Los Angeles Kings,PAC,19
20/11/2021 (v1.0),Minnesota Wild,CEN,10
20/11/2021 (v1.0),Montreal Canadiens,ATL,30
20/11/2021 (v1.0),Nashville Predators,CEN,17
20/11/2021 (v1.0),New Jersey Devils,MET,20
20/11/2021 (v1.0),New York Islanders,MET,28
20/11/2021 (v1.0),New York Rangers,MET,14
20/11/2021 (v1.0),Ottawa Senators,ATL,31
20/11/2021 (v1.0),Philadelphia Flyers,MET,22
20/11/2021 (v1.0),Pittsburgh Penguins,MET,18
20/11/2021 (v1.0),San Jose Sharks,PAC,21
20/11/2021 (v1.0),Seattle Kraken,PAC,26
20/11/2021 (v1.0),St. Louis Blues,CEN,9
20/11/2021 (v1.0),Tampa Bay Lightning,ATL,11
20/11/2021 (v1.0),Toronto Maple Leafs,ATL,6
20/11/2021 (v1.0),Vancouver Canucks,PAC,27
20/11/2021 (v1.0),Vegas Golden Knights,PAC,15
20/11/2021 (v1.0),Washington Capitals,MET,5
20/11/2021 (v1.0),Winnipeg Jets,CEN,16
27/11/2021 (v2.0),Anaheim Ducks,PAC,14
27/11/2021 (v2.0),Arizona Coyotes,CEN,32
27/11/2021 (v2.0),Boston Bruins,ATL,8
27/11/2021 (v2.0),Buffalo Sabres,ATL,28
27/11/2021 (v2.0),Calgary Flames,CEN,7
27/11/2021 (v2.0),Carolina Hurricanes,MET,2
27/11/2021 (v2.0),Chicago Blackhawks,CEN,27
27/11/2021 (v2.0),Colorado Avalanche,CEN,12
27/11/2021 (v2.0),Columbus Blue Jackets,MET,18
27/11/2021 (v2.0),Dallas Stars,CEN,16
27/11/2021 (v2.0),Detroit Red Wings,ATL,21
27/11/2021 (v2.0),Edmonton Oilers,PAC,1
27/11/2021 (v2.0),Florida Panthers,ATL,3
27/11/2021 (v2.0),Los Angeles Kings,PAC,22
27/11/2021 (v2.0),Minnesota Wild,CEN,5
27/11/2021 (v2.0),Montreal Canadiens,ATL,31
27/11/2021 (v2.0),Nashville Predators,CEN,15
27/11/2021 (v2.0),New Jersey Devils,MET,23
27/11/2021 (v2.0),New York Islanders,MET,29
27/11/2021 (v2.0),New York Rangers,MET,6
27/11/2021 (v2.0),Ottawa Senators,ATL,30
27/11/2021 (v2.0),Philadelphia Flyers,MET,25
27/11/2021 (v2.0),Pittsburgh Penguins,MET,20
27/11/2021 (v2.0),San Jose Sharks,PAC,17
27/11/2021 (v2.0),Seattle Kraken,PAC,24
27/11/2021 (v2.0),St. Louis Blues,CEN,13
27/11/2021 (v2.0),Tampa Bay Lightning,ATL,9
27/11/2021 (v2.0),Toronto Maple Leafs,ATL,4
27/11/2021 (v2.0),Vancouver Canucks,PAC,26
27/11/2021 (v2.0),Vegas Golden Knights,PAC,11
27/11/2021 (v2.0),Washington Capitals,MET,10
27/11/2021 (v2.0),Winnipeg Jets,CEN,19
4/12/2021 (v2.1),Anaheim Ducks,PAC,17
4/12/2021 (v2.1),Arizona Coyotes,CEN,32
4/12/2021 (v2.1),Boston Bruins,ATL,6
4/12/2021 (v2.1),Buffalo Sabres,ATL,30
4/12/2021 (v2.1),Calgary Flames,CEN,16
4/12/2021 (v2.1),Carolina Hurricanes,MET,1
4/12/2021 (v2.1),Chicago Blackhawks,CEN,29
4/12/2021 (v2.1),Colorado Avalanche,CEN,7
4/12/2021 (v2.1),Columbus Blue Jackets,MET,20
4/12/2021 (v2.1),Dallas Stars,CEN,19
4/12/2021 (v2.1),Detroit Red Wings,ATL,23
4/12/2021 (v2.1),Edmonton Oilers,PAC,8
4/12/2021 (v2.1),Florida Panthers,ATL,3
4/12/2021 (v2.1),Los Angeles Kings,PAC,21
4/12/2021 (v2.1),Minnesota Wild,CEN,5
4/12/2021 (v2.1),Montreal Canadiens,ATL,31
4/12/2021 (v2.1),Nashville Predators,CEN,11
4/12/2021 (v2.1),New Jersey Devils,MET,22
4/12/2021 (v2.1),New York Islanders,MET,26
4/12/2021 (v2.1),New York Rangers,MET,4
4/12/2021 (v2.1),Ottawa Senators,ATL,28
4/12/2021 (v2.1),Philadelphia Flyers,MET,24
4/12/2021 (v2.1),Pittsburgh Penguins,MET,14
4/12/2021 (v2.1),San Jose Sharks,PAC,15
4/12/2021 (v2.1),Seattle Kraken,PAC,25
4/12/2021 (v2.1),St. Louis Blues,CEN,10
4/12/2021 (v2.1),Tampa Bay Lightning,ATL,13
4/12/2021 (v2.1),Toronto Maple Leafs,ATL,2
4/12/2021 (v2.1),Vancouver Canucks,PAC,27
4/12/2021 (v2.1),Vegas Golden Knights,PAC,12
4/12/2021 (v2.1),Washington Capitals,MET,9
4/12/2021 (v2.1),Winnipeg Jets,CEN,18
11/12/2021 (v2.2),Anaheim Ducks,PAC,16
11/12/2021 (v2.2),Arizona Coyotes,CEN,32
11/12/2021 (v2.2),Boston Bruins,ATL,12
11/12/2021 (v2.2),Buffalo Sabres,ATL,29
11/12/2021 (v2.2),Calgary Flames,CEN,15
11/12/2021 (v2.2),Carolina Hurricanes,MET,1
11/12/2021 (v2.2),Chicago Blackhawks,CEN,30
11/12/2021 (v2.2),Colorado Avalanche,CEN,4
11/12/2021 (v2.2),Columbus Blue Jackets,MET,21
11/12/2021 (v2.2),Dallas Stars,CEN,19
11/12/2021 (v2.2),Detroit Red Wings,ATL,23
11/12/2021 (v2.2),Edmonton Oilers,PAC,7
11/12/2021 (v2.2),Florida Panthers,ATL,6
11/12/2021 (v2.2),Los Angeles Kings,PAC,20
11/12/2021 (v2.2),Minnesota Wild,CEN,10
11/12/2021 (v2.2),Montreal Canadiens,ATL,31
11/12/2021 (v2.2),Nashville Predators,CEN,5
11/12/2021 (v2.2),New Jersey Devils,MET,27
11/12/2021 (v2.2),New York Islanders,MET,26
11/12/2021 (v2.2),New York Rangers,MET,3
11/12/2021 (v2.2),Ottawa Senators,ATL,28
11/12/2021 (v2.2),Philadelphia Flyers,MET,24
11/12/2021 (v2.2),Pittsburgh Penguins,MET,14
11/12/2021 (v2.2),San Jose Sharks,PAC,17
11/12/2021 (v2.2),Seattle Kraken,PAC,25
11/12/2021 (v2.2),St. Louis Blues,CEN,13
11/12/2021 (v2.2),Tampa Bay Lightning,ATL,9
11/12/2021 (v2.2),Toronto Maple Leafs,ATL,2
11/12/2021 (v2.2),Vancouver Canucks,PAC,22
11/12/2021 (v2.2),Vegas Golden Knights,PAC,8
11/12/2021 (v2.2),Washington Capitals,MET,11
11/12/2021 (v2.2),Winnipeg Jets,CEN,18
1/1/2022 (v2.3),Anaheim Ducks,PAC,16
1/1/2022 (v2.3),Arizona Coyotes,CEN,31
1/1/2022 (v2.3),Boston Bruins,ATL,11
1/1/2022 (v2.3),Buffalo Sabres,ATL,29
1/1/2022 (v2.3),Calgary Flames,CEN,13
1/1/2022 (v2.3),Carolina Hurricanes,MET,1
1/1/2022 (v2.3),Chicago Blackhawks,CEN,30
1/1/2022 (v2.3),Colorado Avalanche,CEN,4
1/1/2022 (v2.3),Columbus Blue Jackets,MET,25
1/1/2022 (v2.3),Dallas Stars,CEN,20
1/1/2022 (v2.3),Detroit Red Wings,ATL,24
1/1/2022 (v2.3),Edmonton Oilers,PAC,14
1/1/2022 (v2.3),Florida Panthers,ATL,3
1/1/2022 (v2.3),Los Angeles Kings,PAC,19
1/1/2022 (v2.3),Minnesota Wild,CEN,15
1/1/2022 (v2.3),Montreal Canadiens,ATL,32
1/1/2022 (v2.3),Nashville Predators,CEN,9
1/1/2022 (v2.3),New Jersey Devils,MET,26
1/1/2022 (v2.3),New York Islanders,MET,22
1/1/2022 (v2.3),New York Rangers,MET,10
1/1/2022 (v2.3),Ottawa Senators,ATL,28
1/1/2022 (v2.3),Philadelphia Flyers,MET,23
1/1/2022 (v2.3),Pittsburgh Penguins,MET,8
1/1/2022 (v2.3),San Jose Sharks,PAC,17
1/1/2022 (v2.3),Seattle Kraken,PAC,27
1/1/2022 (v2.3),St. Louis Blues,CEN,5
1/1/2022 (v2.3),Tampa Bay Lightning,ATL,12
1/1/2022 (v2.3),Toronto Maple Leafs,ATL,2
1/1/2022 (v2.3),Vancouver Canucks,PAC,21
1/1/2022 (v2.3),Vegas Golden Knights,PAC,6
1/1/2022 (v2.3),Washington Capitals,MET,7
