Rating Date,Team,Division,Average Ranking
16/10/2021 (THG),Anaheim Ducks,PAC,26.000
16/10/2021 (THG),Arizona Coyotes,CEN,32.000
16/10/2021 (THG),Boston Bruins,ATL,9.000
16/10/2021 (THG),Buffalo Sabres,ATL,24.000
16/10/2021 (THG),Calgary Flames,CEN,17.000
16/10/2021 (THG),Carolina Hurricanes,MET,3.000
16/10/2021 (THG),Chicago Blackhawks,CEN,31.000
16/10/2021 (THG),Colorado Avalanche,CEN,10.000
16/10/2021 (THG),Columbus Blue Jackets,MET,25.000
16/10/2021 (THG),Dallas Stars,CEN,12.000
16/10/2021 (THG),Detroit Red Wings,ATL,23.000
16/10/2021 (THG),Edmonton Oilers,PAC,2.000
16/10/2021 (THG),Florida Panthers,ATL,1.000
16/10/2021 (THG),Los Angeles Kings,PAC,28.000
16/10/2021 (THG),Minnesota Wild,CEN,5.000
16/10/2021 (THG),Montréal Canadiens,ATL,30.000
16/10/2021 (THG),Nashville Predators,CEN,27.000
16/10/2021 (THG),New Jersey Devils,MET,21.000
16/10/2021 (THG),New York Islanders,MET,14.000
16/10/2021 (THG),New York Rangers,MET,8.000
16/10/2021 (THG),Ottawa Senators,ATL,20.000
16/10/2021 (THG),Philadelphia Flyers,MET,16.000
16/10/2021 (THG),Pittsburgh Penguins,MET,13.000
16/10/2021 (THG),San Jose Sharks,PAC,11.000
16/10/2021 (THG),Seattle Kraken,PAC,29.000
16/10/2021 (THG),St. Louis Blues,CEN,4.000
16/10/2021 (THG),Tampa Bay Lightning,ATL,7.000
16/10/2021 (THG),Toronto Maple Leafs,ATL,15.000
16/10/2021 (THG),Vancouver Canucks,PAC,22.000
16/10/2021 (THG),Vegas Golden Knights,PAC,19.000
16/10/2021 (THG),Washington Capitals,MET,6.000
16/10/2021 (THG),Winnipeg Jets,CEN,18.000
23/10/2021 (THG),Anaheim Ducks,PAC,26.500
23/10/2021 (THG),Arizona Coyotes,CEN,32.000
23/10/2021 (THG),Boston Bruins,ATL,8.000
23/10/2021 (THG),Buffalo Sabres,ATL,20.000
23/10/2021 (THG),Calgary Flames,CEN,11.000
23/10/2021 (THG),Carolina Hurricanes,MET,2.000
23/10/2021 (THG),Chicago Blackhawks,CEN,31.000
23/10/2021 (THG),Colorado Avalanche,CEN,9.000
23/10/2021 (THG),Columbus Blue Jackets,MET,25.000
23/10/2021 (THG),Dallas Stars,CEN,17.500
23/10/2021 (THG),Detroit Red Wings,ATL,20.500
23/10/2021 (THG),Edmonton Oilers,PAC,2.500
23/10/2021 (THG),Florida Panthers,ATL,1.500
23/10/2021 (THG),Los Angeles Kings,PAC,28.500
23/10/2021 (THG),Minnesota Wild,CEN,7.500
23/10/2021 (THG),Montréal Canadiens,ATL,30.000
23/10/2021 (THG),Nashville Predators,CEN,25.500
23/10/2021 (THG),New Jersey Devils,MET,19.000
23/10/2021 (THG),New York Islanders,MET,13.000
23/10/2021 (THG),New York Rangers,MET,10.500
23/10/2021 (THG),Ottawa Senators,ATL,21.000
23/10/2021 (THG),Philadelphia Flyers,MET,12.500
23/10/2021 (THG),Pittsburgh Penguins,MET,16.000
23/10/2021 (THG),San Jose Sharks,PAC,12.500
23/10/2021 (THG),Seattle Kraken,PAC,27.500
23/10/2021 (THG),St. Louis Blues,CEN,4.000
23/10/2021 (THG),Tampa Bay Lightning,ATL,9.000
23/10/2021 (THG),Toronto Maple Leafs,ATL,18.000
23/10/2021 (THG),Vancouver Canucks,PAC,25.000
23/10/2021 (THG),Vegas Golden Knights,PAC,19.500
23/10/2021 (THG),Washington Capitals,MET,6.000
23/10/2021 (THG),Winnipeg Jets,CEN,16.500
30/10/2021 (THG),Anaheim Ducks,PAC,25.333
30/10/2021 (THG),Arizona Coyotes,CEN,31.667
30/10/2021 (THG),Boston Bruins,ATL,8.667
30/10/2021 (THG),Buffalo Sabres,ATL,21.333
30/10/2021 (THG),Calgary Flames,CEN,9.000
30/10/2021 (THG),Carolina Hurricanes,MET,2.333
30/10/2021 (THG),Chicago Blackhawks,CEN,31.333
30/10/2021 (THG),Colorado Avalanche,CEN,12.000
30/10/2021 (THG),Columbus Blue Jackets,MET,21.333
30/10/2021 (THG),Dallas Stars,CEN,19.000
30/10/2021 (THG),Detroit Red Wings,ATL,22.333
30/10/2021 (THG),Edmonton Oilers,PAC,2.333
30/10/2021 (THG),Florida Panthers,ATL,1.333
30/10/2021 (THG),Los Angeles Kings,PAC,27.333
30/10/2021 (THG),Minnesota Wild,CEN,7.333
30/10/2021 (THG),Montréal Canadiens,ATL,30.000
30/10/2021 (THG),Nashville Predators,CEN,24.000
30/10/2021 (THG),New Jersey Devils,MET,19.333
30/10/2021 (THG),New York Islanders,MET,12.333
30/10/2021 (THG),New York Rangers,MET,12.333
30/10/2021 (THG),Ottawa Senators,ATL,23.333
30/10/2021 (THG),Philadelphia Flyers,MET,10.333
30/10/2021 (THG),Pittsburgh Penguins,MET,17.000
30/10/2021 (THG),San Jose Sharks,PAC,12.667
30/10/2021 (THG),Seattle Kraken,PAC,28.000
30/10/2021 (THG),St. Louis Blues,CEN,4.000
30/10/2021 (THG),Tampa Bay Lightning,ATL,9.000
30/10/2021 (THG),Toronto Maple Leafs,ATL,14.667
30/10/2021 (THG),Vancouver Canucks,PAC,25.667
30/10/2021 (THG),Vegas Golden Knights,PAC,18.667
30/10/2021 (THG),Washington Capitals,MET,8.000
30/10/2021 (THG),Winnipeg Jets,CEN,16.000
6/11/2021 (THG),Anaheim Ducks,PAC,24.250
6/11/2021 (THG),Arizona Coyotes,CEN,31.750
6/11/2021 (THG),Boston Bruins,ATL,9.750
6/11/2021 (THG),Buffalo Sabres,ATL,22.000
6/11/2021 (THG),Calgary Flames,CEN,9.500
6/11/2021 (THG),Carolina Hurricanes,MET,2.000
6/11/2021 (THG),Chicago Blackhawks,CEN,30.500
6/11/2021 (THG),Colorado Avalanche,CEN,13.000
6/11/2021 (THG),Columbus Blue Jackets,MET,20.750
6/11/2021 (THG),Dallas Stars,CEN,20.750
6/11/2021 (THG),Detroit Red Wings,ATL,22.500
6/11/2021 (THG),Edmonton Oilers,PAC,2.500
6/11/2021 (THG),Florida Panthers,ATL,1.500
6/11/2021 (THG),Los Angeles Kings,PAC,24.000
6/11/2021 (THG),Minnesota Wild,CEN,7.250
6/11/2021 (THG),Montréal Canadiens,ATL,29.250
6/11/2021 (THG),Nashville Predators,CEN,23.500
6/11/2021 (THG),New Jersey Devils,MET,19.500
6/11/2021 (THG),New York Islanders,MET,13.000
6/11/2021 (THG),New York Rangers,MET,12.250
6/11/2021 (THG),Ottawa Senators,ATL,24.750
6/11/2021 (THG),Philadelphia Flyers,MET,9.750
6/11/2021 (THG),Pittsburgh Penguins,MET,19.000
6/11/2021 (THG),San Jose Sharks,PAC,14.000
6/11/2021 (THG),Seattle Kraken,PAC,28.750
6/11/2021 (THG),St. Louis Blues,CEN,4.250
6/11/2021 (THG),Tampa Bay Lightning,ATL,8.250
6/11/2021 (THG),Toronto Maple Leafs,ATL,12.000
6/11/2021 (THG),Vancouver Canucks,PAC,26.750
6/11/2021 (THG),Vegas Golden Knights,PAC,18.250
6/11/2021 (THG),Washington Capitals,MET,8.250
6/11/2021 (THG),Winnipeg Jets,CEN,14.500
13/11/2021 (THG),Anaheim Ducks,PAC,22.200
13/11/2021 (THG),Arizona Coyotes,CEN,31.600
13/11/2021 (THG),Boston Bruins,ATL,10.000
13/11/2021 (THG),Buffalo Sabres,ATL,23.000
13/11/2021 (THG),Calgary Flames,CEN,9.400
13/11/2021 (THG),Carolina Hurricanes,MET,1.800
13/11/2021 (THG),Chicago Blackhawks,CEN,29.600
13/11/2021 (THG),Colorado Avalanche,CEN,13.400
13/11/2021 (THG),Columbus Blue Jackets,MET,20.200
13/11/2021 (THG),Dallas Stars,CEN,21.400
13/11/2021 (THG),Detroit Red Wings,ATL,23.000
13/11/2021 (THG),Edmonton Oilers,PAC,2.600
13/11/2021 (THG),Florida Panthers,ATL,1.600
13/11/2021 (THG),Los Angeles Kings,PAC,22.600
13/11/2021 (THG),Minnesota Wild,CEN,7.400
13/11/2021 (THG),Montréal Canadiens,ATL,29.400
13/11/2021 (THG),Nashville Predators,CEN,23.200
13/11/2021 (THG),New Jersey Devils,MET,19.400
