Team,Last 10 Games
Anaheim Ducks,3-6-1
Arizona Coyotes,5-5-0
Boston Bruins,7-2-1
Buffalo Sabres,4-6-0
Calgary Flames,8-1-1
Carolina Hurricanes,6-2-2
Chicago Blackhawks,4-5-1
Colorado Avalanche,6-3-1
Columbus Blue Jackets,5-3-2
Dallas Stars,8-1-1
Detroit Red Wings,4-6-0
Edmonton Oilers,5-4-1
Florida Panthers,6-4-0
Los Angeles Kings,7-3-0
Minnesota Wild,4-6-0
Montreal Canadiens,7-3-0
Nashville Predators,4-6-0
New Jersey Devils,4-6-0
New York Islanders,4-4-2
New York Rangers,7-2-1
Ottawa Senators,3-6-1
Philadelphia Flyers,2-6-2
Pittsburgh Penguins,6-2-2
San Jose Sharks,2-5-3
Seattle Kraken,2-7-1
St. Louis Blues,6-3-1
Tampa Bay Lightning,7-2-1
Toronto Maple Leafs,5-4-1
Vancouver Canucks,7-3-0
Vegas Golden Knights,4-5-1
Washington Capitals,5-5-0
Winnipeg Jets,4-4-2
