Team,Season,GP,P%,GF in P1,GA in P1,GF in P2,GA in P2,Wins Lead 1P,Loss Lead 1P,Ties Lead 1P,OT Loss Lead 1P,Win% Lead 1P,Wins Lead 2P,Loss Lead 2P,Ties Lead 2P,OT Loss Lead 2P,Win% Lead 2P,Wins Trail 1P,Loss Trail 1P,Ties Trail 1P,OT Loss Trail 1P,Win% Trail 1P,Wins Trail 2P,Loss Trail 2P,Ties Trail 2P,OT Loss Trail 2P,Win% Trail 2P
Anaheim Ducks,20212022,79,0.468,66,73,78,78,19,2,0,4,0.76,20,3,0,3,0.769,4,20,0,7,0.129,1,24,0,4,0.034
Arizona Coyotes,20212022,79,0.323,53,87,62,114,8,4,0,1,0.615,13,2,0,0,0.867,5,27,0,4,0.139,4,39,0,4,0.085
Boston Bruins,20212022,78,0.647,77,60,83,76,27,5,0,1,0.818,30,1,0,3,0.882,6,14,0,2,0.273,4,19,0,2,0.16
Buffalo Sabres,20212022,80,0.456,62,84,93,100,12,6,0,4,0.545,21,4,0,6,0.677,6,23,0,4,0.182,2,28,0,2,0.063
Calgary Flames,20212022,79,0.684,91,51,88,69,31,6,0,1,0.816,40,1,0,2,0.93,3,7,0,3,0.231,2,13,0,3,0.111
Carolina Hurricanes,20212022,79,0.696,66,51,88,76,27,2,0,4,0.818,32,1,0,3,0.889,7,11,0,2,0.35,7,18,0,2,0.259
Chicago Blackhawks,20212022,79,0.399,59,78,65,93,10,4,0,4,0.556,19,3,0,4,0.731,4,21,0,3,0.143,2,36,0,4,0.048
Colorado Avalanche,20212022,78,0.744,85,58,94,73,30,2,0,0,0.938,38,1,0,2,0.927,6,9,0,1,0.375,6,12,0,3,0.286
Columbus Blue Jackets,20212022,78,0.494,75,90,75,91,15,6,0,2,0.652,19,4,0,4,0.704,3,19,0,2,0.125,8,25,0,1,0.235
Dallas Stars,20212022,79,0.589,64,57,79,86,26,3,0,0,0.897,26,4,0,1,0.839,6,14,0,2,0.273,4,19,0,3,0.154
Detroit Red Wings,20212022,79,0.443,49,84,84,91,13,2,0,3,0.722,22,2,0,3,0.815,5,27,0,4,0.139,3,32,0,1,0.083
Edmonton Oilers,20212022,78,0.628,85,77,86,70,27,1,0,0,0.964,34,1,0,1,0.944,6,20,0,3,0.207,5,23,0,1,0.172
Florida Panthers,20212022,78,0.769,97,70,108,81,28,3,0,1,0.875,38,0,0,1,0.974,14,4,0,3,0.667,11,13,0,1,0.44
Los Angeles Kings,20212022,80,0.6,55,63,87,86,17,4,0,1,0.773,29,2,0,5,0.806,6,16,0,4,0.231,7,21,0,3,0.226
Minnesota Wild,20212022,78,0.686,89,75,95,75,30,1,0,1,0.938,33,0,0,3,0.917,7,12,0,3,0.318,7,19,0,4,0.233
Montreal Canadiens,20212022,79,0.323,50,95,86,100,11,3,0,2,0.688,14,2,0,1,0.824,4,31,0,8,0.093,3,39,0,6,0.063
Nashville Predators,20212022,78,0.596,74,63,85,80,24,3,0,0,0.889,31,0,0,1,0.969,3,18,0,1,0.136,2,20,0,0,0.091
New Jersey Devils,20212022,78,0.397,72,84,75,105,14,7,0,4,0.56,16,2,0,3,0.762,5,21,0,2,0.179,4,36,0,3,0.093
New York Islanders,20212022,78,0.513,63,65,70,69,19,3,0,1,0.826,26,2,0,2,0.867,2,20,0,5,0.074,1,27,0,3,0.032
New York Rangers,20212022,79,0.684,64,57,78,74,24,4,0,0,0.857,31,1,0,3,0.886,11,12,0,4,0.407,4,17,0,2,0.174
Ottawa Senators,20212022,79,0.437,67,67,79,87,13,5,0,3,0.619,22,1,0,2,0.88,5,15,0,2,0.227,3,32,0,1,0.083
Philadelphia Flyers,20212022,78,0.378,65,77,70,100,14,4,0,5,0.609,13,1,0,3,0.765,4,26,0,3,0.121,2,33,0,4,0.051
Pittsburgh Penguins,20212022,79,0.639,71,53,85,77,23,3,0,2,0.821,31,1,0,2,0.912,5,10,0,5,0.25,5,19,0,3,0.185
San Jose Sharks,20212022,78,0.474,64,78,63,73,15,2,0,5,0.682,20,0,0,3,0.87,6,24,0,2,0.188,3,29,0,3,0.086
Seattle Kraken,20212022,78,0.372,57,79,68,91,12,7,0,0,0.632,16,4,0,1,0.762,5,27,0,1,0.152,2,35,0,2,0.051
St. Louis Blues,20212022,79,0.677,76,68,117,68,21,1,0,4,0.808,36,3,0,3,0.857,7,10,0,4,0.333,4,13,0,3,0.2
Tampa Bay Lightning,20212022,78,0.667,76,62,87,74,23,2,0,4,0.793,31,1,0,4,0.861,10,11,0,2,0.435,5,16,0,2,0.217
Toronto Maple Leafs,20212022,79,0.69,91,63,104,90,28,3,0,3,0.824,38,1,0,3,0.905,6,10,0,3,0.316,4,17,0,1,0.182
Vancouver Canucks,20212022,79,0.551,54,72,90,77,15,2,0,2,0.789,26,1,0,3,0.867,7,14,0,5,0.269,4,23,0,6,0.121
Vegas Golden Knights,20212022,78,0.571,73,62,81,76,22,4,0,2,0.786,31,2,0,0,0.939,5,18,0,0,0.217,6,21,0,3,0.2
Washington Capitals,20212022,78,0.635,77,62,83,89,27,5,0,1,0.818,26,2,0,4,0.813,5,11,0,5,0.238,5,19,0,5,0.172
Winnipeg Jets,20212022,78,0.519,69,71,78,75,12,7,0,4,0.522,25,1,0,1,0.926,7,13,0,3,0.304,4,22,0,3,0.138
