Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Anaheim Ducks,20212022,79,30,35,--,14,74,0.468,21,26,4,218,254,2.76,3.22,21.9,81.2,20,83.9,29.4,33.4,48.4
Arizona Coyotes,20212022,79,22,50,--,7,51,0.323,16,21,1,192,299,2.43,3.78,13.5,74.2,11.5,75.4,25.7,35.6,47.2
Boston Bruins,20212022,78,48,25,--,5,101,0.647,37,46,2,237,208,3.04,2.67,20.9,82,18.2,84,36.2,28.8,54.2
Buffalo Sabres,20212022,80,31,38,--,11,73,0.456,25,28,3,226,280,2.83,3.5,21.8,76.6,19,79.5,29.7,33.1,46
Calgary Flames,20212022,79,49,20,--,10,108,0.684,44,47,2,283,196,3.58,2.48,23.6,84,22.2,86.9,35.5,28.9,51.2
Carolina Hurricanes,20212022,79,51,20,--,8,110,0.696,44,50,1,262,192,3.32,2.43,22.1,88.1,20.8,89.6,34.1,28.1,53.8
Chicago Blackhawks,20212022,79,26,42,--,11,63,0.399,15,21,5,205,282,2.59,3.57,19.8,75.4,17.3,76.3,28.7,32.8,49.6
Colorado Avalanche,20212022,78,55,17,--,6,116,0.744,45,51,4,297,217,3.81,2.78,25,79.2,23.1,81.9,35.1,31.9,47.2
Columbus Blue Jackets,20212022,78,35,36,--,7,77,0.494,24,31,4,244,284,3.13,3.64,17.7,78.9,14.7,82.1,30,35.2,48.4
Dallas Stars,20212022,79,44,30,--,5,93,0.589,30,40,4,224,236,2.84,2.99,22.3,79.4,20.2,82.7,30.5,31,54.5
Detroit Red Wings,20212022,79,30,39,--,10,70,0.443,19,27,3,219,304,2.77,3.85,16.9,73.6,12.3,75.5,29.6,34,49.4
Edmonton Oilers,20212022,78,46,26,--,6,98,0.628,37,42,4,271,239,3.47,3.06,25.6,79.3,22.9,83.8,34,32,51.5
Florida Panthers,20212022,78,57,15,--,6,120,0.769,41,54,3,325,220,4.17,2.82,24.4,79.9,21.6,84.8,37.6,30.5,48.4
Los Angeles Kings,20212022,80,43,27,--,10,96,0.6,34,39,4,228,226,2.85,2.83,16.5,76.4,12.8,81.4,35,28.4,52.5
Minnesota Wild,20212022,78,50,21,--,7,107,0.686,36,45,5,290,237,3.72,3.04,20.6,75.7,18.5,76.5,32.5,31.6,47.3
Montreal Canadiens,20212022,79,20,48,--,11,51,0.323,14,17,3,201,307,2.54,3.89,12.9,75.4,8.3,77.6,29.8,34.4,49.1
Nashville Predators,20212022,78,44,29,--,5,93,0.596,35,41,3,246,231,3.15,2.96,24.2,79.1,22.1,79.9,29.8,31.9,51.2
New Jersey Devils,20212022,78,27,43,--,8,62,0.397,19,24,3,235,283,3.01,3.63,16.1,80.1,10.1,83.1,31.4,30.9,46.7
New York Islanders,20212022,78,35,33,--,10,80,0.513,32,33,2,214,218,2.74,2.79,19.8,84.2,16.2,86.2,28.9,32.6,51.3
New York Rangers,20212022,79,51,22,--,6,108,0.684,43,47,4,241,194,3.05,2.46,26.2,82,25.2,85.3,29.1,30.8,48
Ottawa Senators,20212022,79,31,41,--,7,69,0.437,25,28,3,215,254,2.72,3.22,18.9,80.5,17.2,83.8,29.9,33.4,47.9
Philadelphia Flyers,20212022,78,24,43,--,11,59,0.378,19,23,1,203,282,2.6,3.62,12,75.3,7.1,78.1,30.7,34,52.2
Pittsburgh Penguins,20212022,79,45,23,--,11,101,0.639,36,42,3,262,210,3.32,2.66,20.9,86,17.6,87.5,34.5,31.1,51
San Jose Sharks,20212022,78,31,35,--,12,74,0.474,22,29,2,201,244,2.58,3.13,18.7,85.9,13.4,87.7,29.1,31.8,49.7
Seattle Kraken,20212022,78,26,46,--,6,58,0.372,22,23,3,202,270,2.59,3.46,14.6,74.5,11.2,78.2,28.8,29,47.6
St. Louis Blues,20212022,79,48,20,--,11,107,0.677,42,46,2,296,224,3.75,2.84,26.6,84.1,24.5,88.3,30.4,31.6,50.2
Tampa Bay Lightning,20212022,78,48,22,--,8,104,0.667,36,46,2,265,214,3.4,2.74,22.7,81.1,20.7,83.6,30.9,29.6,50.2
Toronto Maple Leafs,20212022,79,51,21,--,7,109,0.69,43,49,2,301,247,3.81,3.13,27.2,81.9,25.5,87.7,34.7,30.7,55.1
Vancouver Canucks,20212022,79,38,30,--,11,87,0.551,31,35,3,236,225,2.99,2.85,23.3,73.9,20.8,76.2,32,31.8,51.7
Vegas Golden Knights,20212022,78,42,31,--,5,89,0.571,33,38,4,246,231,3.15,2.96,17.7,77.6,14.2,82.6,34.2,30,49.2
Washington Capitals,20212022,78,44,23,--,11,99,0.635,35,39,5,263,227,3.37,2.91,19.8,81.8,16.4,85.5,31.3,29,47.4
Winnipeg Jets,20212022,78,35,32,--,11,81,0.519,28,33,2,235,248,3.01,3.18,21.3,74.4,17.9,78.5,32.1,33.2,50.9
