Defensemen	Blocks Base	Team
1 Alec Martinez	120	Vegas Golden Knights
2 Ivan Provorov	78	Philadelphia Flyers
3 Jacob Trouba	77	New York Rangers
4 David Savard	74	Montréal Canadiens
5 Roman Josi	72	Nashville Predators
6 Brayden McNabb	72	Vegas Golden Knights
7 Moritz Seider	67	Detroit Red Wings
8 Jake McCabe	65	Chicago Blackhawks
9 Joel Edmundson	65	Montréal Canadiens
10 Alexander Romanov	65	New York Islanders
11 Mark Giordano	63	Toronto Maple Leafs
12 Ben Chiarot	62	Detroit Red Wings
13 Matt Roy	62	Los Angeles Kings
14 John Carlson	62	Washington Capitals
15 Adam Larsson	61	Seattle Kraken
16 Nick Jensen	61	Washington Capitals
17 Marcus Pettersson	59	Pittsburgh Penguins
18 Mikhail Sergachev	59	Tampa Bay Lightning
19 Vladislav Gavrikov	58	Columbus Blue Jackets
20 Andrew Peeke	58	Columbus Blue Jackets
21 Jared Spurgeon	58	Minnesota Wild
22 Rasmus Ristolainen	58	Philadelphia Flyers
23 Noah Hanifin	57	Calgary Flames
24 Darnell Nurse	57	Edmonton Oilers
25 Travis Sanheim	57	Philadelphia Flyers
26 Justin Holl	57	Toronto Maple Leafs
27 Dmitry Kulikov	56	Anaheim Ducks
28 Connor Murphy	56	Chicago Blackhawks
29 Zach Whitecloud	56	Vegas Golden Knights
30 Trevor van Riemsdyk	56	Washington Capitals
31 Chris Tanev	55	Calgary Flames
32 Sean Durzi	55	Los Angeles Kings
33 Scott Mayfield	55	New York Islanders
34 Brian Dumoulin	55	Pittsburgh Penguins
35 Esa Lindell	54	Dallas Stars
36 Erik Brannstrom	54	Ottawa Senators
37 Jeff Petry	54	Pittsburgh Penguins
38 Nicolas Hague	54	Vegas Golden Knights
39 Erik Johnson	53	Colorado Avalanche
40 Mikey Anderson	53	Los Angeles Kings
41 Jonas Siegenthaler	53	New Jersey Devils
42 Rasmus Andersson	52	Calgary Flames
43 Alexander Edler	52	Los Angeles Kings
44 Kaiden Guhle	52	Montréal Canadiens
45 Victor Hedman	52	Tampa Bay Lightning
46 Jack Johnson	51	Chicago Blackhawks
47 Jani Hakanpaa	51	Dallas Stars
48 Jake Middleton	51	Minnesota Wild
49 Josh Brown	50	Arizona Coyotes
50 Ryan Pulock	50	New York Islanders
51 Ryan Lindgren	50	New York Rangers
52 Nick Seeler	50	Philadelphia Flyers
53 Ian Cole	50	Tampa Bay Lightning
54 Erik Cernak	50	Tampa Bay Lightning
55 Neal Pionk	50	Winnipeg Jets
56 J.J. Moser	49	Arizona Coyotes
57 Ryan Suter	49	Dallas Stars
58 Marc-Edouard Vlasic	49	San Jose Sharks
59 Matt Benning	49	San Jose Sharks
60 Erik Gudbranson	48	Columbus Blue Jackets
61 Ryan McDonagh	48	Nashville Predators
62 Colton Parayko	48	St. Louis Blues
63 Luke Schenn	48	Vancouver Canucks
64 MacKenzie Weegar	47	Calgary Flames
65 Cody Ceci	47	Edmonton Oilers
66 Drew Doughty	47	Los Angeles Kings
67 Ryan Graves	47	New Jersey Devils
68 Travis Hamonic	47	Ottawa Senators
69 Mario Ferraro	47	San Jose Sharks
70 Justin Faulk	47	St. Louis Blues
71 Radim Simek	46	San Jose Sharks
72 Simon Benoit	45	Anaheim Ducks
73 Rasmus Dahlin	45	Buffalo Sabres
74 Brett Pesce	45	Carolina Hurricanes
75 Braden Schneider	45	New York Rangers
76 Niko Mikkola	45	St. Louis Blues
77 Devon Toews	44	Colorado Avalanche
78 Olli Maatta	44	Detroit Red Wings
79 Jonas Brodin	44	Minnesota Wild
80 Noah Dobson	44	New York Islanders
81 Adam Fox	44	New York Rangers
82 Jake Sanderson	44	Ottawa Senators
83 Brett Kulak	43	Edmonton Oilers
84 Josh Morrissey	43	Winnipeg Jets
85 Jordan Harris	42	Montréal Canadiens
86 Dylan Samberg	42	Winnipeg Jets
87 Troy Stecher	41	Arizona Coyotes
88 Jaccob Slavin	41	Carolina Hurricanes
89 Seth Jones	41	Chicago Blackhawks
90 Radko Gudas	41	Florida Panthers
91 Matt Dumba	41	Minnesota Wild
92 Adam Pelech	41	New York Islanders
93 Kris Letang	41	Pittsburgh Penguins
94 Shea Theodore	41	Vegas Golden Knights
95 Brenden Dillon	41	Winnipeg Jets
96 Brandon Carlo	40	Boston Bruins
97 Cale Makar	40	Colorado Avalanche
98 Marc Staal	40	Florida Panthers
99 Nate Schmidt	40	Winnipeg Jets
100 Gustav Forsling	39	Florida Panthers
101 John Marino	39	New Jersey Devils
102 Jaycob Megna	39	San Jose Sharks
103 Tyler Myers	39	Vancouver Canucks
104 Martin Fehervary	39	Washington Capitals
105 Kevin Shattenkirk	38	Anaheim Ducks
106 Jacob Bryson	38	Buffalo Sabres
107 Dante Fabbro	38	Nashville Predators
108 K'Andre Miller	38	New York Rangers
109 Jamie Oleksiak	38	Seattle Kraken
110 Owen Power	37	Buffalo Sabres
111 Nick Leddy	37	St. Louis Blues
112 Ethan Bear	37	Vancouver Canucks
113 Shayne Gostisbehere	36	Arizona Coyotes
114 Jarred Tinordi	36	Chicago Blackhawks
115 Brandon Montour	36	Florida Panthers
116 Jan Rutta	36	Pittsburgh Penguins
117 Miro Heiskanen	35	Dallas Stars
118 Jon Merrill	35	Minnesota Wild
119 Thomas Chabot	35	Ottawa Senators
120 Torey Krug	35	St. Louis Blues
121 Rasmus Sandin	35	Toronto Maple Leafs
122 Hampus Lindholm	34	Boston Bruins
123 Connor Clifton	33	Boston Bruins
124 Mattias Ekholm	33	Nashville Predators
125 Justin Braun	33	Philadelphia Flyers
126 Will Borgen	33	Seattle Kraken
127 Patrik Nemeth	32	Arizona Coyotes
128 Nikita Zadorov	32	Calgary Flames
129 Caleb Jones	32	Chicago Blackhawks
130 Tyson Barrie	32	Edmonton Oilers
131 Sean Walker	32	Los Angeles Kings
132 Erik Karlsson	32	San Jose Sharks
133 Vince Dunn	32	Seattle Kraken
134 Kyle Burroughs	32	Vancouver Canucks
135 Jalen Chatfield	31	Carolina Hurricanes
136 Evan Bouchard	31	Edmonton Oilers
137 Damon Severson	31	New Jersey Devils
138 Cam Fowler	30	Anaheim Ducks
139 Nathan Beaulieu	30	Anaheim Ducks
140 Matt Grzelcyk	30	Boston Bruins
141 Dougie Hamilton	30	New Jersey Devils
142 Carson Soucy	30	Seattle Kraken
143 Erik Gustafsson	30	Washington Capitals
144 Nils Lundkvist	29	Dallas Stars
145 Johnathan Kovacevic	29	Montréal Canadiens
146 Nick Perbix	29	Tampa Bay Lightning
147 Timothy Liljegren	29	Toronto Maple Leafs
148 John Klingberg	28	Anaheim Ducks
149 Charlie McAvoy	28	Boston Bruins
150 Mattias Samuelsson	28	Buffalo Sabres
151 Nick Holden	28	Ottawa Senators
152 Justin Schultz	28	Seattle Kraken
153 Matt Irwin	28	Washington Capitals
154 Ilya Lyubushkin	27	Buffalo Sabres
155 Brent Burns	27	Carolina Hurricanes
156 Marcus Bjork	27	Columbus Blue Jackets
