Defensemen	Blocks Corrected	Team
1 Alec Martinez	0.9997019673193652	Vegas Golden Knights
2 Ivan Provorov	0.9826181175195701	Philadelphia Flyers
3 David Savard	0.980919688386769	Montréal Canadiens
4 Jacob Trouba	0.980919688386769	New York Rangers
5 Brayden McNabb	0.9723475624291142	Vegas Golden Knights
6 Roman Josi	0.9696765403436558	Nashville Predators
7 Moritz Seider	0.9635654815754942	Detroit Red Wings
8 Joel Edmundson	0.9562783962372674	Montréal Canadiens
9 Alexander Romanov	0.9562783962372674	New York Islanders
10 Jake McCabe	0.9476130959872837	Chicago Blackhawks
11 Ben Chiarot	0.942693714367458	Detroit Red Wings
12 Mark Giordano	0.942693714367458	Toronto Maple Leafs
13 John Carlson	0.9373429240177235	Washington Capitals
14 Matt Roy	0.9315288094616571	Los Angeles Kings
15 Nick Jensen	0.9315288094616571	Washington Capitals
16 Marcus Pettersson	0.9252182301357793	Pittsburgh Penguins
17 Mikhail Sergachev	0.9252182301357793	Tampa Bay Lightning
18 Jared Spurgeon	0.9183770045706174	Minnesota Wild
19 Adam Larsson	0.9183770045706174	Seattle Kraken
20 Darnell Nurse	0.9109701495374077	Edmonton Oilers
21 Justin Holl	0.9109701495374077	Toronto Maple Leafs
22 Andrew Peeke	0.9029621806975937	Columbus Blue Jackets
23 Zach Whitecloud	0.9029621806975937	Vegas Golden Knights
24 Chris Tanev	0.8943174808687226	Calgary Flames
25 Connor Murphy	0.8943174808687226	Chicago Blackhawks
26 Vladislav Gavrikov	0.8943174808687226	Columbus Blue Jackets
27 Scott Mayfield	0.8943174808687226	New York Islanders
28 Travis Sanheim	0.8943174808687226	Philadelphia Flyers
29 Noah Hanifin	0.8850007411863635	Calgary Flames
30 Erik Brannstrom	0.8850007411863635	Ottawa Senators
31 Rasmus Ristolainen	0.8850007411863635	Philadelphia Flyers
32 Jeff Petry	0.8850007411863635	Pittsburgh Penguins
33 Brian Dumoulin	0.8850007411863635	Pittsburgh Penguins
34 Dmitry Kulikov	0.8749774791086958	Anaheim Ducks
35 Erik Johnson	0.8749774791086958	Colorado Avalanche
36 Sean Durzi	0.8749774791086958	Los Angeles Kings
37 Trevor van Riemsdyk	0.8749774791086958	Washington Capitals
38 Rasmus Andersson	0.864214635294041	Calgary Flames
39 Jani Hakanpaa	0.8526812488111355	Dallas Stars
40 Esa Lindell	0.8526812488111355	Dallas Stars
41 Mikey Anderson	0.8526812488111355	Los Angeles Kings
42 Jake Middleton	0.8526812488111355	Minnesota Wild
43 Kaiden Guhle	0.8526812488111355	Montréal Canadiens
44 Jonas Siegenthaler	0.8526812488111355	New Jersey Devils
45 Josh Brown	0.8403492068725005	Arizona Coyotes
46 Jack Johnson	0.8403492068725005	Chicago Blackhawks
47 Ryan Pulock	0.8403492068725005	New York Islanders
48 Ryan Lindgren	0.8403492068725005	New York Rangers
49 Nick Seeler	0.8403492068725005	Philadelphia Flyers
50 Nicolas Hague	0.8403492068725005	Vegas Golden Knights
51 J.J. Moser	0.8271940613083456	Arizona Coyotes
52 Ryan Suter	0.8271940613083456	Dallas Stars
53 Marc-Edouard Vlasic	0.8271940613083456	San Jose Sharks
54 Matt Benning	0.8271940613083456	San Jose Sharks
55 Erik Cernak	0.8271940613083456	Tampa Bay Lightning
56 Neal Pionk	0.8271940613083456	Winnipeg Jets
57 Ryan McDonagh	0.8131958993740411	Nashville Predators
58 Colton Parayko	0.8131958993740411	St. Louis Blues
59 Victor Hedman	0.8131958993740411	Tampa Bay Lightning
60 Luke Schenn	0.8131958993740411	Vancouver Canucks
61 Cody Ceci	0.7983402513326707	Edmonton Oilers
62 Travis Hamonic	0.7983402513326707	Ottawa Senators
63 Mario Ferraro	0.7983402513326707	San Jose Sharks
64 Justin Faulk	0.7983402513326707	St. Louis Blues
65 Alexander Edler	0.7826190117861241	Los Angeles Kings
66 Drew Doughty	0.7826190117861241	Los Angeles Kings
67 Radim Simek	0.7826190117861241	San Jose Sharks
68 Ian Cole	0.7826190117861241	Tampa Bay Lightning
69 Rasmus Dahlin	0.7660313462486001	Buffalo Sabres
70 Erik Gudbranson	0.7660313462486001	Columbus Blue Jackets
71 Niko Mikkola	0.7660313462486001	St. Louis Blues
72 Devon Toews	0.748584549364313	Colorado Avalanche
73 Olli Maatta	0.748584549364313	Detroit Red Wings
74 Jonas Brodin	0.748584549364313	Minnesota Wild
75 Noah Dobson	0.748584549364313	New York Islanders
76 Jake Sanderson	0.748584549364313	Ottawa Senators
77 Simon Benoit	0.7302948169467949	Anaheim Ducks
78 MacKenzie Weegar	0.7302948169467949	Calgary Flames
79 Brett Kulak	0.7302948169467949	Edmonton Oilers
80 Ryan Graves	0.7302948169467949	New Jersey Devils
81 Adam Fox	0.7302948169467949	New York Rangers
82 Brett Pesce	0.7111878911937036	Carolina Hurricanes
83 Jordan Harris	0.7111878911937036	Montréal Canadiens
84 Braden Schneider	0.7111878911937036	New York Rangers
85 Troy Stecher	0.6912995375503954	Arizona Coyotes
86 Seth Jones	0.6912995375503954	Chicago Blackhawks
87 Radko Gudas	0.6912995375503954	Florida Panthers
88 Matt Dumba	0.6912995375503954	Minnesota Wild
89 Adam Pelech	0.6912995375503954	New York Islanders
90 Shea Theodore	0.6912995375503954	Vegas Golden Knights
91 Josh Morrissey	0.6912995375503954	Winnipeg Jets
92 Jaccob Slavin	0.6706758132483778	Carolina Hurricanes
93 Cale Makar	0.6706758132483778	Colorado Avalanche
94 Kris Letang	0.6706758132483778	Pittsburgh Penguins
95 Nate Schmidt	0.6706758132483778	Winnipeg Jets
96 Dylan Samberg	0.6706758132483778	Winnipeg Jets
97 Gustav Forsling	0.6493730919002361	Florida Panthers
98 Jaycob Megna	0.6493730919002361	San Jose Sharks
99 Martin Fehervary	0.6493730919002361	Washington Capitals
100 Brenden Dillon	0.6493730919002361	Winnipeg Jets
101 Jacob Bryson	0.6274578158650512	Buffalo Sabres
102 John Marino	0.6274578158650512	New Jersey Devils
103 Jamie Oleksiak	0.6274578158650512	Seattle Kraken
104 Brandon Carlo	0.6050059583226135	Boston Bruins
105 Owen Power	0.6050059583226135	Buffalo Sabres
106 Marc Staal	0.6050059583226135	Florida Panthers
107 Tony DeAngelo	0.6050059583226135	Philadelphia Flyers
108 Nick Leddy	0.6050059583226135	St. Louis Blues
109 Tyler Myers	0.6050059583226135	Vancouver Canucks
110 Ethan Bear	0.6050059583226135	Vancouver Canucks
111 Shayne Gostisbehere	0.5821021897231844	Arizona Coyotes
112 Jarred Tinordi	0.5821021897231844	Chicago Blackhawks
113 Brandon Montour	0.5821021897231844	Florida Panthers
114 Jon Merrill	0.5588387578122888	Minnesota Wild
115 Dante Fabbro	0.5588387578122888	Nashville Predators
116 K'Andre Miller	0.5588387578122888	New York Rangers
117 Thomas Chabot	0.5588387578122888	Ottawa Senators
118 Torey Krug	0.5588387578122888	St. Louis Blues
119 Kevin Shattenkirk	0.5353141057880468	Anaheim Ducks
120 Miro Heiskanen	0.5353141057880468	Dallas Stars
121 Jan Rutta	0.5353141057880468	Pittsburgh Penguins
122 Rasmus Sandin	0.5353141057880468	Toronto Maple Leafs
123 Hampus Lindholm	0.5116312681521487	Boston Bruins
124 Patrik Nemeth	0.4878960972022816	Arizona Coyotes
125 Connor Clifton	0.4878960972022816	Boston Bruins
126 Tyson Barrie	0.4878960972022816	Edmonton Oilers
127 Erik Karlsson	0.4878960972022816	San Jose Sharks
128 Nikita Zadorov	0.4642153836823266	Calgary Flames
129 Jalen Chatfield	0.4642153836823266	Carolina Hurricanes
130 Evan Bouchard	0.4642153836823266	Edmonton Oilers
131 Vince Dunn	0.4642153836823266	Seattle Kraken
132 Will Borgen	0.4642153836823266	Seattle Kraken
133 Kyle Burroughs	0.4642153836823266	Vancouver Canucks
134 Cam Fowler	0.44069494186542857	Anaheim Ducks
135 Nathan Beaulieu	0.44069494186542857	Anaheim Ducks
136 Caleb Jones	0.44069494186542857	Chicago Blackhawks
137 Damon Severson	0.44069494186542857	New Jersey Devils
138 Justin Braun	0.44069494186542857	Philadelphia Flyers
139 Erik Gustafsson	0.44069494186542857	Washington Capitals
140 Sean Walker	0.4174377316419961	Los Angeles Kings
141 Mattias Ekholm	0.4174377316419961	Nashville Predators
142 Matt Grzelcyk	0.3945420877951533	Boston Bruins
143 Mattias Samuelsson	0.3945420877951533	Buffalo Sabres
144 Nils Lundkvist	0.3945420877951533	Dallas Stars
145 Johnathan Kovacevic	0.3945420877951533	Montréal Canadiens
146 Dougie Hamilton	0.3945420877951533	New Jersey Devils
147 Nick Holden	0.3945420877951533	Ottawa Senators
148 Justin Schultz	0.3945420877951533	Seattle Kraken
149 Carson Soucy	0.3945420877951533	Seattle Kraken
150 Charlie McAvoy	0.37210011980380964	Boston Bruins
151 Ilya Lyubushkin	0.37210011980380964	Buffalo Sabres
152 Brent Burns	0.37210011980380964	Carolina Hurricanes
153 Alexandre Carrier	0.37210011980380964	Nashville Predators
154 Nick Perbix	0.37210011980380964	Tampa Bay Lightning
155 Timothy Liljegren	0.37210011980380964	Toronto Maple Leafs
156 Quinn Hughes	0.37210011980380964	Vancouver Canucks
157 Dylan DeMelo	0.37210011980380964	Winnipeg Jets
158 John Klingberg	0.3501963348782661	Anaheim Ducks
159 Aaron Ekblad	0.3501963348782661	Florida Panthers
160 Matt Irwin	0.3501963348782661	Washington Capitals
161 Marcus Bjork	0.3289065235021757	Columbus Blue Jackets
162 Colin Miller	0.3289065235021757	Dallas Stars
163 Brendan Smith	0.3289065235021757	New Jersey Devils
164 TJ Brodie	0.3289065235021757	Toronto Maple Leafs
165 Calvin de Haan	0.30829693173175204	Carolina Hurricanes
166 Zach Werenski	0.30829693173175204	Columbus Blue Jackets
167 Arber Xhekaj	0.30829693173175204	Montréal Canadiens
168 Nikita Zaitsev	0.30829693173175204	Ottawa Senators
169 Morgan Rielly	0.30829693173175204	Toronto Maple Leafs
170 Derek Forbort	0.28842372915050934	Boston Bruins
171 Josh Manson	0.28842372915050934	Colorado Avalanche
172 Jordan Oesterle	0.28842372915050934	Detroit Red Wings
173 Juuso Valimaki	0.2693327668722993	Arizona Coyotes
174 Filip Hronek	0.2693327668722993	Detroit Red Wings
175 Alex Goligoski	0.2693327668722993	Minnesota Wild
176 Jeremy Lauzon	0.2693327668722993	Nashville Predators
177 Brady Skjei	0.2510596073010293	Carolina Hurricanes
178 Jake Bean	0.2510596073010293	Columbus Blue Jackets
179 Oliver Ekman-Larsson	0.2510596073010293	Vancouver Canucks
180 Samuel Girard	0.2336297971860222	Colorado Avalanche
181 Josh Mahura	0.2336297971860222	Florida Panthers
182 Libor Hajek	0.2336297971860222	New York Rangers
183 Calle Rosen	0.2336297971860222	St. Louis Blues
184 Henri Jokiharju	0.2170593482389817	Buffalo Sabres
185 Michael Stone	0.2170593482389817	Calgary Flames
186 Gavin Bayreuther	0.2170593482389817	Columbus Blue Jackets
187 Dmitry Orlov	0.2170593482389817	Washington Capitals
188 Dysin Mayo	0.20135538528133787	Arizona Coyotes
189 Jake Walman	0.20135538528133787	Detroit Red Wings
190 Robert Hagg	0.18651692039049514	Detroit Red Wings
191 Jakob Chychrun	0.17253571243793583	Arizona Coyotes
192 Calen Addison	0.17253571243793583	Minnesota Wild
193 Chris Wideman	0.17253571243793583	Montréal Canadiens
194 Sebastian Aho	0.17253571243793583	New York Islanders
195 Artem Zub	0.17253571243793583	Ottawa Senators
196 Robert Bortuzzo	0.17253571243793583	St. Louis Blues
197 Lawrence Pilut	0.1593971742688607	Buffalo Sabres
198 Jordie Benn	0.1593971742688607	Toronto Maple Leafs
199 Colton White	0.13556354217513494	Anaheim Ducks
200 Nick Blankenburg	0.13556354217513494	Columbus Blue Jackets
201 Philip Broberg	0.13556354217513494	Edmonton Oilers
202 Haydn Fleury	0.13556354217513494	Tampa Bay Lightning
203 Riley Stillman	0.13556354217513494	Vancouver Canucks
204 Gustav Lindstrom	0.12481574144552272	Detroit Red Wings
205 Ryan Murray	0.12481574144552272	Edmonton Oilers
206 Cal Foote	0.12481574144552272	Tampa Bay Lightning
207 Urho Vaakanainen	0.11480688201741875	Anaheim Ducks
208 Jakub Zboril	0.11480688201741875	Boston Bruins
209 Bowen Byram	0.11480688201741875	Colorado Avalanche
210 Jacob MacDonald	0.11480688201741875	Colorado Avalanche
211 Jordan Gross	0.11480688201741875	Nashville Predators
212 Nick Cicek	0.11480688201741875	San Jose Sharks
213 Anton Stralman	0.10550386986342143	Boston Bruins
214 Robin Salo	0.10550386986342143	New York Islanders
215 Jake Muzzin	0.10550386986342143	Toronto Maple Leafs
216 Joel Hanley	0.09687220041733485	Dallas Stars
217 Mike Matheson	0.09687220041733485	Montréal Canadiens
218 Kevin Bahl	0.09687220041733485	New Jersey Devils
219 Victor Mete	0.09687220041733485	Toronto Maple Leafs
220 Chad Ruhwedel	0.08887655387613848	Pittsburgh Penguins
221 Pierre-Olivier Joseph	0.08887655387613848	Pittsburgh Penguins
222 Alexander Alexeyev	0.08887655387613848	Washington Capitals
223 Logan Stanley	0.08887655387613848	Winnipeg Jets
224 Kale Clague	0.08148131164663172	Buffalo Sabres
225 Casey Fitzgerald	0.08148131164663172	Buffalo Sabres
226 Andreas Englund	0.08148131164663172	Colorado Avalanche
227 Jamie Drysdale	0.07465099601138538	Anaheim Ducks
228 Jacob Bernard-Docker	0.07465099601138538	Ottawa Senators
229 Scott Harrington	0.07465099601138538	San Jose Sharks
230 Ben Hutton	0.07465099601138538	Vegas Golden Knights
231 Tim Berni	0.0683506369926303	Columbus Blue Jackets
232 Cale Fleury	0.0683506369926303	Seattle Kraken
233 Daniil Miromanov	0.0683506369926303	Vegas Golden Knights
234 Connor Mackey	0.06254607171489952	Calgary Flames
235 Adam Boqvist	0.06254607171489952	Columbus Blue Jackets
236 Matt Kiersted	0.06254607171489952	Florida Panthers
237 Kevin Gravel	0.06254607171489952	Nashville Predators
238 Zach Bogosian	0.06254607171489952	Tampa Bay Lightning
239 Dylan Coghlan	0.057204182392176235	Carolina Hurricanes
240 Ian Mitchell	0.057204182392176235	Chicago Blackhawks
241 Tobias Bjornfot	0.057204182392176235	Los Angeles Kings
242 Roland McKeown	0.057204182392176235	Nashville Predators
243 Cam York	0.057204182392176235	Philadelphia Flyers
244 Jack Rathbone	0.057204182392176235	Vancouver Canucks
245 Lucas Johansen	0.057204182392176235	Washington Capitals
246 Conor Timmins	0.05229307948157199	Toronto Maple Leafs
247 Tucker Poolman	0.05229307948157199	Vancouver Canucks
248 Kurtis MacDermid	0.04778223663901533	Colorado Avalanche
249 Mark Borowiecki	0.04778223663901533	Nashville Predators
250 Kyle Capobianco	0.04778223663901533	Winnipeg Jets
251 Brad Hunt	0.04364258396171309	Colorado Avalanche
