Defensemen	Discipline Base	Team
1 Cale Makar	26.525947363766274	Colorado Avalanche
2 Drew Doughty	25.617886940057844	Los Angeles Kings
3 Erik Karlsson	25.253992041589115	San Jose Sharks
4 Devon Toews	25.16603818002825	Colorado Avalanche
5 Thomas Chabot	25.04435865851334	Ottawa Senators
6 Miro Heiskanen	24.858555089504687	Dallas Stars
7 Rasmus Dahlin	24.781281069187518	Buffalo Sabres
8 Adam Fox	24.682717893021994	New York Rangers
9 Quinn Hughes	24.655601700781173	Vancouver Canucks
10 Roman Josi	24.616860133031157	Nashville Predators
11 Rasmus Andersson	24.35676374095546	Calgary Flames
12 Alex Pietrangelo	24.339555856719443	Vegas Golden Knights
13 Kris Letang	24.116666666666667	Pittsburgh Penguins
14 Seth Jones	23.989000103787003	Chicago Blackhawks
15 Cam Fowler	23.94428514254773	Anaheim Ducks
16 Victor Hedman	23.889071462260564	Tampa Bay Lightning
17 Zach Werenski	23.583333333333332	Columbus Blue Jackets
18 Adam Larsson	23.521083774972354	Seattle Kraken
19 Justin Faulk	23.47337864231542	St. Louis Blues
20 Vince Dunn	23.32101318683448	Seattle Kraken
21 Gustav Forsling	23.24500238024665	Florida Panthers
22 John Carlson	23.18340458377865	Washington Capitals
23 Owen Power	23.1501949195171	Buffalo Sabres
24 Mikhail Sergachev	23.13459112355865	Tampa Bay Lightning
25 Darnell Nurse	23.082178975099854	Edmonton Oilers
26 Josh Morrissey	23.010206290589586	Winnipeg Jets
27 Ivan Provorov	22.91480216740983	Philadelphia Flyers
28 Brandon Montour	22.90718577067892	Florida Panthers
29 Hampus Lindholm	22.848724216335224	Boston Bruins
30 Colton Parayko	22.841290348792327	St. Louis Blues
31 Brent Burns	22.667022369773143	Carolina Hurricanes
32 Moritz Seider	22.62517541609452	Detroit Red Wings
33 Aaron Ekblad	22.575821450712958	Florida Panthers
34 Jakob Chychrun	22.565183383725515	Arizona Coyotes
35 Dmitry Orlov	22.41202035526898	Washington Capitals
36 Morgan Rielly	22.385734063306273	Toronto Maple Leafs
37 Jaccob Slavin	22.30001980884465	Carolina Hurricanes
38 Jeff Petry	22.220936185774367	Pittsburgh Penguins
39 Brett Pesce	22.195866889608165	Carolina Hurricanes
40 Shayne Gostisbehere	22.050062636457998	Arizona Coyotes
41 Tony DeAngelo	21.995220394263512	Philadelphia Flyers
42 Mike Matheson	21.9375	Montréal Canadiens
43 Jonas Brodin	21.91245170768868	Minnesota Wild
44 K'Andre Miller	21.866025729276615	New York Rangers
45 Charlie McAvoy	21.805746843744874	Boston Bruins
46 Noah Hanifin	21.750834054965587	Calgary Flames
47 Vladislav Gavrikov	21.74198720943512	Columbus Blue Jackets
48 Mattias Samuelsson	21.738253518633265	Buffalo Sabres
49 Dougie Hamilton	21.66393374362724	New Jersey Devils
50 Shea Theodore	21.650066085453577	Vegas Golden Knights
51 Mario Ferraro	21.457328013157156	San Jose Sharks
52 Mikey Anderson	21.454090267983077	Los Angeles Kings
53 David Savard	21.452115911032195	Montréal Canadiens
54 Filip Hronek	21.325214943678144	Detroit Red Wings
55 Brady Skjei	21.28225044396292	Carolina Hurricanes
56 Neal Pionk	21.276757446170006	Winnipeg Jets
57 Mattias Ekholm	21.225253012048192	Nashville Predators
58 Jake Sanderson	21.218414248779087	Ottawa Senators
59 Jared Spurgeon	21.120673423049233	Minnesota Wild
60 John Marino	21.00437268546779	New Jersey Devils
61 TJ Brodie	20.990552599724122	Toronto Maple Leafs
62 Nick Leddy	20.922633210264824	St. Louis Blues
63 Noah Dobson	20.816703745818295	New York Islanders
64 Justin Holl	20.776742694375937	Toronto Maple Leafs
65 Nick Jensen	20.69236635673161	Washington Capitals
66 Ryan McDonagh	20.65738520630856	Nashville Predators
67 John Klingberg	20.578908847685014	Anaheim Ducks
68 Artem Zub	20.445604699725767	Ottawa Senators
69 Bowen Byram	20.383461600128268	Colorado Avalanche
70 Ryan Suter	20.368661335679388	Dallas Stars
71 Marcus Pettersson	20.36324642992981	Pittsburgh Penguins
72 Henri Jokiharju	20.355213464696224	Buffalo Sabres
73 Jacob Trouba	20.347243035388622	New York Rangers
74 Ryan Pulock	20.27070400808532	New York Islanders
75 Jonas Siegenthaler	20.256291390728478	New Jersey Devils
76 Samuel Girard	20.18591998354417	Colorado Avalanche
77 Kaiden Guhle	20.183515340613624	Montréal Canadiens
78 Cody Ceci	20.173588535792476	Edmonton Oilers
79 Ben Chiarot	20.16264880704617	Detroit Red Wings
80 Brian Dumoulin	20.129326778368615	Pittsburgh Penguins
81 MacKenzie Weegar	20.08040064733412	Calgary Flames
82 Andrew Peeke	20.074607895692473	Columbus Blue Jackets
83 Oliver Ekman-Larsson	20.050240202561405	Vancouver Canucks
84 Matt Dumba	20.05004182860728	Minnesota Wild
85 Travis Sanheim	20.020503330866024	Philadelphia Flyers
86 Damon Severson	19.97501053447724	New Jersey Devils
87 Erik Gudbranson	19.95853199498118	Columbus Blue Jackets
88 J.J. Moser	19.906785375355877	Arizona Coyotes
89 Esa Lindell	19.77659906736996	Dallas Stars
90 Adam Pelech	19.76676685272649	New York Islanders
91 Scott Mayfield	19.741176470588236	New York Islanders
92 Jack Johnson	19.73547153780799	Chicago Blackhawks
93 Erik Gustafsson	19.710242885385345	Washington Capitals
94 Chris Tanev	19.70000629696486	Calgary Flames
95 Dmitry Kulikov	19.61222237193739	Anaheim Ducks
96 Tyler Myers	19.55495296602035	Vancouver Canucks
97 Alexander Romanov	19.44236484504839	New York Islanders
98 Sean Durzi	19.384056604307908	Los Angeles Kings
99 Cam York	19.35583564173592	Philadelphia Flyers
100 Brayden McNabb	19.31365664898188	Vegas Golden Knights
101 Torey Krug	19.24237649557757	St. Louis Blues
102 Nate Schmidt	19.10374192731417	Winnipeg Jets
103 Matt Benning	18.992044160168227	San Jose Sharks
104 Martin Fehervary	18.97323966942149	Washington Capitals
105 Dylan DeMelo	18.915355745652622	Winnipeg Jets
106 Tyson Barrie	18.893838050810796	Edmonton Oilers
107 Ryan Graves	18.83563202114604	New Jersey Devils
108 Joel Edmundson	18.833764089310073	Montréal Canadiens
109 Alec Martinez	18.779025950604627	Vegas Golden Knights
110 Jake McCabe	18.7489524145408	Chicago Blackhawks
