Defensemen	Discipline Corrected	Team
1 Cale Makar	0.9781268225978446	Colorado Avalanche
2 Drew Doughty	0.9739645064702218	Los Angeles Kings
3 Roman Josi	0.9654913218779176	Nashville Predators
4 Thomas Chabot	0.965037347497878	Ottawa Senators
5 Miro Heiskanen	0.9612691778535688	Dallas Stars
6 Adam Fox	0.9602712839514393	New York Rangers
7 Erik Karlsson	0.9593954655887262	San Jose Sharks
8 Quinn Hughes	0.9579745397658254	Vancouver Canucks
9 Rasmus Dahlin	0.9540838156497394	Buffalo Sabres
10 Devon Toews	0.9520492368283567	Colorado Avalanche
11 Rasmus Andersson	0.9507870791011035	Calgary Flames
12 Cam Fowler	0.9498007206043425	Anaheim Ducks
13 Brandon Montour	0.9473969843355914	Florida Panthers
14 Seth Jones	0.9383803892852163	Chicago Blackhawks
15 Aaron Ekblad	0.935851765288233	Florida Panthers
16 Victor Hedman	0.9341604724861715	Tampa Bay Lightning
17 Kris Letang	0.9335342358506266	Pittsburgh Penguins
18 Zach Werenski	0.9320997177053458	Columbus Blue Jackets
19 Gustav Forsling	0.9281093184849878	Florida Panthers
20 John Carlson	0.9270160528284953	Washington Capitals
21 Hampus Lindholm	0.9260402040328549	Boston Bruins
22 Ivan Provorov	0.9243462040416341	Philadelphia Flyers
23 Mike Matheson	0.9231166432863127	Montréal Canadiens
24 Vince Dunn	0.9177905671569438	Seattle Kraken
25 Justin Faulk	0.9157878850308097	St. Louis Blues
26 Owen Power	0.9155514680783821	Buffalo Sabres
27 Adam Larsson	0.9139952196747765	Seattle Kraken
28 Brent Burns	0.913606150981623	Carolina Hurricanes
29 Darnell Nurse	0.9101859482018758	Edmonton Oilers
30 Mikhail Sergachev	0.9080268979330459	Tampa Bay Lightning
31 Colton Parayko	0.9063276544708081	St. Louis Blues
32 Morgan Rielly	0.8997327686466743	Toronto Maple Leafs
33 Jaccob Slavin	0.89676755868933	Carolina Hurricanes
34 Josh Morrissey	0.8948385887880143	Winnipeg Jets
35 Moritz Seider	0.8936264308514105	Detroit Red Wings
36 Mario Ferraro	0.8920395617324944	San Jose Sharks
37 Charlie McAvoy	0.8863485497974635	Boston Bruins
38 Vladislav Gavrikov	0.8853198355384869	Columbus Blue Jackets
39 Brett Pesce	0.8732387401495105	Carolina Hurricanes
40 John Klingberg	0.8644362212767471	Anaheim Ducks
41 K'Andre Miller	0.8624499950953092	New York Rangers
42 J.J. Moser	0.8621563497560017	Arizona Coyotes
43 Jonas Brodin	0.8540611847123913	Minnesota Wild
44 Jeff Petry	0.8528571427323538	Pittsburgh Penguins
45 Noah Hanifin	0.8498979800680363	Calgary Flames
46 Shea Theodore	0.8491616161950687	Vegas Golden Knights
47 David Savard	0.8436466036657632	Montréal Canadiens
48 Shayne Gostisbehere	0.8418552736901576	Arizona Coyotes
49 Jakob Chychrun	0.8390664190590147	Arizona Coyotes
50 Mikey Anderson	0.8310647085269679	Los Angeles Kings
51 Artem Zub	0.829268211410492	Ottawa Senators
52 Dougie Hamilton	0.8280459798438305	New Jersey Devils
53 Dmitry Orlov	0.8264009152657331	Washington Capitals
54 John Marino	0.8258689905976851	New Jersey Devils
55 Mattias Ekholm	0.8189594577694276	Nashville Predators
56 Brady Skjei	0.8151844596622321	Carolina Hurricanes
57 Neal Pionk	0.811047730981219	Winnipeg Jets
58 Ryan Suter	0.8102425392031389	Dallas Stars
59 Filip Hronek	0.8092842060256454	Detroit Red Wings
60 Jake Sanderson	0.806181662095152	Ottawa Senators
61 Jared Spurgeon	0.8034740103746301	Minnesota Wild
62 TJ Brodie	0.8009673903077096	Toronto Maple Leafs
63 Nick Leddy	0.7961811335751324	St. Louis Blues
64 Justin Holl	0.7946096475693899	Toronto Maple Leafs
65 Cody Ceci	0.7931475586912204	Edmonton Oilers
66 Mattias Samuelsson	0.7849356184685263	Buffalo Sabres
67 Nick Jensen	0.7768107310260386	Washington Capitals
68 Travis Sanheim	0.7700616846046879	Philadelphia Flyers
69 Bowen Byram	0.7616583600731835	Colorado Avalanche
70 Noah Dobson	0.7574898965382111	New York Islanders
71 Nate Schmidt	0.7570940456357607	Winnipeg Jets
72 MacKenzie Weegar	0.7568095940536166	Calgary Flames
73 Oliver Ekman-Larsson	0.7547557748919611	Vancouver Canucks
74 Ben Chiarot	0.7395101016124341	Detroit Red Wings
75 Cam York	0.7359606441199358	Philadelphia Flyers
76 Matt Dumba	0.7344827055849615	Minnesota Wild
77 Andrew Peeke	0.7303023602189668	Columbus Blue Jackets
78 Jacob Trouba	0.7245827825562647	New York Rangers
79 Ryan Pulock	0.7224762582188723	New York Islanders
80 Adam Pelech	0.7219702433596596	New York Islanders
81 Ryan McDonagh	0.719639810358023	Nashville Predators
82 Jack Johnson	0.7175505603485633	Chicago Blackhawks
83 Kaiden Guhle	0.7163757619933075	Montréal Canadiens
84 Jonas Siegenthaler	0.7148157898299976	New Jersey Devils
85 Brayden McNabb	0.7144459620240954	Vegas Golden Knights
86 Marcus Pettersson	0.7101529490457898	Pittsburgh Penguins
87 Brian Dumoulin	0.7069949680517049	Pittsburgh Penguins
88 Esa Lindell	0.7062392476929825	Dallas Stars
89 Olli Maatta	0.7060543064543175	Detroit Red Wings
90 Chris Tanev	0.7022650745762399	Calgary Flames
91 Dmitry Kulikov	0.6995508427720377	Anaheim Ducks
92 Martin Fehervary	0.6989688901933214	Washington Capitals
93 Erik Gudbranson	0.6979445053760914	Columbus Blue Jackets
94 Sean Durzi	0.6959554089783474	Los Angeles Kings
95 Henri Jokiharju	0.6942897009552653	Buffalo Sabres
96 Alec Martinez	0.6827136764132059	Vegas Golden Knights
97 Alexander Romanov	0.6779514763669515	New York Islanders
98 Samuel Girard	0.6669288745151792	Colorado Avalanche
99 Tyson Barrie	0.6456848731054124	Edmonton Oilers
100 Erik Cernak	0.6453322290996292	Tampa Bay Lightning
101 Connor Murphy	0.6332291565507547	Chicago Blackhawks
102 Scott Mayfield	0.6316935071231008	New York Islanders
103 Jake McCabe	0.6316539649031861	Chicago Blackhawks
104 Torey Krug	0.6192188782429213	St. Louis Blues
105 Matt Benning	0.6136521196415758	San Jose Sharks
106 Mark Giordano	0.6133686955074238	Toronto Maple Leafs
107 Joel Edmundson	0.6047868407052583	Montréal Canadiens
108 Ryan Graves	0.6029413167503869	New Jersey Devils
109 Nikita Zadorov	0.5956747973405627	Calgary Flames
110 Erik Gustafsson	0.5956109260666749	Washington Capitals
111 Jordan Gross	0.5827824048163809	Nashville Predators
112 Tyler Myers	0.5824782693627871	Vancouver Canucks
113 Marcus Bjork	0.5800889294460442	Columbus Blue Jackets
114 Connor Clifton	0.5771436602198554	Boston Bruins
115 Ethan Bear	0.573542430913163	Vancouver Canucks
116 Marc-Edouard Vlasic	0.5698065555438002	San Jose Sharks
117 Brenden Dillon	0.5530903675607632	Winnipeg Jets
118 Timothy Liljegren	0.541704502175071	Toronto Maple Leafs
119 Derek Forbort	0.5338380256002369	Boston Bruins
120 Evan Bouchard	0.52849229300813	Edmonton Oilers
121 Jaycob Megna	0.5274464692902985	San Jose Sharks
122 Matt Roy	0.5152414979617674	Los Angeles Kings
123 Brandon Carlo	0.511480192423725	Boston Bruins
124 Ian Cole	0.507347937204847	Tampa Bay Lightning
125 Jani Hakanpaa	0.5059190615152129	Dallas Stars
126 Rasmus Ristolainen	0.5057615973360285	Philadelphia Flyers
127 Rasmus Sandin	0.5056735848809314	Toronto Maple Leafs
128 Jordan Harris	0.4987475431172486	Montréal Canadiens
129 Marc Staal	0.4915342374686145	Florida Panthers
130 Dylan DeMelo	0.4905743706612023	Winnipeg Jets
131 Justin Schultz	0.4727077830439293	Seattle Kraken
132 Brett Kulak	0.46784462611506056	Edmonton Oilers
133 Alex Goligoski	0.4678179656524442	Minnesota Wild
134 Tim Berni	0.46597440414779606	Columbus Blue Jackets
135 Alexandre Carrier	0.4624156848493024	Nashville Predators
136 Nick Blankenburg	0.4578670388871069	Columbus Blue Jackets
137 Travis Hamonic	0.4547969825563147	Ottawa Senators
138 Damon Severson	0.45465355328817064	New Jersey Devils
139 Ryan Lindgren	0.4543643150481846	New York Rangers
140 Urho Vaakanainen	0.4508506306139996	Anaheim Ducks
141 Caleb Jones	0.44898158803770727	Chicago Blackhawks
142 Jamie Drysdale	0.44710083961174407	Anaheim Ducks
143 Radko Gudas	0.434761511179501	Florida Panthers
144 Trevor van Riemsdyk	0.43097338284692543	Washington Capitals
145 Jamie Oleksiak	0.4302843415132324	Seattle Kraken
146 Josh Brown	0.4270011643863366	Arizona Coyotes
147 Daniil Miromanov	0.4209910214942813	Vegas Golden Knights
148 Kevin Shattenkirk	0.418589701222539	Anaheim Ducks
149 Erik Johnson	0.4148402220872776	Colorado Avalanche
150 Jake Middleton	0.40516133421861816	Minnesota Wild
151 Simon Benoit	0.40221350677107887	Anaheim Ducks
152 Nils Lundkvist	0.3799080051564593	Dallas Stars
153 Johnathan Kovacevic	0.3700626312089554	Montréal Canadiens
154 Matt Grzelcyk	0.36673678994461045	Boston Bruins
155 Jarred Tinordi	0.3650990131957679	Chicago Blackhawks
156 Kyle Burroughs	0.3650234865859754	Vancouver Canucks
157 Nicolas Hague	0.36316631395726384	Vegas Golden Knights
158 Jacob Bernard-Docker	0.3596804320205113	Ottawa Senators
159 Jacob Bryson	0.35514258856256214	Buffalo Sabres
