Defensemen	Even Strength Utilization Base	Team
1 Erik Karlsson	0.35788095238095236	San Jose Sharks
2 Adam Larsson	0.34664930555555556	Seattle Kraken
3 Roman Josi	0.34375448028673833	Nashville Predators
4 Darnell Nurse	0.33719771241830065	Edmonton Oilers
5 Cale Makar	0.33627240143369175	Colorado Avalanche
6 Drew Doughty	0.33611111111111114	Los Angeles Kings
7 Vince Dunn	0.3322395833333333	Seattle Kraken
8 Jaccob Slavin	0.3289057239057239	Carolina Hurricanes
9 K'Andre Miller	0.32875396825396824	New York Rangers
10 Josh Morrissey	0.3272895622895623	Winnipeg Jets
11 Cam Fowler	0.32599673202614377	Anaheim Ducks
12 Nick Leddy	0.32494949494949493	St. Louis Blues
13 Gustav Forsling	0.32455065359477125	Florida Panthers
14 Rasmus Dahlin	0.3243836805555556	Buffalo Sabres
15 Justin Faulk	0.3241329966329966	St. Louis Blues
16 Ivan Provorov	0.31889705882352937	Philadelphia Flyers
17 Mikey Anderson	0.31810185185185186	Los Angeles Kings
18 Colton Parayko	0.3176851851851852	St. Louis Blues
19 Neal Pionk	0.3167087542087542	Winnipeg Jets
20 Matt Dumba	0.3133585858585859	Minnesota Wild
21 Devon Toews	0.31294802867383514	Colorado Avalanche
22 Adam Fox	0.3115	New York Rangers
23 Rasmus Andersson	0.31092320261437906	Calgary Flames
24 Owen Power	0.3107465277777778	Buffalo Sabres
25 Hampus Lindholm	0.3094791666666667	Boston Bruins
26 Miro Heiskanen	0.3092238562091503	Dallas Stars
27 Vladislav Gavrikov	0.3092013888888889	Columbus Blue Jackets
28 Marcus Pettersson	0.30728114478114477	Pittsburgh Penguins
29 Thomas Chabot	0.3060185185185185	Ottawa Senators
30 Brett Pesce	0.30594276094276096	Carolina Hurricanes
31 Travis Sanheim	0.3050081699346405	Philadelphia Flyers
32 Nick Jensen	0.3037857142857143	Washington Capitals
33 Dougie Hamilton	0.3034175084175084	New Jersey Devils
34 Justin Holl	0.3025653594771242	Toronto Maple Leafs
35 Jack Johnson	0.3023745519713261	Chicago Blackhawks
36 Brandon Montour	0.30236928104575167	Florida Panthers
37 Brent Burns	0.302003367003367	Carolina Hurricanes
38 Brayden McNabb	0.30143650793650795	Vegas Golden Knights
39 Alexander Romanov	0.3011111111111111	New York Islanders
40 Ryan Suter	0.30040032679738565	Dallas Stars
41 Oliver Ekman-Larsson	0.30015624999999996	Vancouver Canucks
42 Alec Martinez	0.29993650793650795	Vegas Golden Knights
43 Brady Skjei	0.2992003367003367	Carolina Hurricanes
44 Jacob Trouba	0.2988571428571429	New York Rangers
45 Cody Ceci	0.2978513071895425	Edmonton Oilers
46 Brenden Dillon	0.29774410774410776	Winnipeg Jets
47 Erik Gudbranson	0.2971875	Columbus Blue Jackets
48 Kaiden Guhle	0.2971632996632997	Montréal Canadiens
49 Victor Hedman	0.2969618055555555	Tampa Bay Lightning
50 Shayne Gostisbehere	0.29655017921146953	Arizona Coyotes
51 MacKenzie Weegar	0.29419117647058823	Calgary Flames
52 Filip Hronek	0.2939322916666667	Detroit Red Wings
53 Jonas Siegenthaler	0.29319023569023567	New Jersey Devils
54 Connor Murphy	0.29301075268817206	Chicago Blackhawks
55 Quinn Hughes	0.2921267361111111	Vancouver Canucks
56 Noah Hanifin	0.2908496732026144	Calgary Flames
57 Mattias Ekholm	0.28913978494623654	Nashville Predators
58 Ben Chiarot	0.2868229166666667	Detroit Red Wings
59 Ryan Pulock	0.286078431372549	New York Islanders
60 Dmitry Kulikov	0.28469771241830066	Anaheim Ducks
61 Andrew Peeke	0.28468750000000004	Columbus Blue Jackets
62 John Marino	0.28445286195286196	New Jersey Devils
63 Scott Mayfield	0.28419934640522876	New York Islanders
64 Moritz Seider	0.2836892361111111	Detroit Red Wings
65 Mikhail Sergachev	0.2834375	Tampa Bay Lightning
66 Connor Clifton	0.281953125	Boston Bruins
67 Erik Gustafsson	0.28141269841269845	Washington Capitals
68 Jared Spurgeon	0.28113636363636363	Minnesota Wild
69 Tyler Myers	0.280859375	Vancouver Canucks
70 Brian Dumoulin	0.2800673400673401	Pittsburgh Penguins
71 Nikita Zadorov	0.27827614379084964	Calgary Flames
72 Mark Giordano	0.276421568627451	Toronto Maple Leafs
73 Noah Dobson	0.2757598039215686	New York Islanders
74 Kris Letang	0.27390572390572393	Pittsburgh Penguins
75 Matt Benning	0.2721825396825397	San Jose Sharks
76 Matt Roy	0.27185956790123456	Los Angeles Kings
77 Ryan Graves	0.271523569023569	New Jersey Devils
78 Shea Theodore	0.2686904761904762	Vegas Golden Knights
79 Brett Kulak	0.2665359477124183	Edmonton Oilers
80 Jake Middleton	0.26583333333333337	Minnesota Wild
81 Esa Lindell	0.26509803921568625	Dallas Stars
82 Nicolas Hague	0.26315873015873015	Vegas Golden Knights
83 Tony DeAngelo	0.2623366013071895	Philadelphia Flyers
84 Tyson Barrie	0.2611192810457516	Edmonton Oilers
85 Olli Maatta	0.26015625	Detroit Red Wings
86 Luke Schenn	0.2600694444444444	Vancouver Canucks
87 Ryan Lindgren	0.25896825396825396	New York Rangers
88 Jake Sanderson	0.25856902356902356	Ottawa Senators
89 John Klingberg	0.2576470588235294	Anaheim Ducks
90 Marc-Edouard Vlasic	0.2571825396825397	San Jose Sharks
91 Evan Bouchard	0.25680555555555556	Edmonton Oilers
92 Erik Johnson	0.25625448028673836	Colorado Avalanche
93 Colin Miller	0.25603758169934643	Dallas Stars
94 J.J. Moser	0.2558064516129032	Arizona Coyotes
95 Jonas Brodin	0.2555892255892256	Minnesota Wild
96 Rasmus Sandin	0.2555718954248366	Toronto Maple Leafs
97 Damon Severson	0.2555471380471381	New Jersey Devils
98 Travis Hamonic	0.25515993265993264	Ottawa Senators
99 Torey Krug	0.25421717171717173	St. Louis Blues
100 Jake McCabe	0.2538620071684588	Chicago Blackhawks
101 Jani Hakanpää	0.2532761437908497	Dallas Stars
102 Justin Schultz	0.25190104166666666	Seattle Kraken
103 Jeff Petry	0.25058080808080807	Pittsburgh Penguins
104 Jaycob Megna	0.25034126984126986	San Jose Sharks
105 Marc Staal	0.2501797385620915	Florida Panthers
106 Samuel Girard	0.2484767025089606	Colorado Avalanche
107 Jordan Harris	0.24833333333333332	Montréal Canadiens
108 Sean Durzi	0.24729166666666666	Los Angeles Kings
109 Erik Cernak	0.24572048611111114	Tampa Bay Lightning
110 Ian Cole	0.24488715277777778	Tampa Bay Lightning
111 Nate Schmidt	0.2439057239057239	Winnipeg Jets
112 Nils Lundkvist	0.24339869281045753	Dallas Stars
113 Jan Rutta	0.24291245791245789	Pittsburgh Penguins
114 Carson Soucy	0.242734375	Seattle Kraken
115 Dante Fabbro	0.2425448028673835	Nashville Predators
116 Trevor van Riemsdyk	0.24252380952380953	Washington Capitals
117 Matt Grzelcyk	0.2419791666666667	Boston Bruins
118 John Carlson	0.24016666666666667	Washington Capitals
119 Dylan DeMelo	0.23714646464646466	Winnipeg Jets
120 Braden Schneider	0.237015873015873	New York Rangers
121 Adam Pelech	0.2346078431372549	New York Islanders
122 Johnathan Kovacevic	0.23257575757575757	Montréal Canadiens
123 Will Borgen	0.23098958333333333	Seattle Kraken
124 Alex Pietrangelo	0.22966666666666669	Vegas Golden Knights
125 Niko Mikkola	0.22962121212121211	St. Louis Blues
126 Martin Fehervary	0.2289047619047619	Washington Capitals
127 Troy Stecher	0.2288888888888889	Arizona Coyotes
128 Simon Benoit	0.22727124183006536	Anaheim Ducks
129 Arber Xhekaj	0.22705387205387206	Montréal Canadiens
130 Justin Braun	0.22561274509803922	Philadelphia Flyers
131 Josh Mahura	0.22527777777777777	Florida Panthers
132 David Savard	0.22332491582491582	Montréal Canadiens
133 Erik Brannstrom	0.22303872053872054	Ottawa Senators
134 Mario Ferraro	0.22258730158730158	San Jose Sharks
