Defensemen	Even Strength Utilization Corrected	Team
1 Erik Karlsson	0.9508206605748012	San Jose Sharks
2 Roman Josi	0.9344787592633851	Nashville Predators
3 Adam Larsson	0.9331302710549148	Seattle Kraken
4 Darnell Nurse	0.9268407772746712	Edmonton Oilers
5 Drew Doughty	0.9224411090890194	Los Angeles Kings
6 Cale Makar	0.9218033704783983	Colorado Avalanche
7 K'Andre Miller	0.915437559141701	New York Rangers
8 Vince Dunn	0.9145359925488382	Seattle Kraken
9 Jaccob Slavin	0.9114773705661465	Carolina Hurricanes
10 Cam Fowler	0.9109520206417195	Anaheim Ducks
11 Josh Morrissey	0.9102412345821026	Winnipeg Jets
12 Nick Leddy	0.9079985698043624	St. Louis Blues
13 Rasmus Dahlin	0.9071032890220438	Buffalo Sabres
14 Justin Faulk	0.9067041407910305	St. Louis Blues
15 Gustav Forsling	0.9033894321338978	Florida Panthers
16 Ivan Provorov	0.898604108073268	Philadelphia Flyers
17 Colton Parayko	0.8958967783867712	St. Louis Blues
18 Neal Pionk	0.8947409544059014	Winnipeg Jets
19 Mikey Anderson	0.8945302070245775	Los Angeles Kings
20 Matt Dumba	0.8908155802751555	Minnesota Wild
21 Adam Fox	0.8871596897233628	New York Rangers
22 Owen Power	0.883045040086547	Buffalo Sabres
23 Rasmus Andersson	0.880334630161953	Calgary Flames
24 Hampus Lindholm	0.8800576145887968	Boston Bruins
25 Vladislav Gavrikov	0.880001861160815	Columbus Blue Jackets
26 Miro Heiskanen	0.8797816701428408	Dallas Stars
27 Devon Toews	0.8794336885791463	Colorado Avalanche
28 Brady Skjei	0.8786992727876131	Carolina Hurricanes
29 Brett Pesce	0.8737823566271822	Carolina Hurricanes
30 Travis Sanheim	0.872620130269539	Philadelphia Flyers
31 Marcus Pettersson	0.8715632140902452	Pittsburgh Penguins
32 Thomas Chabot	0.8694410245728034	Ottawa Senators
33 Justin Holl	0.8680341690186573	Toronto Maple Leafs
34 Nick Jensen	0.8677274081625443	Washington Capitals
35 Brent Burns	0.8641491773386245	Carolina Hurricanes
36 Alexander Romanov	0.8636645005525602	New York Islanders
37 Brayden McNabb	0.8628791947720138	Vegas Golden Knights
38 Dougie Hamilton	0.8621964235434745	New Jersey Devils
39 Ryan Suter	0.8619168067440347	Dallas Stars
40 Jack Johnson	0.8606670273125321	Chicago Blackhawks
41 Brenden Dillon	0.859569299018397	Winnipeg Jets
42 Brandon Montour	0.8591159855016604	Florida Panthers
43 Jacob Trouba	0.8586321234783829	New York Rangers
44 Alec Martinez	0.8582576672003958	Vegas Golden Knights
45 Cody Ceci	0.8572419268311735	Edmonton Oilers
46 Oliver Ekman-Larsson	0.8566191387057097	Vancouver Canucks
47 Victor Hedman	0.8546990418689878	Tampa Bay Lightning
48 Erik Gudbranson	0.8539445444598444	Columbus Blue Jackets
49 Shayne Gostisbehere	0.8491939681276034	Arizona Coyotes
50 Kaiden Guhle	0.84811321516059	Montréal Canadiens
51 MacKenzie Weegar	0.8471271298954957	Calgary Flames
52 Connor Murphy	0.8465361864875536	Chicago Blackhawks
53 Filip Hronek	0.8453079155724778	Detroit Red Wings
54 John Marino	0.844665324289877	New Jersey Devils
55 Jonas Siegenthaler	0.8372215623302438	New Jersey Devils
56 Mattias Ekholm	0.832279462361206	Nashville Predators
57 Noah Hanifin	0.8313311328553058	Calgary Flames
58 Ryan Pulock	0.828575525603904	New York Islanders
59 Quinn Hughes	0.8280730734338851	Vancouver Canucks
60 Ben Chiarot	0.8272294017706711	Detroit Red Wings
61 Dmitry Kulikov	0.8253499907187126	Anaheim Ducks
62 Andrew Peeke	0.8220274508302099	Columbus Blue Jackets
63 Scott Mayfield	0.8206793808532634	New York Islanders
64 Moritz Seider	0.8197384742848756	Detroit Red Wings
65 Connor Clifton	0.8183107641218104	Boston Bruins
66 Mikhail Sergachev	0.8174801822117088	Tampa Bay Lightning
67 Jared Spurgeon	0.8158609566871857	Minnesota Wild
68 Brian Dumoulin	0.8135146687510517	Pittsburgh Penguins
69 Nikita Zadorov	0.8103155868818207	Calgary Flames
70 Erik Gustafsson	0.8101978663238908	Washington Capitals
71 Ryan Graves	0.8071495539115331	New Jersey Devils
72 Tyler Myers	0.805409181790367	Vancouver Canucks
73 Noah Dobson	0.7998805846921326	New York Islanders
74 Mark Giordano	0.7986836199468933	Toronto Maple Leafs
75 Shea Theodore	0.7985882626430949	Vegas Golden Knights
76 Matt Benning	0.7888779471667213	San Jose Sharks
77 Kris Letang	0.782366679133062	Pittsburgh Penguins
78 Matt Roy	0.7792391019095732	Los Angeles Kings
79 Jake Middleton	0.7741740458695777	Minnesota Wild
80 Brett Kulak	0.7641430203254587	Edmonton Oilers
81 Esa Lindell	0.7562139620866837	Dallas Stars
82 Rasmus Sandin	0.7553055966095069	Toronto Maple Leafs
83 Nicolas Hague	0.755022451038645	Vegas Golden Knights
84 Tony DeAngelo	0.7482856569541466	Philadelphia Flyers
85 Jake Sanderson	0.7438431790183495	Ottawa Senators
86 Jake McCabe	0.7426956968444854	Chicago Blackhawks
87 Olli Maatta	0.7421743582810724	Detroit Red Wings
88 Tyson Barrie	0.7413769206602776	Edmonton Oilers
89 Marc-Edouard Vlasic	0.738833600732512	San Jose Sharks
90 Ryan Lindgren	0.7385361896980336	New York Rangers
91 Jeff Petry	0.7378084714880602	Pittsburgh Penguins
92 Luke Schenn	0.7376868879511288	Vancouver Canucks
93 John Klingberg	0.7304569030246378	Anaheim Ducks
94 Colin Miller	0.728200615824325	Dallas Stars
95 Evan Bouchard	0.7257745852406545	Edmonton Oilers
96 J.J. Moser	0.725660831327779	Arizona Coyotes
97 Erik Johnson	0.7247212425839532	Colorado Avalanche
98 Torey Krug	0.7222218636440567	St. Louis Blues
99 Travis Hamonic	0.7186670365625533	Ottawa Senators
100 Jani Hakanpää	0.7148379891023606	Dallas Stars
101 Jonas Brodin	0.7145769561295139	Minnesota Wild
102 Nate Schmidt	0.7119330234660811	Winnipeg Jets
103 Jaycob Megna	0.7102237021408948	San Jose Sharks
104 Damon Severson	0.7061241232931359	New Jersey Devils
