Defensemen	Hits Base	Team
1 Luke Schenn	221	Vancouver Canucks
2 Radko Gudas	155	Florida Panthers
3 Jeremy Lauzon	142	Nashville Predators
4 Arber Xhekaj	140	Montréal Canadiens
5 Jacob Trouba	135	New York Rangers
6 Adam Larsson	133	Seattle Kraken
7 Jani Hakanpää	129	Dallas Stars
8 Simon Benoit	127	Anaheim Ducks
9 Connor Clifton	126	Boston Bruins
10 Will Borgen	125	Seattle Kraken
11 Brenden Dillon	125	Winnipeg Jets
12 Erik Cernak	122	Tampa Bay Lightning
13 Martin Fehervary	121	Washington Capitals
14 Alexander Romanov	118	New York Islanders
15 Brayden McNabb	108	Vegas Golden Knights
16 Mikey Anderson	105	Los Angeles Kings
17 Ben Chiarot	104	Detroit Red Wings
18 Nikita Zadorov	103	Calgary Flames
19 Neal Pionk	103	Winnipeg Jets
20 Moritz Seider	102	Detroit Red Wings
21 MacKenzie Weegar	98	Calgary Flames
22 Jeff Petry	95	Pittsburgh Penguins
23 Rasmus Sandin	94	Toronto Maple Leafs
24 Jake McCabe	93	Chicago Blackhawks
25 K'Andre Miller	93	New York Rangers
26 Josh Brown	92	Arizona Coyotes
27 Jarred Tinordi	92	Chicago Blackhawks
28 Connor Murphy	91	Chicago Blackhawks
29 Andrew Peeke	91	Columbus Blue Jackets
30 Rasmus Ristolainen	90	Philadelphia Flyers
31 Carson Soucy	90	Seattle Kraken
32 Jamie Oleksiak	88	Seattle Kraken
33 Justin Holl	88	Toronto Maple Leafs
34 Cody Ceci	87	Edmonton Oilers
35 Niko Mikkola	87	St. Louis Blues
36 Marc Staal	86	Florida Panthers
37 Marcus Pettersson	85	Pittsburgh Penguins
38 Brendan Smith	84	New Jersey Devils
39 Ryan Pulock	84	New York Islanders
40 Erik Gudbranson	83	Columbus Blue Jackets
41 Justin Faulk	83	St. Louis Blues
42 Matt Irwin	83	Washington Capitals
43 Derek Forbort	81	Boston Bruins
44 Erik Johnson	81	Colorado Avalanche
45 Darnell Nurse	81	Edmonton Oilers
46 Dylan DeMelo	81	Winnipeg Jets
47 Andreas Englund	78	Colorado Avalanche
48 Filip Hronek	77	Detroit Red Wings
49 Alexander Edler	77	Los Angeles Kings
50 Matt Roy	77	Los Angeles Kings
51 Brandon Carlo	76	Boston Bruins
52 Kris Letang	75	Pittsburgh Penguins
53 Dmitry Kulikov	72	Anaheim Ducks
54 Kaiden Guhle	72	Montréal Canadiens
55 Brian Dumoulin	72	Pittsburgh Penguins
56 Vince Dunn	72	Seattle Kraken
57 Dmitry Orlov	72	Washington Capitals
58 Colton Parayko	71	St. Louis Blues
59 Timothy Liljegren	71	Toronto Maple Leafs
60 Nick Jensen	70	Washington Capitals
61 Matt Benning	69	San Jose Sharks
62 Drew Doughty	67	Los Angeles Kings
63 Artem Zub	67	Ottawa Senators
64 Zach Bogosian	67	Tampa Bay Lightning
65 Nicolas Hague	67	Vegas Golden Knights
66 Colin Miller	66	Dallas Stars
67 Braden Schneider	66	New York Rangers
68 Travis Hamonic	66	Ottawa Senators
69 Ian Cole	66	Tampa Bay Lightning
70 Brandon Montour	65	Florida Panthers
71 Evan Bouchard	64	Edmonton Oilers
72 Jake Middleton	64	Minnesota Wild
73 Scott Mayfield	64	New York Islanders
74 Nick Seeler	64	Philadelphia Flyers
75 Patrik Nemeth	63	Arizona Coyotes
76 Rasmus Dahlin	62	Buffalo Sabres
77 Joel Edmundson	62	Montréal Canadiens
78 Ivan Provorov	62	Philadelphia Flyers
79 Radim Simek	62	San Jose Sharks
80 Kurtis MacDermid	61	Colorado Avalanche
81 Kyle Burroughs	61	Vancouver Canucks
82 Mattias Samuelsson	60	Buffalo Sabres
83 Ryan Suter	60	Dallas Stars
84 Mario Ferraro	60	San Jose Sharks
85 Tim Berni	59	Columbus Blue Jackets
86 Calvin de Haan	58	Carolina Hurricanes
87 Matt Dumba	58	Minnesota Wild
88 Jan Rutta	58	Pittsburgh Penguins
89 Dylan Samberg	58	Winnipeg Jets
90 Esa Lindell	57	Dallas Stars
91 Brett Kulak	57	Edmonton Oilers
92 Ryan Graves	57	New Jersey Devils
93 Mattias Ekholm	56	Nashville Predators
94 Jonas Siegenthaler	56	New Jersey Devils
95 Pierre-Olivier Joseph	56	Pittsburgh Penguins
96 Jaycob Megna	56	San Jose Sharks
97 Victor Hedman	56	Tampa Bay Lightning
98 Mikhail Sergachev	56	Tampa Bay Lightning
99 Ilya Lyubushkin	55	Buffalo Sabres
100 Jack Johnson	55	Chicago Blackhawks
101 Josh Mahura	55	Florida Panthers
102 Nick Holden	55	Ottawa Senators
103 Oliver Ekman-Larsson	55	Vancouver Canucks
104 Caleb Jones	54	Chicago Blackhawks
105 Cale Makar	54	Colorado Avalanche
106 Noah Hanifin	53	Calgary Flames
107 Alexandre Carrier	53	Nashville Predators
108 Seth Jones	52	Chicago Blackhawks
109 Dante Fabbro	52	Nashville Predators
110 Kevin Shattenkirk	51	Anaheim Ducks
111 Ryan Lindgren	51	New York Rangers
112 Josh Morrissey	51	Winnipeg Jets
113 Jalen Chatfield	50	Carolina Hurricanes
114 Johnathan Kovacevic	50	Montréal Canadiens
115 Zach Whitecloud	50	Vegas Golden Knights
116 Robert Bortuzzo	49	St. Louis Blues
117 Vladislav Gavrikov	48	Columbus Blue Jackets
118 Sean Walker	48	Los Angeles Kings
119 Chad Ruhwedel	48	Pittsburgh Penguins
120 Tyler Myers	47	Vancouver Canucks
121 Josh Manson	46	Colorado Avalanche
122 Gustav Forsling	46	Florida Panthers
123 Sean Durzi	45	Los Angeles Kings
124 Hampus Lindholm	44	Boston Bruins
125 Devon Toews	44	Colorado Avalanche
126 Thomas Chabot	44	Ottawa Senators
127 John Klingberg	43	Anaheim Ducks
