Defensemen	Hits Corrected	Team
1 Luke Schenn	0.9991558015144866	Vancouver Canucks
2 Jacob Trouba	0.995419254127366	New York Rangers
3 Radko Gudas	0.9941715733836654	Florida Panthers
4 Jeff Petry	0.9905746634467939	Pittsburgh Penguins
5 Jarred Tinordi	0.988941737108381	Chicago Blackhawks
6 Jani Hakanpaa	0.9880233137332987	Dallas Stars
7 Erik Cernak	0.9847919407372787	Tampa Bay Lightning
8 Martin Fehervary	0.9847919407372787	Washington Capitals
9 Connor Clifton	0.9835346020878828	Boston Bruins
10 Alexander Romanov	0.9821751934742949	New York Islanders
11 Arber Xhekaj	0.9807057517315992	Montréal Canadiens
12 Brenden Dillon	0.9791177476622985	Winnipeg Jets
13 Nikita Zadorov	0.9755489213374408	Calgary Flames
14 Adam Larsson	0.9755489213374408	Seattle Kraken
15 Will Borgen	0.9690572965318057	Seattle Kraken
16 Rasmus Sandin	0.9665432785126242	Toronto Maple Leafs
17 Simon Benoit	0.963832626109115	Anaheim Ducks
18 Brayden McNabb	0.963832626109115	Vegas Golden Knights
19 Jeremy Lauzon	0.9507296662082654	Nashville Predators
20 Marcus Pettersson	0.9507296662082654	Pittsburgh Penguins
21 MacKenzie Weegar	0.9279984120408928	Calgary Flames
22 Mikey Anderson	0.9279984120408928	Los Angeles Kings
23 K'Andre Miller	0.9279984120408928	New York Rangers
24 Carson Soucy	0.9279984120408928	Seattle Kraken
25 Neal Pionk	0.9279984120408928	Winnipeg Jets
26 Moritz Seider	0.9224155420775527	Detroit Red Wings
27 Rasmus Ristolainen	0.9164387656911309	Philadelphia Flyers
28 Justin Holl	0.9100464643655899	Toronto Maple Leafs
29 Justin Faulk	0.9032168045371498	St. Louis Blues
30 Marc Staal	0.8959279069663962	Florida Panthers
31 Kaiden Guhle	0.8959279069663962	Montréal Canadiens
32 Kris Letang	0.8798858648888347	Pittsburgh Penguins
33 Niko Mikkola	0.8798858648888347	St. Louis Blues
34 Jake McCabe	0.8710906531758517	Chicago Blackhawks
35 Andrew Peeke	0.8710906531758517	Columbus Blue Jackets
36 Ben Chiarot	0.8710906531758517	Detroit Red Wings
37 Erik Gudbranson	0.8413753527204606	Columbus Blue Jackets
38 Ryan Pulock	0.8413753527204606	New York Islanders
39 Artem Zub	0.8413753527204606	Ottawa Senators
40 Ivan Provorov	0.8413753527204606	Philadelphia Flyers
41 Jamie Oleksiak	0.8413753527204606	Seattle Kraken
42 Matt Irwin	0.8413753527204606	Washington Capitals
43 Brandon Carlo	0.8303041021837653	Boston Bruins
44 Connor Murphy	0.8303041021837653	Chicago Blackhawks
45 Brendan Smith	0.8186267043239405	New Jersey Devils
46 Zach Whitecloud	0.8186267043239405	Vegas Golden Knights
47 Alexander Edler	0.8063331717346871	Los Angeles Kings
48 Drew Doughty	0.8063331717346871	Los Angeles Kings
49 Braden Schneider	0.8063331717346871	New York Rangers
50 Colton Parayko	0.8063331717346871	St. Louis Blues
51 Josh Brown	0.7934166559493508	Arizona Coyotes
52 Esa Lindell	0.7934166559493508	Dallas Stars
53 Darnell Nurse	0.7934166559493508	Edmonton Oilers
54 Cody Ceci	0.7798738551621032	Edmonton Oilers
55 Radim Simek	0.7798738551621032	San Jose Sharks
56 Kyle Burroughs	0.7798738551621032	Vancouver Canucks
57 Dmitry Kulikov	0.7657054107890081	Anaheim Ducks
58 Josh Manson	0.7657054107890081	Colorado Avalanche
59 Erik Johnson	0.7657054107890081	Colorado Avalanche
60 Evan Bouchard	0.7657054107890081	Edmonton Oilers
61 Nick Seeler	0.7657054107890081	Philadelphia Flyers
62 Derek Forbort	0.7509162814957571	Boston Bruins
63 Colin Miller	0.7509162814957571	Dallas Stars
64 Brian Dumoulin	0.7509162814957571	Pittsburgh Penguins
65 Oliver Ekman-Larsson	0.7509162814957571	Vancouver Canucks
66 Dylan DeMelo	0.7509162814957571	Winnipeg Jets
67 Filip Hronek	0.7355160822597397	Detroit Red Wings
68 Rasmus Dahlin	0.7195193753304033	Buffalo Sabres
69 Matt Roy	0.7195193753304033	Los Angeles Kings
