Defensemen	Penalty Kill Utilization Corrected	Team
1 Esa Lindell	0.98670468258517	Dallas Stars
2 Vladislav Gavrikov	0.9831125740936572	Columbus Blue Jackets
3 Scott Mayfield	0.9777166917455498	New York Islanders
4 John Marino	0.9769086402751819	New Jersey Devils
5 Jani Hakanpaa	0.9755869948059221	Dallas Stars
6 Andrew Peeke	0.9673708183612284	Columbus Blue Jackets
7 Justin Holl	0.9652774233464028	Toronto Maple Leafs
8 Ivan Provorov	0.9596481543023573	Philadelphia Flyers
9 Adam Larsson	0.9545202580968402	Seattle Kraken
10 Devon Toews	0.9516802201062314	Colorado Avalanche
11 Brian Dumoulin	0.9514521719951975	Pittsburgh Penguins
12 Ben Chiarot	0.9497728235760611	Detroit Red Wings
13 Jonas Siegenthaler	0.9488035783900391	New Jersey Devils
14 Nick Jensen	0.947560919820334	Washington Capitals
15 Marc-Edouard Vlasic	0.9472002456140803	San Jose Sharks
16 David Savard	0.9444239484440025	Montréal Canadiens
17 Jared Spurgeon	0.943338864734511	Minnesota Wild
18 Trevor van Riemsdyk	0.9411286747003279	Washington Capitals
19 Adam Pelech	0.932812661432041	New York Islanders
20 Moritz Seider	0.929268556624485	Detroit Red Wings
21 J.J. Moser	0.9269416581431904	Arizona Coyotes
22 Jan Rutta	0.9219556757535508	Pittsburgh Penguins
23 Jaccob Slavin	0.9200301707659435	Carolina Hurricanes
24 Dmitry Kulikov	0.9169343626847882	Anaheim Ducks
25 Cale Makar	0.9149712600293382	Colorado Avalanche
26 Marc Staal	0.9139516146315895	Florida Panthers
27 Travis Hamonic	0.9135999336197804	Ottawa Senators
28 Jake Sanderson	0.9065407581329381	Ottawa Senators
29 Matt Benning	0.9052329529921426	San Jose Sharks
30 Brayden McNabb	0.9050531110269954	Vegas Golden Knights
31 Cody Ceci	0.9005082169408557	Edmonton Oilers
32 Adam Fox	0.9004052536812235	New York Rangers
33 Mikhail Sergachev	0.8981816143491229	Tampa Bay Lightning
34 Gustav Forsling	0.8962954632976116	Florida Panthers
35 Mark Giordano	0.8926274141270679	Toronto Maple Leafs
36 Dylan DeMelo	0.8916085769273799	Winnipeg Jets
37 Mattias Ekholm	0.8880726660561181	Nashville Predators
38 Brenden Dillon	0.8831146438804556	Winnipeg Jets
39 Brandon Carlo	0.8831068309135574	Boston Bruins
40 Erik Cernak	0.8818803158393266	Tampa Bay Lightning
41 Alec Martinez	0.8743307934681281	Vegas Golden Knights
42 Josh Brown	0.8714244711886171	Arizona Coyotes
43 K'Andre Miller	0.8658733221186677	New York Rangers
44 Darnell Nurse	0.8645707642006366	Edmonton Oilers
45 Brady Skjei	0.8640554880908063	Carolina Hurricanes
46 Hampus Lindholm	0.8633885839648309	Boston Bruins
47 Jamie Oleksiak	0.8613960691513799	Seattle Kraken
48 Jacob Trouba	0.8550285288764772	New York Rangers
49 Jack Johnson	0.8519304894088082	Chicago Blackhawks
50 Brett Pesce	0.8500008532913733	Carolina Hurricanes
51 Ryan Graves	0.8461616559102332	New Jersey Devils
52 Nikita Zadorov	0.8460739945239809	Calgary Flames
53 Travis Sanheim	0.8414978383267385	Philadelphia Flyers
54 Ryan McDonagh	0.8384296524219728	Nashville Predators
55 Nick Holden	0.8378050414489026	Ottawa Senators
56 Rasmus Andersson	0.8373519789785773	Calgary Flames
57 Chris Tanev	0.8355605310368579	Calgary Flames
58 Joel Edmundson	0.83476566954377	Montréal Canadiens
59 Alexander Romanov	0.8265283295341505	New York Islanders
60 Niko Mikkola	0.8253029931375285	St. Louis Blues
61 Mikey Anderson	0.8232826550519378	Los Angeles Kings
62 Jonas Brodin	0.8193772634487392	Minnesota Wild
63 Ian Cole	0.8154854307540573	Tampa Bay Lightning
64 Ryan Lindgren	0.8125348574806903	New York Rangers
65 Nick Leddy	0.8098351114350325	St. Louis Blues
66 Cam Fowler	0.8095889918264046	Anaheim Ducks
67 Mario Ferraro	0.8075886995870271	San Jose Sharks
68 Colton Parayko	0.7986489771878734	St. Louis Blues
69 Connor Murphy	0.7967910897888808	Chicago Blackhawks
70 Brent Burns	0.7925969893377867	Carolina Hurricanes
71 Drew Doughty	0.7918582607288664	Los Angeles Kings
72 Troy Stecher	0.7907718277825484	Arizona Coyotes
73 Erik Johnson	0.7888988603022902	Colorado Avalanche
74 Justin Faulk	0.7865009728608235	St. Louis Blues
75 Tony DeAngelo	0.7853744483801632	Philadelphia Flyers
76 Zach Whitecloud	0.7825862772226704	Vegas Golden Knights
