Defensemen	Power Play Utilization Base	Team
1 Adam Fox	0.6291284403669725	New York Rangers
2 Cale Makar	0.6238888888888889	Colorado Avalanche
3 Noah Dobson	0.618	New York Islanders
4 Erik Karlsson	0.5947811447811447	San Jose Sharks
5 Dougie Hamilton	0.5708333333333333	New Jersey Devils
6 Brandon Montour	0.5652892561983471	Florida Panthers
7 Calen Addison	0.5533783783783783	Minnesota Wild
8 Rasmus Dahlin	0.5518595041322315	Buffalo Sabres
9 Roman Josi	0.5487654320987654	Nashville Predators
10 John Carlson	0.5416666666666667	Washington Capitals
11 Josh Morrissey	0.5362745098039216	Winnipeg Jets
12 Tony DeAngelo	0.5298543689320389	Philadelphia Flyers
13 Shayne Gostisbehere	0.5193910256410257	Arizona Coyotes
14 Brent Burns	0.5134218289085546	Carolina Hurricanes
15 Quinn Hughes	0.5082582582582582	Vancouver Canucks
16 Rasmus Andersson	0.5016812865497077	Calgary Flames
17 J.J. Moser	0.47692307692307695	Arizona Coyotes
18 Vince Dunn	0.4675084175084175	Seattle Kraken
19 Drew Doughty	0.46052971576227386	Los Angeles Kings
20 Thomas Chabot	0.45297157622739015	Ottawa Senators
21 Moritz Seider	0.4502873563218391	Detroit Red Wings
22 Tyson Barrie	0.4483870967741936	Edmonton Oilers
23 Torey Krug	0.43626373626373627	St. Louis Blues
24 Miro Heiskanen	0.4288778877887789	Dallas Stars
25 Kris Letang	0.42544642857142856	Pittsburgh Penguins
26 Cam Fowler	0.4170175438596491	Anaheim Ducks
27 Alex Pietrangelo	0.3885	Vegas Golden Knights
28 Justin Faulk	0.38452380952380955	St. Louis Blues
29 Filip Hronek	0.3831896551724138	Detroit Red Wings
30 Seth Jones	0.3769965277777778	Chicago Blackhawks
31 Victor Hedman	0.36306497175141245	Tampa Bay Lightning
32 Mikhail Sergachev	0.34505649717514125	Tampa Bay Lightning
33 Hampus Lindholm	0.3447404371584699	Boston Bruins
34 Shea Theodore	0.34424999999999994	Vegas Golden Knights
35 Aaron Ekblad	0.3413911845730027	Florida Panthers
36 Justin Schultz	0.3413299663299663	Seattle Kraken
37 John Klingberg	0.33535087719298246	Anaheim Ducks
38 Jeff Petry	0.330952380952381	Pittsburgh Penguins
39 Sean Durzi	0.33016795865633075	Los Angeles Kings
40 Noah Hanifin	0.3277046783625731	Calgary Flames
41 Rasmus Sandin	0.3187308868501529	Toronto Maple Leafs
