Defensemen	Power Play Utilization Corrected	Team
1 Adam Fox	0.9957097561889683	New York Rangers
2 Cale Makar	0.9950667867664449	Colorado Avalanche
3 Noah Dobson	0.9949742644119555	New York Islanders
4 Erik Karlsson	0.9941153872929458	San Jose Sharks
5 Dougie Hamilton	0.9915388078195306	New Jersey Devils
6 Brandon Montour	0.9910637902468019	Florida Panthers
7 Roman Josi	0.9897087609953366	Nashville Predators
8 Calen Addison	0.9894728233465241	Minnesota Wild
9 Tony DeAngelo	0.9891756852998494	Philadelphia Flyers
10 Rasmus Dahlin	0.9890970562401202	Buffalo Sabres
11 John Carlson	0.9875735091308964	Washington Capitals
12 Shayne Gostisbehere	0.9874449538459463	Arizona Coyotes
13 Josh Morrissey	0.9867413779551163	Winnipeg Jets
14 Brent Burns	0.9865708753737952	Carolina Hurricanes
15 J.J. Moser	0.983243464524051	Arizona Coyotes
16 Quinn Hughes	0.9831050128740066	Vancouver Canucks
17 Rasmus Andersson	0.982135054372379	Calgary Flames
18 Tyson Barrie	0.9703564134474097	Edmonton Oilers
19 Vince Dunn	0.9700598688105654	Seattle Kraken
20 Moritz Seider	0.9691097239158496	Detroit Red Wings
21 Drew Doughty	0.9683251639397957	Los Angeles Kings
22 Miro Heiskanen	0.9628599858826997	Dallas Stars
23 Torey Krug	0.9619667089374441	St. Louis Blues
24 Kris Letang	0.9616418702817637	Pittsburgh Penguins
25 Cam Fowler	0.9600222297394735	Anaheim Ducks
26 Thomas Chabot	0.9574169593623866	Ottawa Senators
27 Filip Hronek	0.9465166610325185	Detroit Red Wings
28 Shea Theodore	0.9463397050977572	Vegas Golden Knights
29 Justin Faulk	0.9452653030661188	St. Louis Blues
30 Mikhail Sergachev	0.9438748450420983	Tampa Bay Lightning
31 Jeff Petry	0.9415629402463032	Pittsburgh Penguins
32 Victor Hedman	0.9251166534918741	Tampa Bay Lightning
33 Seth Jones	0.9243380360189242	Chicago Blackhawks
34 John Klingberg	0.91499548820809	Anaheim Ducks
35 Hampus Lindholm	0.9109565360553044	Boston Bruins
36 Justin Schultz	0.9098538831914808	Seattle Kraken
37 Sean Durzi	0.9068059448157775	Los Angeles Kings
