Defensemen	Plus_Minus Base	Team
1 Hampus Lindholm	44.16666666666667	Boston Bruins
2 Jonas Siegenthaler	39.58333333333333	New Jersey Devils
3 Rasmus Dahlin	37.85	Buffalo Sabres
4 Ryan Graves	37.05	New Jersey Devils
5 Darnell Nurse	36.85	Edmonton Oilers
6 Dougie Hamilton	36.8	New Jersey Devils
7 Gustav Forsling	36.0	Florida Panthers
8 Shea Theodore	35.83333333333333	Vegas Golden Knights
9 Miro Heiskanen	35.36666666666667	Dallas Stars
10 Esa Lindell	34.983333333333334	Dallas Stars
11 Josh Morrissey	34.28333333333333	Winnipeg Jets
12 Timothy Liljegren	33.91666666666667	Toronto Maple Leafs
13 John Marino	33.516666666666666	New Jersey Devils
14 Mattias Samuelsson	33.3	Buffalo Sabres
15 Brayden McNabb	33.233333333333334	Vegas Golden Knights
16 Jared Spurgeon	33.2	Minnesota Wild
17 Adam Larsson	32.85	Seattle Kraken
18 Filip Hronek	32.83333333333333	Detroit Red Wings
19 Adam Pelech	32.81666666666666	New York Islanders
20 Mark Giordano	32.766666666666666	Toronto Maple Leafs
21 Connor Clifton	32.65	Boston Bruins
22 Owen Power	32.61666666666667	Buffalo Sabres
23 Josh Mahura	31.25	Florida Panthers
24 Adam Fox	31.15	New York Rangers
25 Ryan Pulock	31.133333333333333	New York Islanders
26 Cody Ceci	31.05	Edmonton Oilers
27 Olli Maatta	30.916666666666668	Detroit Red Wings
28 Nick Jensen	30.866666666666667	Washington Capitals
29 Jaccob Slavin	30.7	Carolina Hurricanes
30 Brandon Carlo	30.516666666666666	Boston Bruins
31 Colin Miller	30.516666666666666	Dallas Stars
32 Brent Burns	29.683333333333334	Carolina Hurricanes
33 Devon Toews	29.633333333333333	Colorado Avalanche
34 Justin Holl	29.4	Toronto Maple Leafs
35 Brady Skjei	29.316666666666666	Carolina Hurricanes
36 Matt Grzelcyk	29.216666666666665	Boston Bruins
37 Charlie McAvoy	29.166666666666668	Boston Bruins
38 Jan Rutta	28.983333333333334	Pittsburgh Penguins
39 Cale Makar	28.916666666666668	Colorado Avalanche
40 Vince Dunn	28.616666666666667	Seattle Kraken
41 Rasmus Sandin	28.25	Toronto Maple Leafs
42 Nikita Zadorov	27.766666666666666	Calgary Flames
43 Ian Cole	27.666666666666668	Tampa Bay Lightning
44 Mikey Anderson	27.616666666666667	Los Angeles Kings
45 Jakob Chychrun	27.366666666666667	Arizona Coyotes
46 Dmitry Orlov	27.333333333333332	Washington Capitals
47 Erik Johnson	27.3	Colorado Avalanche
48 Drew Doughty	27.3	Los Angeles Kings
49 Marcus Pettersson	27.283333333333335	Pittsburgh Penguins
50 Brett Pesce	26.5	Carolina Hurricanes
51 Derek Forbort	26.483333333333334	Boston Bruins
52 Nate Schmidt	26.4	Winnipeg Jets
53 Jeff Petry	26.333333333333332	Pittsburgh Penguins
54 Victor Hedman	26.016666666666666	Tampa Bay Lightning
55 Pierre-Olivier Joseph	25.933333333333334	Pittsburgh Penguins
56 Jani Hakanpaa	25.9	Dallas Stars
57 Mikhail Sergachev	25.716666666666665	Tampa Bay Lightning
58 Ryan Lindgren	25.366666666666667	New York Rangers
59 Ryan McDonagh	25.25	Nashville Predators
60 Thomas Chabot	25.033333333333335	Ottawa Senators
61 Alec Martinez	24.966666666666665	Vegas Golden Knights
62 Jake Walman	24.816666666666666	Detroit Red Wings
63 Carson Soucy	24.8	Seattle Kraken
64 Tyson Barrie	24.683333333333334	Edmonton Oilers
65 Luke Schenn	24.683333333333334	Vancouver Canucks
66 Brandon Montour	24.666666666666668	Florida Panthers
67 Tyler Myers	24.216666666666665	Vancouver Canucks
68 Cam York	24.2	Philadelphia Flyers
69 TJ Brodie	24.083333333333332	Toronto Maple Leafs
70 MacKenzie Weegar	23.95	Calgary Flames
71 Quinn Hughes	23.95	Vancouver Canucks
72 Vladislav Gavrikov	23.8	Columbus Blue Jackets
73 Bowen Byram	23.783333333333335	Colorado Avalanche
74 Jaycob Megna	23.35	San Jose Sharks
75 Jake Middleton	23.3	Minnesota Wild
76 Jonas Brodin	23.233333333333334	Minnesota Wild
77 Alexander Romanov	23.1	New York Islanders
78 Calle Rosen	22.983333333333334	St. Louis Blues
79 Erik Cernak	22.933333333333334	Tampa Bay Lightning
80 Brenden Dillon	22.8	Winnipeg Jets
81 Rasmus Andersson	22.733333333333334	Calgary Flames
82 Mattias Ekholm	22.516666666666666	Nashville Predators
83 Jake McCabe	22.433333333333334	Chicago Blackhawks
84 Henri Jokiharju	22.383333333333333	Buffalo Sabres
85 Noah Hanifin	22.366666666666667	Calgary Flames
86 Justin Schultz	22.333333333333332	Seattle Kraken
87 Dylan DeMelo	22.25	Winnipeg Jets
88 Johnathan Kovacevic	22.166666666666668	Montréal Canadiens
89 Jake Sanderson	22.1	Ottawa Senators
90 Niko Mikkola	22.1	St. Louis Blues
91 Nick Perbix	22.083333333333336	Tampa Bay Lightning
92 Morgan Rielly	22.0	Toronto Maple Leafs
93 Jordan Oesterle	21.75	Detroit Red Wings
94 K'Andre Miller	21.183333333333334	New York Rangers
95 Braden Schneider	21.166666666666664	New York Rangers
96 Scott Mayfield	21.15	New York Islanders
97 Martin Fehervary	21.066666666666666	Washington Capitals
98 Artem Zub	21.016666666666666	Ottawa Senators
99 Brian Dumoulin	20.9	Pittsburgh Penguins
100 Connor Murphy	20.883333333333333	Chicago Blackhawks
101 Radko Gudas	20.816666666666666	Florida Panthers
102 Jamie Oleksiak	20.716666666666665	Seattle Kraken
103 Roman Josi	20.516666666666666	Nashville Predators
104 Mike Matheson	20.4	Montréal Canadiens
105 Erik Karlsson	20.033333333333335	San Jose Sharks
106 Brett Kulak	19.95	Edmonton Oilers
107 Marcus Bjork	19.566666666666666	Columbus Blue Jackets
108 Neal Pionk	19.566666666666666	Winnipeg Jets
109 Patrik Nemeth	19.483333333333334	Arizona Coyotes
110 Jordan Harris	19.283333333333335	Montréal Canadiens
111 Nick Seeler	19.166666666666664	Philadelphia Flyers
112 Matt Dumba	19.066666666666666	Minnesota Wild
113 Damon Severson	19.033333333333335	New Jersey Devils
114 Josh Manson	18.95	Colorado Avalanche
115 Chris Tanev	18.883333333333333	Calgary Flames
116 Scott Harrington	18.833333333333336	San Jose Sharks
117 Jacob Bernard-Docker	18.733333333333334	Ottawa Senators
118 Michael Stone	18.55	Calgary Flames
119 David Savard	18.283333333333335	Montréal Canadiens
120 Nick Leddy	18.1	St. Louis Blues
121 Trevor van Riemsdyk	17.683333333333334	Washington Capitals
122 Will Borgen	17.633333333333333	Seattle Kraken
123 Zach Werenski	17.583333333333332	Columbus Blue Jackets
124 John Carlson	17.533333333333335	Washington Capitals
125 Nils Lundkvist	17.35	Dallas Stars
126 Jordie Benn	17.05	Toronto Maple Leafs
127 Marc Staal	17.033333333333335	Florida Panthers
128 Kris Letang	16.983333333333334	Pittsburgh Penguins
129 Sebastian Aho	16.78333333333333	New York Islanders
130 Chris Wideman	16.7	Montréal Canadiens
131 Jake Muzzin	16.7	Toronto Maple Leafs
132 Zach Whitecloud	16.65	Vegas Golden Knights
133 Alex Goligoski	16.55	Minnesota Wild
134 Aaron Ekblad	16.533333333333335	Florida Panthers
135 Tim Berni	16.5	Columbus Blue Jackets
136 Dante Fabbro	16.416666666666668	Nashville Predators
137 Chad Ruhwedel	16.3	Pittsburgh Penguins
138 Matt Roy	16.216666666666665	Los Angeles Kings
139 Kevin Shattenkirk	16.083333333333332	Anaheim Ducks
140 Tobias Bjornfot	16.066666666666666	Los Angeles Kings
141 Victor Mete	16.066666666666666	Toronto Maple Leafs
142 Travis Sanheim	16.016666666666666	Philadelphia Flyers
143 Cal Foote	15.783333333333333	Tampa Bay Lightning
144 Nikita Zaitsev	15.766666666666666	Ottawa Senators
145 Justin Braun	15.75	Philadelphia Flyers
146 Ryan Suter	15.7	Dallas Stars
147 Justin Faulk	15.416666666666668	St. Louis Blues
148 Noah Dobson	15.399999999999999	New York Islanders
149 Travis Hamonic	15.399999999999999	Ottawa Senators
150 Ilya Lyubushkin	15.383333333333333	Buffalo Sabres
151 Jarred Tinordi	15.3	Chicago Blackhawks
152 Matt Benning	15.3	San Jose Sharks
153 Libor Hajek	15.25	New York Rangers
154 Colton Parayko	15.2	St. Louis Blues
155 Dylan Samberg	15.15	Winnipeg Jets
156 Kale Clague	15.133333333333333	Buffalo Sabres
157 Jacob Trouba	15.100000000000001	New York Rangers
158 Joel Hanley	15.0	Dallas Stars
159 Troy Stecher	14.95	Arizona Coyotes
160 Tucker Poolman	14.95	Vancouver Canucks
161 Adam Boqvist	14.933333333333334	Columbus Blue Jackets
162 Brendan Smith	14.883333333333333	New Jersey Devils
163 Alexandre Carrier	14.850000000000001	Nashville Predators
164 Joel Edmundson	14.8	Montréal Canadiens
165 Nicolas Hague	14.8	Vegas Golden Knights
166 Jamie Drysdale	14.616666666666667	Anaheim Ducks
167 Ethan Bear	14.600000000000001	Vancouver Canucks
168 Jordan Gross	14.566666666666666	Nashville Predators
169 Josh Brown	14.100000000000001	Arizona Coyotes
170 Arber Xhekaj	14.1	Montréal Canadiens
171 Matt Irwin	13.866666666666667	Washington Capitals
172 Juuso Valimaki	13.833333333333334	Arizona Coyotes
173 Jake Bean	13.7	Columbus Blue Jackets
174 Kaiden Guhle	13.600000000000001	Montréal Canadiens
175 Logan Stanley	13.566666666666666	Winnipeg Jets
176 Robin Salo	13.433333333333334	New York Islanders
177 Conor Timmins	13.2	Toronto Maple Leafs
178 Dylan Coghlan	13.133333333333333	Carolina Hurricanes
179 Sean Durzi	13.133333333333333	Los Angeles Kings
180 Erik Gustafsson	13.133333333333333	Washington Capitals
181 Gavin Bayreuther	13.066666666666666	Columbus Blue Jackets
182 Nick Blankenburg	13.033333333333335	Columbus Blue Jackets
183 Erik Brannstrom	12.916666666666666	Ottawa Senators
184 Samuel Girard	12.833333333333332	Colorado Avalanche
185 Kevin Gravel	12.816666666666666	Nashville Predators
186 Shayne Gostisbehere	12.8	Arizona Coyotes
187 Kyle Capobianco	12.783333333333333	Winnipeg Jets
188 Lucas Johansen	12.65	Washington Capitals
189 Urho Vaakanainen	12.633333333333333	Anaheim Ducks
190 Kevin Bahl	12.633333333333333	New Jersey Devils
191 Jakub Zboril	12.566666666666666	Boston Bruins
192 Jeremy Lauzon	12.55	Nashville Predators
193 Marc-Edouard Vlasic	12.45	San Jose Sharks
194 Jack Rathbone	12.416666666666666	Vancouver Canucks
195 Anton Stralman	12.366666666666667	Boston Bruins
196 Ben Hutton	12.233333333333333	Vegas Golden Knights
197 Roland McKeown	12.183333333333334	Nashville Predators
198 Matt Kiersted	12.15	Florida Panthers
199 Daniil Miromanov	12.133333333333333	Vegas Golden Knights
200 Jon Merrill	12.016666666666666	Minnesota Wild
201 Nick Cicek	11.983333333333333	San Jose Sharks
202 Cale Fleury	11.95	Seattle Kraken
203 Zach Bogosian	11.833333333333334	Tampa Bay Lightning
204 Oliver Ekman-Larsson	11.783333333333335	Vancouver Canucks
205 Ivan Provorov	11.683333333333334	Philadelphia Flyers
206 Cam Fowler	11.5	Anaheim Ducks
207 J.J. Moser	11.45	Arizona Coyotes
208 Rasmus Ristolainen	11.45	Philadelphia Flyers
209 Tony DeAngelo	11.316666666666666	Philadelphia Flyers
210 Nick Holden	11.166666666666668	Ottawa Senators
211 Alexander Edler	11.166666666666666	Los Angeles Kings
212 Alexander Alexeyev	11.166666666666666	Washington Capitals
213 Kyle Burroughs	11.100000000000001	Vancouver Canucks
