Defensemen	Plus_Minus Corrected	Team
1 Hampus Lindholm	0.9953981379230163	Boston Bruins
2 Jonas Siegenthaler	0.987835864817896	New Jersey Devils
3 Rasmus Dahlin	0.9824765444229187	Buffalo Sabres
4 Ryan Graves	0.9792764139929485	New Jersey Devils
5 Darnell Nurse	0.9783908585378992	Edmonton Oilers
6 Dougie Hamilton	0.9781637494647872	New Jersey Devils
7 Gustav Forsling	0.9741967023663668	Florida Panthers
8 Shea Theodore	0.9732859178393246	Vegas Golden Knights
9 Miro Heiskanen	0.9705663199561522	Dallas Stars
10 Esa Lindell	0.9681332066156519	Dallas Stars
11 Josh Morrissey	0.9631794924375514	Winnipeg Jets
12 Timothy Liljegren	0.960296862527974	Toronto Maple Leafs
13 John Marino	0.9569057328045274	New Jersey Devils
14 Mattias Samuelsson	0.9549550694855765	Buffalo Sabres
15 Brayden McNabb	0.9543381229784913	Vegas Golden Knights
16 Jared Spurgeon	0.9540266404436853	Minnesota Wild
17 Adam Larsson	0.9506317532897378	Seattle Kraken
18 Filip Hronek	0.9504642980650198	Detroit Red Wings
19 Adam Pelech	0.950296304536438	New York Islanders
20 Mark Giordano	0.9497890788254958	Toronto Maple Leafs
21 Connor Clifton	0.9485864247544149	Boston Bruins
22 Owen Power	0.9482378350764269	Buffalo Sabres
23 Josh Mahura	0.9318734451064923	Florida Panthers
24 Adam Fox	0.9305038981790141	New York Rangers
25 Ryan Pulock	0.9302731777054598	New York Islanders
26 Cody Ceci	0.9291089137340456	Edmonton Oilers
27 Olli Maatta	0.9272086944871267	Detroit Red Wings
28 Nick Jensen	0.9264840868930801	Washington Capitals
29 Jaccob Slavin	0.9240205278934199	Carolina Hurricanes
30 Brandon Carlo	0.9212232717569756	Boston Bruins
31 Colin Miller	0.9212232717569756	Dallas Stars
32 Brent Burns	0.9072882788016844	Carolina Hurricanes
33 Devon Toews	0.9063853927371265	Colorado Avalanche
34 Justin Holl	0.9020669544413347	Toronto Maple Leafs
35 Brady Skjei	0.9004821002845116	Carolina Hurricanes
36 Matt Grzelcyk	0.8985501949660273	Boston Bruins
37 Charlie McAvoy	0.8975718188693682	Boston Bruins
38 Jan Rutta	0.8939126235308035	Pittsburgh Penguins
39 Cale Makar	0.89255369262423	Colorado Avalanche
40 Vince Dunn	0.8862476193034607	Seattle Kraken
41 Rasmus Sandin	0.8781043233683488	Toronto Maple Leafs
42 Nikita Zadorov	0.8666075333309512	Calgary Flames
43 Ian Cole	0.8641172642351416	Tampa Bay Lightning
44 Mikey Anderson	0.8628575014649249	Los Angeles Kings
45 Jakob Chychrun	0.856410735104124	Arizona Coyotes
46 Dmitry Orlov	0.8555323643778225	Washington Capitals
47 Erik Johnson	0.8546495323862846	Colorado Avalanche
48 Drew Doughty	0.8546495323862846	Los Angeles Kings
49 Marcus Pettersson	0.8542064398190635	Pittsburgh Penguins
50 Brett Pesce	0.8320950934822144	Carolina Hurricanes
51 Derek Forbort	0.8315967929128043	Boston Bruins
52 Nate Schmidt	0.8290875903002892	Winnipeg Jets
53 Jeff Petry	0.8270589298244937	Pittsburgh Penguins
54 Victor Hedman	0.8171624185859226	Tampa Bay Lightning
55 Pierre-Olivier Joseph	0.8144861227688495	Pittsburgh Penguins
56 Jani Hakanpaa	0.8134071665197765	Dallas Stars
57 Mikhail Sergachev	0.8073864596342303	Tampa Bay Lightning
58 Ryan Lindgren	0.7954843151056095	New York Rangers
59 Ryan McDonagh	0.7913974818706649	Nashville Predators
60 Thomas Chabot	0.7836489224786529	Ottawa Senators
61 Alec Martinez	0.7812232423323974	Vegas Golden Knights
62 Jake Walman	0.775694119269982	Detroit Red Wings
63 Carson Soucy	0.7750736806261327	Seattle Kraken
64 Tyson Barrie	0.770696551847496	Edmonton Oilers
65 Luke Schenn	0.770696551847496	Vancouver Canucks
66 Brandon Montour	0.7700663873339172	Florida Panthers
67 Tyler Myers	0.7525951902321312	Vancouver Canucks
68 Cam York	0.7519312920378455	Philadelphia Flyers
69 TJ Brodie	0.7472506661846484	Toronto Maple Leafs
70 MacKenzie Weegar	0.7418302932277044	Calgary Flames
71 Quinn Hughes	0.7418302932277044	Vancouver Canucks
72 Vladislav Gavrikov	0.7356424876250319	Columbus Blue Jackets
73 Bowen Byram	0.7349491191043633	Colorado Avalanche
74 Jaycob Megna	0.7165185269171566	San Jose Sharks
