Defensemen	Points Base	Team
1 Erik Karlsson	0.05083114049162441	San Jose Sharks
2 Rasmus Dahlin	0.04482112297286285	Buffalo Sabres
3 Josh Morrissey	0.04329555583853304	Winnipeg Jets
4 Dougie Hamilton	0.04204496983730425	New Jersey Devils
5 Quinn Hughes	0.04004746366063482	Vancouver Canucks
6 Adam Fox	0.0390985609557426	New York Rangers
7 Conor Timmins	0.038238886823516914	Toronto Maple Leafs
8 Cale Makar	0.0377037047380989	Colorado Avalanche
9 Charlie McAvoy	0.03689129365469749	Boston Bruins
10 Brandon Montour	0.03528156879905916	Florida Panthers
11 Vincent Desharnais	0.03523194362889019	Edmonton Oilers
12 Roman Josi	0.03399480404621082	Nashville Predators
13 Tyson Barrie	0.03367121461891901	Edmonton Oilers
14 Shea Theodore	0.03355107643036881	Vegas Golden Knights
15 Miro Heiskanen	0.03300556968988517	Dallas Stars
16 Jakob Chychrun	0.03286446693834626	Arizona Coyotes
17 Calen Addison	0.0317761546439526	Minnesota Wild
18 Justin Schultz	0.03146165610662006	Seattle Kraken
19 Filip Hronek	0.03142807257027666	Detroit Red Wings
20 Vince Dunn	0.03139261110949627	Seattle Kraken
21 Alex Pietrangelo	0.030740752983175225	Vegas Golden Knights
22 Adam Boqvist	0.030670142616163163	Columbus Blue Jackets
23 Victor Hedman	0.030124606326167327	Tampa Bay Lightning
24 Mikhail Sergachev	0.029975020815986676	Tampa Bay Lightning
25 John Carlson	0.029925187032418952	Washington Capitals
26 Torey Krug	0.02987006521630905	St. Louis Blues
27 Brent Burns	0.029345506284088215	Carolina Hurricanes
28 Connor Mackey	0.029154518950437316	Calgary Flames
29 Calle Rosen	0.027927960184754196	St. Louis Blues
30 Tony DeAngelo	0.027819080051801046	Philadelphia Flyers
31 Hampus Lindholm	0.02768844728379216	Boston Bruins
32 Jake Bean	0.02729133500113714	Columbus Blue Jackets
33 Erik Gustafsson	0.026913428471749205	Washington Capitals
34 Noah Dobson	0.026696989172887722	New York Islanders
35 Rasmus Andersson	0.02669542941890252	Calgary Flames
36 Shayne Gostisbehere	0.02669080087742173	Arizona Coyotes
37 Sean Durzi	0.02650672013321326	Los Angeles Kings
38 Nick Perbix	0.026454248846300814	Tampa Bay Lightning
39 Morgan Rielly	0.02643005474797055	Toronto Maple Leafs
40 Zach Werenski	0.026079869600651995	Columbus Blue Jackets
41 Nick Blankenburg	0.0254514604290389	Columbus Blue Jackets
42 Kris Letang	0.025389302640487475	Pittsburgh Penguins
43 Daniil Miromanov	0.025158990844922777	Vegas Golden Knights
44 Aaron Ekblad	0.024798512089274645	Florida Panthers
45 Gustav Forsling	0.02425156961547789	Florida Panthers
46 Seth Jones	0.024176266964596422	Chicago Blackhawks
47 Bowen Byram	0.02405002405002405	Colorado Avalanche
48 Tucker Poolman	0.0238758456028651	Vancouver Canucks
49 Drew Doughty	0.023219524374258785	Los Angeles Kings
50 Matt Grzelcyk	0.023179945054945056	Boston Bruins
51 Devon Toews	0.02311347001669306	Colorado Avalanche
52 K'Andre Miller	0.022945252627231426	New York Rangers
53 Jared Spurgeon	0.02292739657750457	Minnesota Wild
54 Thomas Chabot	0.022876248295279573	Ottawa Senators
55 Cam York	0.0221606648199446	Philadelphia Flyers
56 Matt Benning	0.02208008411460615	San Jose Sharks
57 Cam Fowler	0.022035454481248676	Anaheim Ducks
58 Justin Faulk	0.021815435819267506	St. Louis Blues
59 Moritz Seider	0.02172896138582487	Detroit Red Wings
60 Brad Hunt	0.02161513059141399	Colorado Avalanche
61 Brady Skjei	0.021505726714348555	Carolina Hurricanes
62 Dmitry Orlov	0.02149314115936532	Washington Capitals
63 Ian Mitchell	0.020857957310714038	Chicago Blackhawks
64 Jeff Petry	0.020570488206253425	Pittsburgh Penguins
65 Evan Bouchard	0.0204739336492891	Edmonton Oilers
66 Scott Harrington	0.019867549668874173	San Jose Sharks
67 Adam Larsson	0.019819897453574042	Seattle Kraken
68 Kurtis MacDermid	0.019491594249979698	Colorado Avalanche
69 Oliver Ekman-Larsson	0.019329241412051952	Vancouver Canucks
70 Jake Sanderson	0.019151584793641676	Ottawa Senators
71 Noah Hanifin	0.01914224511189098	Calgary Flames
72 Luke Schenn	0.019032513877874704	Vancouver Canucks
73 Neal Pionk	0.018906144496961513	Winnipeg Jets
74 Justin Barron	0.018830914083954493	Montréal Canadiens
75 Olli Maatta	0.018824907444205063	Detroit Red Wings
76 Mike Matheson	0.01881720430107527	Montréal Canadiens
77 Kaiden Guhle	0.0187207488299532	Montréal Canadiens
78 Darnell Nurse	0.018696354210928866	Edmonton Oilers
79 Nick Jensen	0.018689550983537622	Washington Capitals
80 Dylan Coghlan	0.018524235875270148	Carolina Hurricanes
81 Samuel Girard	0.018512804689910522	Colorado Avalanche
82 Rasmus Sandin	0.018503289473684213	Toronto Maple Leafs
83 Nils Lundkvist	0.01845221097027876	Dallas Stars
84 Brett Pesce	0.01840801362193008	Carolina Hurricanes
85 Ryan Graves	0.018125177003681676	New Jersey Devils
86 J.J. Moser	0.017981119824184606	Arizona Coyotes
87 Dylan DeMelo	0.01796978829343167	Winnipeg Jets
88 Pierre-Olivier Joseph	0.017931858936043037	Pittsburgh Penguins
89 Owen Power	0.017920020120724345	Buffalo Sabres
90 Juuso Valimaki	0.017848731996331094	Arizona Coyotes
91 Timothy Liljegren	0.017842437551468568	Toronto Maple Leafs
92 Arber Xhekaj	0.017813506291821775	Montréal Canadiens
