Defensemen	Points Corrected	Team
1 Scott Harrington	0.9984643540342761	San Jose Sharks
2 Conor Timmins	0.9966596097804076	Toronto Maple Leafs
3 Erik Karlsson	0.9964164300501711	San Jose Sharks
4 Josh Morrissey	0.9961785338010578	Winnipeg Jets
5 Rasmus Dahlin	0.9936632622058378	Buffalo Sabres
6 Charlie McAvoy	0.9902921467696679	Boston Bruins
7 Mikhail Sergachev	0.9854479500562932	Tampa Bay Lightning
8 Quinn Hughes	0.9836997774930237	Vancouver Canucks
9 Adam Fox	0.983392609276379	New York Rangers
10 Filip Hronek	0.9769258128568463	Detroit Red Wings
11 Jakob Chychrun	0.9712089524322545	Arizona Coyotes
12 Shayne Gostisbehere	0.9666736264371574	Arizona Coyotes
13 Tyson Barrie	0.965891510432451	Edmonton Oilers
14 Dougie Hamilton	0.9628631892565815	New Jersey Devils
15 Morgan Rielly	0.961395245389535	Toronto Maple Leafs
16 Shea Theodore	0.9610683296310196	Vegas Golden Knights
17 Cale Makar	0.9589158755522356	Colorado Avalanche
18 Kevin Bahl	0.9588098507387779	New Jersey Devils
19 Brandon Montour	0.9513592108470772	Florida Panthers
20 Daniil Miromanov	0.9461473006703567	Vegas Golden Knights
21 Noah Dobson	0.945602972613449	New York Islanders
22 Miro Heiskanen	0.9427654590633072	Dallas Stars
23 Justin Schultz	0.9422724532528542	Seattle Kraken
24 Calen Addison	0.9409475232436333	Minnesota Wild
25 Roman Josi	0.9401949029356861	Nashville Predators
26 Sean Durzi	0.9341812507224969	Los Angeles Kings
27 John Carlson	0.9290320658348533	Washington Capitals
28 Brad Hunt	0.9191729977815996	Colorado Avalanche
29 Brent Burns	0.9042491188930496	Carolina Hurricanes
30 Hampus Lindholm	0.8969389201246415	Boston Bruins
31 Devon Toews	0.8796397445800502	Colorado Avalanche
32 Mike Matheson	0.8745900536491465	Montréal Canadiens
33 Jake Bean	0.8742024796586375	Columbus Blue Jackets
34 Gustav Forsling	0.8683375593663897	Florida Panthers
35 Rasmus Andersson	0.8674734255029749	Calgary Flames
36 Nick Cicek	0.8625003851551646	San Jose Sharks
37 Justin Faulk	0.8585892989382589	St. Louis Blues
38 Michael Stone	0.851144706060398	Calgary Flames
39 Zach Werenski	0.8496882515928696	Columbus Blue Jackets
40 Thomas Chabot	0.8390982197458595	Ottawa Senators
41 Calle Rosen	0.830310342622502	St. Louis Blues
42 J.J. Moser	0.8180417553126603	Arizona Coyotes
43 Victor Hedman	0.8138704586893312	Tampa Bay Lightning
44 Aaron Ekblad	0.8084702936831778	Florida Panthers
45 Kris Letang	0.8051233895316622	Pittsburgh Penguins
46 Bowen Byram	0.7999839833776896	Colorado Avalanche
