Defensemen	Takeaways Base	Team
1 Jaccob Slavin	127.93662188730225	Carolina Hurricanes
2 Brett Pesce	91.30295215637035	Carolina Hurricanes
3 Mario Ferraro	50.77374231025934	San Jose Sharks
4 Mikhail Sergachev	46.787686243325005	Tampa Bay Lightning
5 Devon Toews	39.43365934820326	Colorado Avalanche
6 Noah Hanifin	30.830332612608508	Calgary Flames
7 Quinn Hughes	28.206953380245626	Vancouver Canucks
8 Brandon Carlo	28.156724286451443	Boston Bruins
9 Brayden McNabb	25.94672978706698	Vegas Golden Knights
10 Samuel Girard	25.825440692175416	Colorado Avalanche
11 Nick Leddy	24.74919363744455	St. Louis Blues
12 Jalen Chatfield	24.221676044336476	Carolina Hurricanes
13 John Marino	21.832423440996276	New Jersey Devils
14 Alex Pietrangelo	20.230782977882974	Vegas Golden Knights
15 Brady Skjei	17.54615195935002	Carolina Hurricanes
16 Josh Manson	17.24239096733239	Colorado Avalanche
17 Ilya Lyubushkin	16.622002163899506	Buffalo Sabres
18 Ben Hutton	16.323703988141492	Vegas Golden Knights
19 Vladislav Gavrikov	15.208179381133036	Columbus Blue Jackets
20 Jacob Bryson	13.918322516134634	Buffalo Sabres
21 Zach Werenski	11.569938015551553	Columbus Blue Jackets
22 Jake Bean	11.287564464664502	Columbus Blue Jackets
23 Marc-Edouard Vlasic	10.92955300321179	San Jose Sharks
24 Adam Fox	9.929014246271496	New York Rangers
25 Cale Makar	8.816881115015066	Colorado Avalanche
26 Kaedan Korczak	8.683949888400939	Vegas Golden Knights
27 Chad Ruhwedel	8.52989546024541	Pittsburgh Penguins
28 Isaak Phillips	7.628699144067912	Chicago Blackhawks
29 Philippe Myers	7.328144738982328	Tampa Bay Lightning
30 Casey Fitzgerald	6.804964487822317	Buffalo Sabres
31 Shea Theodore	5.846452849687244	Vegas Golden Knights
32 Brad Hunt	5.838778051658827	Colorado Avalanche
33 Alexandre Carrier	5.63343039426244	Nashville Predators
34 Pierre-Olivier Joseph	5.381532414906259	Pittsburgh Penguins
35 Parker Wotherspoon	5.372098222709113	New York Islanders
36 Jonas Brodin	5.159768969257706	Minnesota Wild
37 Noah Juulsen	4.974448364325912	Vancouver Canucks
38 Scott Harrington	4.944845822951635	San Jose Sharks
39 Cal Foote	3.9569494468326916	Tampa Bay Lightning
40 Jon Merrill	3.943014394968006	Minnesota Wild
41 Andreas Englund	3.486913258068912	Colorado Avalanche
42 Derrick Pouliot	2.787817977106255	San Jose Sharks
43 Mac Hollowell	2.7734761805983705	Toronto Maple Leafs
44 Nick DeSimone	2.1344933914669477	Calgary Flames
45 David Jiricek	2.1266311940872464	Columbus Blue Jackets
46 Lucas Johansen	2.1248635751121183	Washington Capitals
47 Anton Stralman	2.1052149514782097	Boston Bruins
48 Lassi Thomson	1.92909256898128	Ottawa Senators
