Defensemen	Takeaways Corrected	Team
1 Jaccob Slavin	0.9996848374558116	Carolina Hurricanes
2 Brett Pesce	0.9977487618174845	Carolina Hurricanes
3 Mario Ferraro	0.9804809774760638	San Jose Sharks
4 Mikhail Sergachev	0.9759319872695593	Tampa Bay Lightning
5 Devon Toews	0.9646826827506255	Colorado Avalanche
6 Noah Hanifin	0.9450713702178625	Calgary Flames
7 Quinn Hughes	0.9372792462613494	Vancouver Canucks
8 Brandon Carlo	0.9371204238841895	Boston Bruins
9 Brayden McNabb	0.9297504258880146	Vegas Golden Knights
10 Samuel Girard	0.9293236383529024	Colorado Avalanche
11 Nick Leddy	0.9254304144477138	St. Louis Blues
12 Jalen Chatfield	0.9234509641978587	Carolina Hurricanes
13 John Marino	0.9138697503363497	New Jersey Devils
14 Alex Pietrangelo	0.9068513369448005	Vegas Golden Knights
15 Brady Skjei	0.8939324682915775	Carolina Hurricanes
16 Josh Manson	0.8923751622132639	Colorado Avalanche
17 Ilya Lyubushkin	0.8891320364729908	Buffalo Sabres
18 Ben Hutton	0.8875424142572399	Vegas Golden Knights
19 Vladislav Gavrikov	0.8814204164127715	Columbus Blue Jackets
20 Jacob Bryson	0.8739841864536807	Buffalo Sabres
21 Zach Werenski	0.8594212845138555	Columbus Blue Jackets
22 Jake Bean	0.8575784796849577	Columbus Blue Jackets
23 Marc-Edouard Vlasic	0.8552131389708386	San Jose Sharks
24 Adam Fox	0.8484294358542779	New York Rangers
25 Cale Makar	0.8405851116196019	Colorado Avalanche
26 Kaedan Korczak	0.8396258061245322	Vegas Golden Knights
27 Chad Ruhwedel	0.8385082277205459	Pittsburgh Penguins
28 Isaak Phillips	0.8318442874033332	Chicago Blackhawks
29 Philippe Myers	0.8295735644057343	Tampa Bay Lightning
30 Casey Fitzgerald	0.8255628688950399	Buffalo Sabres
31 Shea Theodore	0.8180224581147344	Vegas Golden Knights
32 Brad Hunt	0.8179610719500993	Colorado Avalanche
33 Alexandre Carrier	0.8163126367274155	Nashville Predators
34 Pierre-Olivier Joseph	0.814274748139577	Pittsburgh Penguins
35 Parker Wotherspoon	0.81419808627217	New York Islanders
36 Jonas Brodin	0.8124662442052109	Minnesota Wild
37 Noah Juulsen	0.8109445701610776	Vancouver Canucks
38 Scott Harrington	0.8107006275740384	San Jose Sharks
39 Cal Foote	0.8024211643690654	Tampa Bay Lightning
40 Jon Merrill	0.8023024472684848	Minnesota Wild
41 Andreas Englund	0.7983870915604718	Colorado Avalanche
42 Derrick Pouliot	0.7922738061049346	San Jose Sharks
43 Mac Hollowell	0.7921469733324744	Toronto Maple Leafs
44 Nick DeSimone	0.7864381149089529	Calgary Flames
45 David Jiricek	0.7863671655688124	Columbus Blue Jackets
46 Lucas Johansen	0.7863512120158862	Washington Capitals
47 Anton Stralman	0.7861738159600188	Boston Bruins
48 Lassi Thomson	0.7845789216950783	Ottawa Senators
49 Jacob Moverare	0.7820742026091773	Los Angeles Kings
50 Vladislav Kolyachonok	0.7819881440701368	Arizona Coyotes
51 Nick Perbix	0.7800127696354	Tampa Bay Lightning
52 Jake McCabe	0.7787328982838275	Chicago Blackhawks
53 Jake Christiansen	0.7747507859768812	Columbus Blue Jackets
54 Jake Middleton	0.7702377302412454	Minnesota Wild
55 Mattias Samuelsson	0.7691390563211895	Buffalo Sabres
