Defensemen	Utilization Rating	Team
1 Cale Makar	0.9493028813398438	Colorado Avalanche
2 Adam Fox	0.9394992131617954	New York Rangers
3 Rasmus Andersson	0.9239216590302468	Calgary Flames
4 Drew Doughty	0.9239208499893107	Los Angeles Kings
5 Mikhail Sergachev	0.9158019520428209	Tampa Bay Lightning
6 Cam Fowler	0.9147854211039261	Anaheim Ducks
7 Hampus Lindholm	0.9137119462032093	Boston Bruins
8 J.J. Moser	0.9077109328195615	Arizona Coyotes
9 Moritz Seider	0.9047828173759551	Detroit Red Wings
10 Gustav Forsling	0.903846219619699	Florida Panthers
11 Brent Burns	0.9037817753521511	Carolina Hurricanes
12 Ivan Provorov	0.8995878112310076	Philadelphia Flyers
13 Justin Faulk	0.8946607705822028	St. Louis Blues
14 Rasmus Dahlin	0.8925340860937337	Buffalo Sabres
15 Miro Heiskanen	0.8779113532423157	Dallas Stars
16 Darnell Nurse	0.8716485169390138	Edmonton Oilers
17 Brett Pesce	0.8705538437851041	Carolina Hurricanes
18 Devon Toews	0.8696776054391349	Colorado Avalanche
19 Vladislav Gavrikov	0.8662468012779554	Columbus Blue Jackets
20 Victor Hedman	0.8626439572642982	Tampa Bay Lightning
21 Jake Sanderson	0.8605405579894002	Ottawa Senators
22 Adam Larsson	0.8603912450954676	Seattle Kraken
23 Filip Hronek	0.8593866373861767	Detroit Red Wings
24 Roman Josi	0.8588105098871822	Nashville Predators
25 Mattias Ekholm	0.854043241240512	Nashville Predators
26 Jeff Petry	0.8537512216526058	Pittsburgh Penguins
27 Tony DeAngelo	0.8521045933465352	Philadelphia Flyers
28 Noah Hanifin	0.8472478957769536	Calgary Flames
29 Jared Spurgeon	0.84722687834315	Minnesota Wild
30 Vince Dunn	0.8411053883150004	Seattle Kraken
31 Brandon Montour	0.839253485206422	Florida Panthers
32 Jaccob Slavin	0.8364681349297542	Carolina Hurricanes
33 Ryan Suter	0.8351474891921563	Dallas Stars
34 Jacob Trouba	0.8304119958357021	New York Rangers
35 John Marino	0.8288265072871366	New Jersey Devils
36 Ben Chiarot	0.8267826970026751	Detroit Red Wings
37 Erik Karlsson	0.8263944909069565	San Jose Sharks
38 Owen Power	0.8199476516252262	Buffalo Sabres
39 K'Andre Miller	0.819798260910093	New York Rangers
40 Nate Schmidt	0.8157116137644975	Winnipeg Jets
41 Justin Holl	0.8148921866458985	Toronto Maple Leafs
42 Josh Morrissey	0.8069569744174853	Winnipeg Jets
43 Brady Skjei	0.8010477144347228	Carolina Hurricanes
44 Quinn Hughes	0.7987470213354831	Vancouver Canucks
45 Neal Pionk	0.7976337444940428	Winnipeg Jets
46 Mikey Anderson	0.7971755353762913	Los Angeles Kings
47 Nick Jensen	0.7963411147059097	Washington Capitals
48 Cody Ceci	0.7949084193428043	Edmonton Oilers
49 Colton Parayko	0.7942443368007803	St. Louis Blues
50 Jonas Siegenthaler	0.7937054389395499	New Jersey Devils
51 Andrew Peeke	0.7892412010524538	Columbus Blue Jackets
52 Mark Giordano	0.7879132791212377	Toronto Maple Leafs
53 Travis Sanheim	0.7875734950826029	Philadelphia Flyers
54 Nick Leddy	0.7855388730179828	St. Louis Blues
55 Scott Mayfield	0.781014814525536	New York Islanders
56 Dmitry Kulikov	0.7805946155910596	Anaheim Ducks
57 Ryan Pulock	0.7786660255306054	New York Islanders
58 Esa Lindell	0.7782294362471627	Dallas Stars
59 Shayne Gostisbehere	0.7778708143475304	Arizona Coyotes
60 Kaiden Guhle	0.7777403578652938	Montréal Canadiens
61 Dougie Hamilton	0.776522141291212	New Jersey Devils
62 Brayden McNabb	0.7742340124331024	Vegas Golden Knights
63 Matt Dumba	0.7714469217211709	Minnesota Wild
64 Brian Dumoulin	0.7711545865700133	Pittsburgh Penguins
65 John Carlson	0.7701944064626317	Washington Capitals
66 Alec Martinez	0.7662328458463299	Vegas Golden Knights
67 Jack Johnson	0.7662167783767408	Chicago Blackhawks
68 Oliver Ekman-Larsson	0.7653402564016837	Vancouver Canucks
69 Matt Benning	0.7629764195633804	San Jose Sharks
70 MacKenzie Weegar	0.7628512783115925	Calgary Flames
71 Nikita Zadorov	0.7598820665061603	Calgary Flames
72 Alexander Romanov	0.7580088349567549	New York Islanders
73 Brenden Dillon	0.7573163304741928	Winnipeg Jets
74 Thomas Chabot	0.7563897015800165	Ottawa Senators
75 Marcus Pettersson	0.7540372154783016	Pittsburgh Penguins
76 Connor Murphy	0.7479842634606224	Chicago Blackhawks
77 Noah Dobson	0.7451261514702064	New York Islanders
78 David Savard	0.7446307971436972	Montréal Canadiens
79 Jani Hakanpaa	0.7420629135831827	Dallas Stars
80 Tyson Barrie	0.741947349327341	Edmonton Oilers
81 Connor Clifton	0.7330655245152339	Boston Bruins
82 Adam Pelech	0.733028551431173	New York Islanders
83 Erik Gudbranson	0.7313816847275593	Columbus Blue Jackets
84 Ryan Graves	0.7279976109006088	New Jersey Devils
85 Shea Theodore	0.7279126405679939	Vegas Golden Knights
86 Marc-Edouard Vlasic	0.7232166839827514	San Jose Sharks
87 Travis Hamonic	0.7116330352698702	Ottawa Senators
88 Sean Durzi	0.7109242066866232	Los Angeles Kings
89 Mario Ferraro	0.7098289557317097	San Jose Sharks
90 Marc Staal	0.7006704065853666	Florida Panthers
91 Kris Letang	0.7006000094932668	Pittsburgh Penguins
92 Trevor van Riemsdyk	0.6961367150328331	Washington Capitals
93 Jake Middleton	0.6903377884830385	Minnesota Wild
94 Evan Bouchard	0.6901054452441749	Edmonton Oilers
95 Jonas Brodin	0.677277931320625	Minnesota Wild
96 Damon Severson	0.6770768134386713	New Jersey Devils
97 Matt Roy	0.6742260611637998	Los Angeles Kings
98 Luke Schenn	0.668546433055789	Vancouver Canucks
99 Brett Kulak	0.6624469258602785	Edmonton Oilers
100 Tyler Myers	0.6614456821007778	Vancouver Canucks
101 Ryan McDonagh	0.6607704856552926	Nashville Predators
102 Jan Rutta	0.6596614029358969	Pittsburgh Penguins
103 Erik Cernak	0.659077855351559	Tampa Bay Lightning
104 Erik Gustafsson	0.658799732792259	Washington Capitals
105 Rasmus Sandin	0.6576910494239736	Toronto Maple Leafs
106 Ryan Lindgren	0.6500637246720351	New York Rangers
107 Olli Maatta	0.6484180449323669	Detroit Red Wings
108 Jake McCabe	0.6481931552746996	Chicago Blackhawks
109 Troy Stecher	0.6451308714574899	Arizona Coyotes
110 Jaycob Megna	0.635496292612391	San Jose Sharks
111 Justin Schultz	0.6334985406956878	Seattle Kraken
112 Ian Cole	0.6302392999060733	Tampa Bay Lightning
113 Chris Tanev	0.6286264640069127	Calgary Flames
114 Carson Soucy	0.6281078691553542	Seattle Kraken
115 Torey Krug	0.6272770912639319	St. Louis Blues
116 Aaron Ekblad	0.6215064559371752	Florida Panthers
117 Seth Jones	0.6173377831362497	Chicago Blackhawks
118 John Klingberg	0.6171268757846979	Anaheim Ducks
119 Erik Johnson	0.6164349153543562	Colorado Avalanche
120 Kevin Shattenkirk	0.6094811228133781	Anaheim Ducks
121 Brandon Carlo	0.6035099411682223	Boston Bruins
122 Zach Whitecloud	0.599638130344269	Vegas Golden Knights
123 Martin Fehervary	0.5991644667065045	Washington Capitals
124 Dylan DeMelo	0.5955581605408637	Winnipeg Jets
125 Simon Benoit	0.5871062943381118	Anaheim Ducks
126 Josh Brown	0.5854928253115328	Arizona Coyotes
127 Niko Mikkola	0.5808813941694264	St. Louis Blues
128 Radko Gudas	0.579288387317963	Florida Panthers
129 Calen Addison	0.5733214247131707	Minnesota Wild
130 Erik Brannstrom	0.5721089398019602	Ottawa Senators
131 Morgan Rielly	0.5692809085705537	Toronto Maple Leafs
132 Will Borgen	0.5607649185530545	Seattle Kraken
133 Alexandre Carrier	0.549185857551444	Nashville Predators
134 Jamie Oleksiak	0.546492258744134	Seattle Kraken
135 Dante Fabbro	0.5450563114763775	Nashville Predators
136 Johnathan Kovacevic	0.5424457211872492	Montréal Canadiens
137 Justin Braun	0.5397911094508501	Philadelphia Flyers
138 Jordan Harris	0.5346766963612737	Montréal Canadiens
139 Nicolas Hague	0.5309905017049819	Vegas Golden Knights
140 Nils Lundkvist	0.5265188789913284	Dallas Stars
141 Colin Miller	0.5090893731830152	Dallas Stars
142 Braden Schneider	0.4886968374206613	New York Rangers
143 Jacob Bryson	0.4846296446020708	Buffalo Sabres
144 Nick Holden	0.4778961610908376	Ottawa Senators
145 Jarred Tinordi	0.4701700806995855	Chicago Blackhawks
146 Caleb Jones	0.4700513643611566	Chicago Blackhawks
147 Samuel Girard	0.4686942965087078	Colorado Avalanche
148 Patrik Nemeth	0.46705816175023596	Arizona Coyotes
149 Matt Grzelcyk	0.4548335766150094	Boston Bruins
150 Joel Edmundson	0.4440294437262175	Montréal Canadiens
151 Charlie McAvoy	0.4335780923954319	Boston Bruins
152 Juuso Valimaki	0.43272563628651883	Arizona Coyotes
153 Rasmus Ristolainen	0.4309500094893911	Philadelphia Flyers
