Forward	Even Strength Utilization Base	Team
1 Mikko Rantanen	0.3049910394265233	Colorado Avalanche
2 Connor McDavid	0.2921486928104575	Edmonton Oilers
3 Mark Scheifele	0.28892255892255897	Winnipeg Jets
4 Leon Draisaitl	0.28451797385620914	Edmonton Oilers
5 Troy Terry	0.28393790849673206	Anaheim Ducks
6 Johnny Gaudreau	0.2811284722222222	Columbus Blue Jackets
7 Kirill Kaprizov	0.28026094276094277	Minnesota Wild
8 Trevor Zegras	0.2786192810457516	Anaheim Ducks
9 Timo Meier	0.27853968253968253	San Jose Sharks
10 Nikita Kucherov	0.2762152777777778	Tampa Bay Lightning
11 Clayton Keller	0.2758154121863799	Arizona Coyotes
12 Kyle Connor	0.27509259259259256	Winnipeg Jets
13 Patrick Kane	0.2742921146953405	Chicago Blackhawks
14 Auston Matthews	0.2731372549019608	Toronto Maple Leafs
15 Mats Zuccarello	0.27076599326599327	Minnesota Wild
16 Artemi Panarin	0.27068253968253964	New York Rangers
17 Jack Hughes	0.26975589225589225	New Jersey Devils
18 Brayden Point	0.26852430555555556	Tampa Bay Lightning
19 Nick Suzuki	0.26841750841750844	Montréal Canadiens
20 Sidney Crosby	0.2682996632996633	Pittsburgh Penguins
21 Chandler Stephenson	0.261984126984127	Vegas Golden Knights
22 Zach Hyman	0.2614624183006536	Edmonton Oilers
23 Boone Jenner	0.2610763888888889	Columbus Blue Jackets
24 Mark Stone	0.261	Vegas Golden Knights
25 Rickard Rakell	0.26035353535353534	Pittsburgh Penguins
26 David Pastrnak	0.25788194444444446	Boston Bruins
27 Vincent Trocheck	0.25757142857142856	New York Rangers
28 J.T. Miller	0.25710069444444444	Vancouver Canucks
29 Jason Robertson	0.25681372549019604	Dallas Stars
30 Tomas Hertl	0.25621428571428567	San Jose Sharks
31 Bo Horvat	0.25539062500000004	Vancouver Canucks
32 Martin Necas	0.25515151515151513	Carolina Hurricanes
33 Mitchell Marner	0.25458333333333333	Toronto Maple Leafs
34 Anze Kopitar	0.2541435185185185	Los Angeles Kings
35 Max Domi	0.25344086021505374	Chicago Blackhawks
36 Mikael Granlund	0.252168458781362	Nashville Predators
37 Alex Ovechkin	0.25214285714285717	Washington Capitals
38 Mathew Barzal	0.25185457516339865	New York Islanders
39 Brayden Schenn	0.2511447811447811	St. Louis Blues
40 J.T. Compher	0.24993727598566307	Colorado Avalanche
41 Alex DeBrincat	0.24976430976430977	Ottawa Senators
42 Andrei Svechnikov	0.24973905723905726	Carolina Hurricanes
43 Robert Thomas	0.24926767676767678	St. Louis Blues
44 Matt Duchene	0.2467831541218638	Nashville Predators
45 Claude Giroux	0.24621212121212122	Ottawa Senators
46 Ryan Strome	0.24495098039215685	Anaheim Ducks
47 Kevin Hayes	0.244828431372549	Philadelphia Flyers
48 Pierre-Luc Dubois	0.24456228956228956	Winnipeg Jets
