Forward	Total Rating	Team
1 Connor McDavid	0.5778248886188937	Edmonton Oilers
2 Leon Draisaitl	0.5698086881416449	Edmonton Oilers
3 Tage Thompson	0.5569811935763306	Buffalo Sabres
4 Jason Robertson	0.5552878431240332	Dallas Stars
5 David Pastrnak	0.5545035855467843	Boston Bruins
6 Nikita Kucherov	0.5544723622065144	Tampa Bay Lightning
7 Mitchell Marner	0.5530462706895524	Toronto Maple Leafs
8 Mikko Rantanen	0.5526346289931673	Colorado Avalanche
9 Sidney Crosby	0.5513899802884783	Pittsburgh Penguins
10 Kyle Connor	0.549364143722243	Winnipeg Jets
11 Elias Pettersson	0.5483999258747305	Vancouver Canucks
12 Jack Hughes	0.547615472680325	New Jersey Devils
13 Auston Matthews	0.5463817698255783	Toronto Maple Leafs
14 Mika Zibanejad	0.5437466403381914	New York Rangers
15 Kirill Kaprizov	0.5422223374502348	Minnesota Wild
16 William Nylander	0.5418887374391211	Toronto Maple Leafs
17 Matthew Tkachuk	0.540456304781254	Florida Panthers
18 Alex Tuch	0.5398276214144992	Buffalo Sabres
19 Steven Stamkos	0.5393892798266312	Tampa Bay Lightning
20 Ryan Nugent-Hopkins	0.5367995874389151	Edmonton Oilers
21 Roope Hintz	0.5355386313764114	Dallas Stars
22 Zach Hyman	0.5337514311917426	Edmonton Oilers
23 Pierre-Luc Dubois	0.532779274699682	Winnipeg Jets
24 Jesper Bratt	0.5304173658542441	New Jersey Devils
25 Brock Nelson	0.5298168872790451	New York Islanders
26 Artemi Panarin	0.5268088275827159	New York Rangers
27 Joe Pavelski	0.5259695123210152	Dallas Stars
28 Nathan MacKinnon	0.5239851750848454	Colorado Avalanche
29 Chandler Stephenson	0.5239723482060499	Vegas Golden Knights
30 Jake Guentzel	0.5238966835196801	Pittsburgh Penguins
31 Dylan Larkin	0.5223444670274222	Detroit Red Wings
32 Mats Zuccarello	0.5220432852623836	Minnesota Wild
33 Martin Necas	0.520131612529484	Carolina Hurricanes
34 Mathew Barzal	0.5180117771100753	New York Islanders
35 Brayden Point	0.5179629752389444	Tampa Bay Lightning
36 Evgeni Malkin	0.5175026380490433	Pittsburgh Penguins
37 Bo Horvat	0.5156726606372386	Vancouver Canucks
38 Kevin Fiala	0.5150747118345337	Los Angeles Kings
39 Jeff Skinner	0.5133639227366945	Buffalo Sabres
40 Tomas Hertl	0.5115784704247797	San Jose Sharks
41 Timo Meier	0.5095751942947894	San Jose Sharks
42 Alex Ovechkin	0.5074533566146249	Washington Capitals
43 Elias Lindholm	0.5068956829249723	Calgary Flames
44 Dylan Cozens	0.5063378764789053	Buffalo Sabres
45 Robert Thomas	0.5062636674042011	St. Louis Blues
46 Nico Hischier	0.5052188896711122	New Jersey Devils
47 Nick Suzuki	0.5048412918062145	Montréal Canadiens
48 Taylor Hall	0.5031717011100951	Boston Bruins
49 Andrei Kuzmenko	0.5006565155284431	Vancouver Canucks
50 Jamie Benn	0.49994463492393193	Dallas Stars
51 Claude Giroux	0.4981763418349426	Ottawa Senators
52 Jack Eichel	0.4981671186435015	Vegas Golden Knights
53 Johnny Gaudreau	0.497742703587981	Columbus Blue Jackets
54 Andrei Svechnikov	0.4966693320169874	Carolina Hurricanes
55 John Tavares	0.49657358869075396	Toronto Maple Leafs
56 Brandon Hagel	0.4946474373834689	Tampa Bay Lightning
57 Brady Tkachuk	0.49455897079149275	Ottawa Senators
58 Mark Stone	0.4932363147790527	Vegas Golden Knights
59 Carter Verhaeghe	0.49146179077451413	Florida Panthers
60 Jordan Eberle	0.49029545176724565	Seattle Kraken
61 Clayton Keller	0.4889295092624395	Arizona Coyotes
62 Matty Beniers	0.48741881335240345	Seattle Kraken
63 Tyler Toffoli	0.4845011353822685	Calgary Flames
64 Jordan Kyrou	0.4843625245893843	St. Louis Blues
65 Blake Wheeler	0.48367357538781214	Winnipeg Jets
66 Sebastian Aho	0.48290991196175237	Carolina Hurricanes
67 Alex DeBrincat	0.4819665038877209	Ottawa Senators
68 Patrice Bergeron	0.4813677910010215	Boston Bruins
69 Anze Kopitar	0.4810085253888747	Los Angeles Kings
70 Reilly Smith	0.4800242691712821	Vegas Golden Knights
71 Mark Scheifele	0.4799328992325577	Winnipeg Jets
72 Joel Eriksson Ek	0.47811302733784333	Minnesota Wild
73 Cole Caufield	0.47772630936695654	Montréal Canadiens
74 David Perron	0.4767246003384755	Detroit Red Wings
75 Andre Burakovsky	0.47589062333612203	Seattle Kraken
76 Michael Bunting	0.475484328973585	Toronto Maple Leafs
77 Matt Boldy	0.47511031856812946	Minnesota Wild
