Forward	Penalty Kill Utilization Base	Team
1 David Kampf	0.45910537634408627	Toronto Maple Leafs
2 Brandon Tanev	0.41479878048780494	Seattle Kraken
3 Colton Sissons	0.41367424242424233	Nashville Predators
4 Brock McGinn	0.40931697530864175	Pittsburgh Penguins
5 Mitchell Marner	0.4030849462365593	Toronto Maple Leafs
6 Adam Lowry	0.40242000000000006	Winnipeg Jets
7 Jakob Silfverberg	0.3929130434782609	Anaheim Ducks
8 Luke Glendening	0.38551851851851837	Dallas Stars
9 Alex Wennberg	0.3824207317073171	Seattle Kraken
10 Charlie Coyle	0.3782380952380953	Boston Bruins
11 Nico Hischier	0.37647407407407424	New Jersey Devils
12 Scott Laughton	0.3755536458333335	Philadelphia Flyers
13 Logan Couture	0.3734799242424241	San Jose Sharks
14 Jake Evans	0.37050000000000005	Montréal Canadiens
15 J.T. Compher	0.36880024509803916	Colorado Avalanche
16 Mika Zibanejad	0.36836100000000016	New York Rangers
17 Sean Kuraly	0.36804044117647056	Columbus Blue Jackets
18 Jean-Gabriel Pageau	0.3644062500000001	New York Islanders
19 Ty Dellandrea	0.35974814814814804	Dallas Stars
20 Nic Dowd	0.3592906666666668	Washington Capitals
21 Jordan Staal	0.3559225806451614	Carolina Hurricanes
22 Pierre-Edouard Bellemare	0.3548103448275861	Tampa Bay Lightning
23 Yegor Sharangovich	0.34909629629629646	New Jersey Devils
24 Matt Nieto	0.348289015151515	San Jose Sharks
25 Zach Parise	0.34756493055555565	New York Islanders
26 Tanner Jeannot	0.34748636363636354	Nashville Predators
27 Christian Dvorak	0.34558333333333335	Montréal Canadiens
28 Tomas Nosek	0.34480952380952384	Boston Bruins
29 Yanni Gourde	0.3433272357723578	Seattle Kraken
30 Andrew Cogliano	0.3385036764705882	Colorado Avalanche
31 Noah Cates	0.33752526041666686	Philadelphia Flyers
32 Andrew Copp	0.3370250000000002	Detroit Red Wings
33 Frederick Gaudreau	0.3345088541666668	Minnesota Wild
34 Joel Eriksson Ek	0.3314065104166668	Minnesota Wild
35 Nick Bonino	0.3306924242424241	San Jose Sharks
36 Barclay Goodrow	0.3306870000000001	New York Rangers
37 Elias Lindholm	0.32646293103448265	Calgary Flames
38 Noel Acciari	0.325017816091954	St. Louis Blues
39 Erik Haula	0.3200592592592594	New Jersey Devils
40 Casey Cizikas	0.3197503472222223	New York Islanders
41 Logan O'Connor	0.31667401960784314	Colorado Avalanche
42 William Karlsson	0.31583999999999995	Vegas Golden Knights
43 Eetu Luostarinen	0.31428462962962966	Florida Panthers
44 Garnet Hathaway	0.31384266666666677	Washington Capitals
45 Eric Robinson	0.31346029411764703	Columbus Blue Jackets
46 Lars Eller	0.31126666666666675	Washington Capitals
47 Mikael Backlund	0.3097097701149424	Calgary Flames
48 Travis Konecny	0.3093307291666668	Philadelphia Flyers
49 Jason Dickinson	0.30771176470588235	Chicago Blackhawks
50 Alex Killorn	0.30740517241379306	Tampa Bay Lightning
51 Bo Horvat	0.302227037037037	Vancouver Canucks
52 Nick Bjugstad	0.3011489130434783	Arizona Coyotes
53 Chandler Stephenson	0.30036999999999997	Vegas Golden Knights
54 Conor Sheary	0.29961333333333345	Washington Capitals
55 Dylan Larkin	0.29934479166666683	Detroit Red Wings
56 Ryan O'Reilly	0.29859597701149426	St. Louis Blues
57 Adam Henrique	0.29810869565217396	Anaheim Ducks
58 Alexander Kerfoot	0.29395053763440876	Toronto Maple Leafs
59 Radek Faksa	0.29317037037037025	Dallas Stars
60 Nicholas Paul	0.29266810344827576	Tampa Bay Lightning
61 Austin Watson	0.2897032258064517	Ottawa Senators
62 Chris Kreider	0.2884140000000001	New York Rangers
63 Sam Lafferty	0.2880088235294118	Chicago Blackhawks
64 Tyler Motte	0.2868129032258065	Ottawa Senators
65 Lawson Crouse	0.2796244565217391	Arizona Coyotes
66 Parker Kelly	0.2791741935483872	Ottawa Senators
67 Christian Fischer	0.2790923913043479	Arizona Coyotes
68 Teddy Blueger	0.2779243827160493	Pittsburgh Penguins
69 Jordan Martinook	0.27581935483870973	Carolina Hurricanes
70 Eric Staal	0.2737125925925926	Florida Panthers
71 Gustav Nyquist	0.27317892156862744	Columbus Blue Jackets
72 Brandon Hagel	0.2731681034482758	Tampa Bay Lightning
73 Jack McBain	0.2730461956521739	Arizona Coyotes
74 Elias Pettersson	0.27223166666666665	Vancouver Canucks
75 Trevor Lewis	0.27133160919540217	Calgary Flames
76 Jack Roslovic	0.2633311274509804	Columbus Blue Jackets
77 Pavel Buchnevich	0.26297758620689654	St. Louis Blues
78 Reilly Smith	0.26277999999999996	Vegas Golden Knights
79 Anze Kopitar	0.26221363636363637	Los Angeles Kings
80 Tyson Jost	0.2608791666666666	Buffalo Sabres
81 Connor Dewar	0.2608145833333334	Minnesota Wild
82 Phillip Danault	0.2598280303030303	Los Angeles Kings
83 Patrice Bergeron	0.25705952380952385	Boston Bruins
84 Joel Kiviranta	0.2559925925925925	Dallas Stars
85 J.T. Miller	0.25581314814814815	Vancouver Canucks
86 Adam Erne	0.25302291666666676	Detroit Red Wings
87 Michael Rasmussen	0.25073541666666677	Detroit Red Wings
88 Yakov Trenin	0.25059015151515146	Nashville Predators
89 Dylan Cozens	0.2443854166666666	Buffalo Sabres
90 Cole Smith	0.24196136363636359	Nashville Predators
91 David Gustafsson	0.24117333333333335	Winnipeg Jets
92 Sebastian Aho	0.24051612903225816	Carolina Hurricanes
93 Morgan Barron	0.2402866666666667	Winnipeg Jets
94 Artturi Lehkonen	0.23649754901960782	Colorado Avalanche
95 Ryan Poehling	0.23630555555555546	Pittsburgh Penguins
96 Jimmy Vesey	0.2349900000000001	New York Rangers
97 Ryan Nugent-Hopkins	0.23427209302325583	Edmonton Oilers
98 Cal Clutterbuck	0.23419409722222226	New York Islanders
99 Jesper Fast	0.23323870967741941	Carolina Hurricanes
100 Adrian Kempe	0.2326727272727273	Los Angeles Kings
101 Nico Sturm	0.23036098484848475	San Jose Sharks
102 Nicolas Roy	0.22994999999999996	Vegas Golden Knights
103 Ilya Mikheyev	0.22594407407407407	Vancouver Canucks
104 Frank Vatrano	0.22476086956521737	Anaheim Ducks
105 Calle Jarnkrok	0.2227709677419356	Toronto Maple Leafs
106 Zemgus Girgensons	0.22184999999999994	Buffalo Sabres
107 Anton Lundell	0.22179685185185186	Florida Panthers
108 Nick Suzuki	0.22154166666666666	Montréal Canadiens
109 Teuvo Teravainen	0.21930322580645167	Carolina Hurricanes
110 Mark Stone	0.21664999999999998	Vegas Golden Knights
111 Aleksander Barkov	0.21360925925925925	Florida Panthers
112 Luke Kunin	0.21220871212121203	San Jose Sharks
113 Michael McLeod	0.2117333333333334	New Jersey Devils
114 Colin Blackwell	0.2096294117647059	Chicago Blackhawks
115 Blake Lizotte	0.20587272727272726	Los Angeles Kings
116 Blake Coleman	0.20382183908045967	Calgary Flames
117 Brandon Saad	0.2017402298850575	St. Louis Blues
118 Sam Reinhart	0.20089333333333334	Florida Panthers
119 Mathieu Joseph	0.20056774193548393	Ottawa Senators
120 Joel Armia	0.1974621212121212	Montréal Canadiens
121 Alex Tuch	0.19744166666666663	Buffalo Sabres
122 Jonathan Toews	0.1957323529411765	Chicago Blackhawks
123 Dillon Dube	0.19482385057471255	Calgary Flames
124 Morgan Geekie	0.1937886178861789	Seattle Kraken
125 Pavel Zacha	0.19185317460317464	Boston Bruins
126 Kyle Okposo	0.19061458333333328	Buffalo Sabres
127 Jeff Carter	0.1878712962962962	Pittsburgh Penguins
128 Bryan Rust	0.1878712962962962	Pittsburgh Penguins
129 Mattias Janmark	0.18782790697674417	Edmonton Oilers
130 Barrett Hayton	0.1870451086956522	Arizona Coyotes
131 Trevor Moore	0.18394545454545455	Los Angeles Kings
132 Evgeny Kuznetsov	0.18338666666666675	Washington Capitals
133 Robert Thomas	0.1830551724137931	St. Louis Blues
134 Jujhar Khaira	0.18282352941176472	Chicago Blackhawks
135 Dawson Mercer	0.18257777777777787	New Jersey Devils
136 Sam Bennett	0.18172796296296298	Florida Panthers
137 Connor McDavid	0.17757209302325583	Edmonton Oilers
138 Ryan McLeod	0.17596046511627905	Edmonton Oilers
139 Isac Lundestrom	0.17428985507246378	Anaheim Ducks
140 Derek Ryan	0.17405581395348838	Edmonton Oilers
141 Brad Marchand	0.17328174603174606	Boston Bruins
142 Josh Bailey	0.17211006944444449	New York Islanders
143 Andrew Mangiapane	0.1710114942528735	Calgary Flames
144 Josh Anderson	0.16968939393939395	Montréal Canadiens
145 Jake DeBrusk	0.16332539682539685	Boston Bruins
146 Nicolas Deslauriers	0.1628187500000001	Philadelphia Flyers
147 Josh Archibald	0.16127993827160486	Pittsburgh Penguins
148 Zach Aston-Reese	0.16122258064516135	Toronto Maple Leafs
149 Anthony Cirelli	0.16109913793103442	Tampa Bay Lightning
150 Joel Farabee	0.16070260416666673	Philadelphia Flyers
151 Tyler Seguin	0.15819999999999995	Dallas Stars
152 Kailer Yamamoto	0.1557906976744186	Edmonton Oilers
153 Philipp Kurashev	0.15533823529411764	Chicago Blackhawks
154 Tage Thompson	0.15376041666666662	Buffalo Sabres
155 Mason Shaw	0.15294010416666673	Minnesota Wild
156 Sam Steel	0.15283125000000006	Minnesota Wild
157 Marcus Foligno	0.1503276041666667	Minnesota Wild
158 Karson Kuhlman	0.14953000000000002	Winnipeg Jets
159 Oskar Sundqvist	0.14945000000000008	Detroit Red Wings
160 Axel Jonsson-Fjallby	0.14839	Winnipeg Jets
161 Pius Suter	0.14779791666666675	Detroit Red Wings
162 Jamie Benn	0.14772592592592587	Dallas Stars
163 Brock Nelson	0.1476402777777778	New York Islanders
164 Alex Iafallo	0.14166439393939395	Los Angeles Kings
165 Nathan Bastian	0.1390222222222223	New Jersey Devils
166 Patrick Brown	0.13624244791666673	Philadelphia Flyers
167 Ivan Barbashev	0.13597758620689654	St. Louis Blues
168 Curtis Lazar	0.13507388888888888	Vancouver Canucks
169 Tim Stützle	0.1330580645161291	Ottawa Senators
170 Saku Maenalanen	0.1310366666666667	Winnipeg Jets
171 Kevin Stenlund	0.13053	Winnipeg Jets
172 Mark Jankowski	0.1297871212121212	Nashville Predators
173 Reese Johnson	0.12859411764705883	Chicago Blackhawks
174 Zach Hyman	0.12780697674418606	Edmonton Oilers
175 Vladislav Namestnikov	0.1276465517241379	Tampa Bay Lightning
176 Vincent Trocheck	0.12511800000000006	New York Rangers
177 Derek Stepan	0.12242580645161294	Carolina Hurricanes
178 Sean Monahan	0.12192424242424242	Montréal Canadiens
179 Mikael Granlund	0.12070151515151512	Nashville Predators
180 Dylan Gambrell	0.11922580645161295	Ottawa Senators
181 Roope Hintz	0.1163555555555555	Dallas Stars
182 Valeri Nichushkin	0.11490808823529411	Colorado Avalanche
183 Derek Grant	0.11372463768115942	Anaheim Ducks
184 Steven Lorentz	0.11187727272727269	San Jose Sharks
185 Rasmus Asplund	0.11158958333333331	Buffalo Sabres
186 Leon Draisaitl	0.11139767441860465	Edmonton Oilers
187 Evan Rodrigues	0.10955147058823528	Colorado Avalanche
188 Marcus Johansson	0.10745600000000004	Washington Capitals
189 Mathieu Olivier	0.1039860294117647	Columbus Blue Jackets
190 Martin Necas	0.10136774193548391	Carolina Hurricanes
191 Mason Appleton	0.10133333333333334	Winnipeg Jets
192 Casey Mittelstadt	0.09914374999999997	Buffalo Sabres
193 Sam Carrick	0.09592028985507246	Anaheim Ducks
194 Cole Sillinger	0.0946389705882353	Columbus Blue Jackets
195 Blake Wheeler	0.09436666666666667	Winnipeg Jets
196 Liam O'Brien	0.09311141304347828	Arizona Coyotes
197 Boone Jenner	0.08607083333333333	Columbus Blue Jackets
198 Tyler Toffoli	0.0859531609195402	Calgary Flames
199 Claude Giroux	0.08526451612903228	Ottawa Senators
200 Jayson Megna	0.08501449275362319	Anaheim Ducks
201 Carl Grundstrom	0.08405454545454547	Los Angeles Kings
202 Pierre Engvall	0.08320430107526885	Toronto Maple Leafs
203 Jack Eichel	0.08252999999999998	Vegas Golden Knights
204 Mark Kastelic	0.07979354838709679	Ottawa Senators
205 Alexey Toropchenko	0.07809770114942528	St. Louis Blues
206 Liam Foudy	0.07594485294117646	Columbus Blue Jackets
207 Kaapo Kakko	0.07585200000000003	New York Rangers
208 Kasperi Kapanen	0.07351728395061725	Pittsburgh Penguins
209 Rasmus Kupari	0.07314166666666667	Los Angeles Kings
210 Brayden Schenn	0.07240459770114943	St. Louis Blues
211 Kyle Connor	0.07163000000000001	Winnipeg Jets
212 Jesper Boqvist	0.0708740740740741	New Jersey Devils
213 Jared McCann	0.06967276422764229	Seattle Kraken
214 Warren Foegele	0.06768837209302327	Edmonton Oilers
215 Travis Boyd	0.06708858695652174	Arizona Coyotes
216 Dakota Joshua	0.066495	Vancouver Canucks
