Forward	Penalty Kill Utilization Corrected	Team
1 David Kampf	0.993510355859995	Toronto Maple Leafs
2 Brandon Tanev	0.9878092233815741	Seattle Kraken
3 Colton Sissons	0.9876132273636118	Nashville Predators
4 Brock McGinn	0.9868239800037909	Pittsburgh Penguins
5 Mitchell Marner	0.9856082447629253	Toronto Maple Leafs
6 Adam Lowry	0.9854721744663846	Winnipeg Jets
7 Jakob Silfverberg	0.9833824474455222	Anaheim Ducks
8 Luke Glendening	0.9815552016430495	Dallas Stars
9 Alex Wennberg	0.9807323628707231	Seattle Kraken
10 Charlie Coyle	0.9795640412451115	Boston Bruins
11 Nico Hischier	0.9790507548742413	New Jersey Devils
12 Scott Laughton	0.9787779454924905	Philadelphia Flyers
13 Logan Couture	0.9781505095303413	San Jose Sharks
14 Jake Evans	0.9772170270351059	Montréal Canadiens
15 J.T. Compher	0.9766672358020915	Colorado Avalanche
16 Mika Zibanejad	0.9765230675645274	New York Rangers
17 Sean Kuraly	0.9764173059426922	Columbus Blue Jackets
18 Jean-Gabriel Pageau	0.9751852988701734	New York Islanders
19 Ty Dellandrea	0.9735141714357798	Dallas Stars
20 Nic Dowd	0.973344259281508	Washington Capitals
21 Jordan Staal	0.972060288058132	Carolina Hurricanes
22 Pierre-Edouard Bellemare	0.9716232361238418	Tampa Bay Lightning
23 Yegor Sharangovich	0.969271249465314	New Jersey Devils
24 Matt Nieto	0.9689240950129315	San Jose Sharks
25 Zach Parise	0.9686094903241432	New York Islanders
26 Tanner Jeannot	0.9685751693156138	Nashville Predators
27 Christian Dvorak	0.967732678590418	Montréal Canadiens
28 Tomas Nosek	0.9673838962040453	Boston Bruins
29 Yanni Gourde	0.9667055791659004	Seattle Kraken
30 Andrew Cogliano	0.9644027138019055	Colorado Avalanche
31 Noah Cates	0.9639172260917378	Philadelphia Flyers
32 Andrew Copp	0.9636665417115571	Detroit Red Wings
33 Frederick Gaudreau	0.9623800643886611	Minnesota Wild
34 Joel Eriksson Ek	0.9607335556415323	Minnesota Wild
35 Nick Bonino	0.9603448940895343	San Jose Sharks
36 Barclay Goodrow	0.9603419277243087	New York Rangers
37 Elias Lindholm	0.9579662130096687	Calgary Flames
38 Noel Acciari	0.9571226335506562	St. Louis Blues
39 Erik Haula	0.9541035452480355	New Jersey Devils
40 Casey Cizikas	0.9539089070480468	New York Islanders
41 Logan O'Connor	0.9519272670816816	Colorado Avalanche
42 William Karlsson	0.9513762384253491	Vegas Golden Knights
43 Eetu Luostarinen	0.9503325748709346	Florida Panthers
44 Garnet Hathaway	0.9500321621761908	Washington Capitals
45 Eric Robinson	0.9497708662959463	Columbus Blue Jackets
46 Lars Eller	0.9482466678079727	Washington Capitals
47 Mikael Backlund	0.9471384660034614	Calgary Flames
48 Travis Konecny	0.9468652915101378	Philadelphia Flyers
49 Jason Dickinson	0.9456834398260717	Chicago Blackhawks
50 Alex Killorn	0.9454568527316042	Tampa Bay Lightning
51 Bo Horvat	0.9414929720834627	Vancouver Canucks
52 Nick Bjugstad	0.9406343396553459	Arizona Coyotes
53 Chandler Stephenson	0.940006671833864	Vegas Golden Knights
54 Conor Sheary	0.9393909860865859	Washington Capitals
55 Dylan Larkin	0.9391710609671755	Detroit Red Wings
56 Ryan O'Reilly	0.9385538631172983	St. Louis Blues
57 Adam Henrique	0.9381490913975329	Anaheim Ducks
58 Alexander Kerfoot	0.934592424090293	Toronto Maple Leafs
59 Radek Faksa	0.933904252567506	Dallas Stars
60 Nicholas Paul	0.9334576580172672	Tampa Bay Lightning
61 Austin Watson	0.9307638556418483	Ottawa Senators
62 Chris Kreider	0.9295612874412249	New York Rangers
63 Sam Lafferty	0.9291793758702483	Chicago Blackhawks
64 Tyler Motte	0.928040943747648	Ottawa Senators
65 Lawson Crouse	0.920835616122732	Arizona Coyotes
66 Parker Kelly	0.920363005386011	Ottawa Senators
67 Christian Fischer	0.920276866888111	Arizona Coyotes
68 Teddy Blueger	0.9190376297380696	Pittsburgh Penguins
69 Jordan Martinook	0.9167598035524748	Carolina Hurricanes
70 Eric Staal	0.9144219105285281	Florida Panthers
71 Gustav Nyquist	0.9138203133895254	Columbus Blue Jackets
72 Brandon Hagel	0.9138080788097381	Tampa Bay Lightning
73 Jack McBain	0.9136701003637719	Arizona Coyotes
74 Elias Pettersson	0.9127430523407999	Vancouver Canucks
75 Trevor Lewis	0.9117081978871617	Calgary Flames
76 Jack Roslovic	0.9020125182376918	Columbus Blue Jackets
77 Pavel Buchnevich	0.9015628904068109	St. Louis Blues
78 Reilly Smith	0.9013108037164345	Vegas Golden Knights
79 Anze Kopitar	0.9005850312015775	Los Angeles Kings
80 Tyson Jost	0.8988561623913577	Buffalo Sabres
81 Connor Dewar	0.8987718183630848	Minnesota Wild
82 Phillip Danault	0.8974756303347425	Los Angeles Kings
83 Patrice Bergeron	0.8937594383428008	Boston Bruins
84 Joel Kiviranta	0.8922958788343153	Dallas Stars
