Forward	Power Play Utilization Base	Team
1 Alex Ovechkin	0.8173611111111112	Washington Capitals
2 Mikko Rantanen	0.6414062500000001	Colorado Avalanche
3 Artemi Panarin	0.6410714285714286	New York Rangers
4 Chris Kreider	0.6375850340136054	New York Rangers
5 Mika Zibanejad	0.6351190476190476	New York Rangers
6 Vincent Trocheck	0.6234693877551021	New York Rangers
7 Mathew Barzal	0.6221296296296296	New York Islanders
8 Nikita Kucherov	0.6151869158878505	Tampa Bay Lightning
9 Patrick Kane	0.6089285714285714	Chicago Blackhawks
10 Dylan Strome	0.6066358024691358	Washington Capitals
11 Steven Stamkos	0.6040498442367602	Tampa Bay Lightning
12 Auston Matthews	0.5969471947194719	Toronto Maple Leafs
13 William Nylander	0.593069306930693	Toronto Maple Leafs
14 Kirill Kaprizov	0.5918402777777778	Minnesota Wild
15 Mats Zuccarello	0.5874131944444444	Minnesota Wild
16 Leon Draisaitl	0.585570987654321	Edmonton Oilers
17 Sam Reinhart	0.5818115942028985	Florida Panthers
18 Anders Lee	0.5811111111111111	New York Islanders
19 Connor McDavid	0.5810956790123457	Edmonton Oilers
20 Brayden Point	0.5807632398753894	Tampa Bay Lightning
21 Mitchell Marner	0.5785478547854785	Toronto Maple Leafs
22 Ryan Nugent-Hopkins	0.5783179012345679	Edmonton Oilers
23 Evgeni Malkin	0.5766501650165017	Pittsburgh Penguins
24 Alex DeBrincat	0.5750737463126844	Ottawa Senators
25 Brock Nelson	0.5742592592592592	New York Islanders
26 Matt Boldy	0.5736111111111112	Minnesota Wild
27 Nick Suzuki	0.5718213058419244	Montréal Canadiens
28 J.T. Miller	0.5706270627062706	Vancouver Canucks
29 Sidney Crosby	0.5666666666666667	Pittsburgh Penguins
30 Johnny Gaudreau	0.5647679324894515	Columbus Blue Jackets
31 Tomas Hertl	0.564375	San Jose Sharks
32 John Tavares	0.561963696369637	Toronto Maple Leafs
33 Jack Hughes	0.5590579710144927	New Jersey Devils
34 Logan Couture	0.555625	San Jose Sharks
35 Bo Horvat	0.5547854785478548	Vancouver Canucks
36 Brady Tkachuk	0.5540560471976401	Ottawa Senators
37 Timo Meier	0.5498958333333334	San Jose Sharks
38 Joel Eriksson Ek	0.5480034722222222	Minnesota Wild
