Forward	Power Play Utilization Corrected	Team
1 Alex Ovechkin	0.994250633879539	Washington Capitals
2 Mikko Rantanen	0.9782167773130284	Colorado Avalanche
3 Artemi Panarin	0.9766422348716525	New York Rangers
4 Mika Zibanejad	0.9759700093967794	New York Rangers
5 Vincent Trocheck	0.9724820768007713	New York Rangers
6 Kirill Kaprizov	0.9723456991951703	Minnesota Wild
7 Matt Boldy	0.9691538526169861	Minnesota Wild
8 Mathew Barzal	0.9680466587662465	New York Islanders
9 Nikita Kucherov	0.9674926769764485	Tampa Bay Lightning
10 William Nylander	0.9662335705977745	Toronto Maple Leafs
11 Steven Stamkos	0.9661609780281811	Tampa Bay Lightning
12 Mitchell Marner	0.966009901698864	Toronto Maple Leafs
13 Ryan Nugent-Hopkins	0.9627367511822871	Edmonton Oilers
14 Mats Zuccarello	0.9626472639069316	Minnesota Wild
15 Patrick Kane	0.9626167266619853	Chicago Blackhawks
16 Connor McDavid	0.9623547954670274	Edmonton Oilers
17 Chris Kreider	0.9619684712717692	New York Rangers
18 Nick Suzuki	0.9617852027620055	Montréal Canadiens
19 J.T. Miller	0.9605938937663964	Vancouver Canucks
20 Sam Reinhart	0.9598532558284906	Florida Panthers
21 Anders Lee	0.9598049875734247	New York Islanders
22 John Tavares	0.9589920718351115	Toronto Maple Leafs
23 Evgeni Malkin	0.9583904035204632	Pittsburgh Penguins
24 Joel Eriksson Ek	0.9582667095069817	Minnesota Wild
25 Leon Draisaitl	0.9566847361818853	Edmonton Oilers
26 Brayden Point	0.9553883036623297	Tampa Bay Lightning
27 Matthew Tkachuk	0.9550382011201372	Florida Panthers
28 Max Domi	0.9548109024937284	Chicago Blackhawks
29 Auston Matthews	0.9546870184943318	Toronto Maple Leafs
30 Artturi Lehkonen	0.9544246375134348	Colorado Avalanche
31 David Pastrnak	0.9542258794507656	Boston Bruins
32 Bo Horvat	0.9539086460539131	Vancouver Canucks
33 Sidney Crosby	0.9528241552042249	Pittsburgh Penguins
34 Dylan Strome	0.9527743080471358	Washington Capitals
35 Johnny Gaudreau	0.9517955850003649	Columbus Blue Jackets
36 Brady Tkachuk	0.9517887217717628	Ottawa Senators
37 Alex DeBrincat	0.9511371963273629	Ottawa Senators
38 Brock Nelson	0.9504901224075253	New York Islanders
39 Timo Meier	0.9500998699000796	San Jose Sharks
40 Jack Hughes	0.9486379633272075	New Jersey Devils
41 Taylor Raddysh	0.9475832673690278	Chicago Blackhawks
42 Logan Couture	0.9455378500569912	San Jose Sharks
43 Kirby Dach	0.9435071169550397	Montréal Canadiens
44 Clayton Keller	0.9409699943958615	Arizona Coyotes
45 Kyle Connor	0.9395431471621026	Winnipeg Jets
46 Elias Pettersson	0.9393019298680204	Vancouver Canucks
47 Trevor Zegras	0.9391896235415758	Anaheim Ducks
48 Jason Robertson	0.9381765889758413	Dallas Stars
49 Pierre-Luc Dubois	0.9374928813019411	Winnipeg Jets
50 Nico Hischier	0.936158745154709	New Jersey Devils
51 Mark Scheifele	0.9359537606446829	Winnipeg Jets
52 Dylan Larkin	0.9321729775855223	Detroit Red Wings
53 Tomas Hertl	0.9316281243969545	San Jose Sharks
54 Evgeny Kuznetsov	0.9312681650315509	Washington Capitals
55 Troy Terry	0.9289239384936098	Anaheim Ducks
56 Drake Batherson	0.9278691361735921	Ottawa Senators
57 Jonathan Toews	0.926926599374489	Chicago Blackhawks
58 Patrice Bergeron	0.9244477504467333	Boston Bruins
59 Robert Thomas	0.9244165866701963	St. Louis Blues
60 Tage Thompson	0.924407035870495	Buffalo Sabres
61 David Perron	0.9241181804768793	Detroit Red Wings
62 Nazem Kadri	0.924053238894481	Calgary Flames
63 Jesper Bratt	0.9240280676022165	New Jersey Devils
64 Nathan MacKinnon	0.9226075321133408	Colorado Avalanche
65 Alex Tuch	0.9210868963276994	Buffalo Sabres
66 Jake Guentzel	0.9194352476053629	Pittsburgh Penguins
67 Martin Necas	0.9189481777718477	Carolina Hurricanes
68 Chandler Stephenson	0.9189064754711816	Vegas Golden Knights
69 Tyler Toffoli	0.9180114581772489	Calgary Flames
70 Joe Pavelski	0.9162801964326921	Dallas Stars
71 Zach Hyman	0.91614208894332	Edmonton Oilers
72 Kevin Hayes	0.9158092291082642	Philadelphia Flyers
73 Andrei Svechnikov	0.9147563612529896	Carolina Hurricanes
74 Filip Forsberg	0.9136959801945788	Nashville Predators
75 Cole Caufield	0.9123277123215284	Montréal Canadiens
76 Jean-Gabriel Pageau	0.911732236521364	New York Islanders
77 Ryan Johansen	0.9106643435916585	Nashville Predators
78 Elias Lindholm	0.9101399684980158	Calgary Flames
79 Aleksander Barkov	0.9081093927751136	Florida Panthers
80 Jordan Kyrou	0.9006668471007762	St. Louis Blues
81 Mikael Granlund	0.8978584091429939	Nashville Predators
82 Jamie Benn	0.897639970598812	Dallas Stars
83 Tim Stützle	0.8970858837764728	Ottawa Senators
84 Anze Kopitar	0.8958739970126235	Los Angeles Kings
85 Marcus Johansson	0.8945553543831818	Washington Capitals
86 Jeff Skinner	0.8930302253559039	Buffalo Sabres
87 Jonathan Huberdeau	0.8896707108603795	Calgary Flames
88 Kevin Fiala	0.886369746427084	Los Angeles Kings
89 Matt Duchene	0.8863545900993225	Nashville Predators
90 Travis Konecny	0.8854572427385098	Philadelphia Flyers
91 Alexander Barabanov	0.8834676459959492	San Jose Sharks
92 Mark Stone	0.8818698771962731	Vegas Golden Knights
93 Sebastian Aho	0.8815689533297937	Carolina Hurricanes
94 Adrian Kempe	0.8800849367227331	Los Angeles Kings
95 Mason McTavish	0.8793850160930162	Anaheim Ducks
96 Adam Henrique	0.8782840420378061	Anaheim Ducks
97 Dominik Kubalik	0.8771655915278499	Detroit Red Wings
98 Andre Burakovsky	0.8746459463566996	Seattle Kraken
99 Jordan Eberle	0.8736221337655394	Seattle Kraken
100 Nick Ritchie	0.8672566364116207	Arizona Coyotes
101 Patrik Laine	0.8635387009839174	Columbus Blue Jackets
102 Jonathan Marchessault	0.8635387009839174	Vegas Golden Knights
103 Lucas Raymond	0.8610542345120092	Detroit Red Wings
104 Brad Marchand	0.8594857751482698	Boston Bruins
105 Brayden Schenn	0.8558401528283387	St. Louis Blues
106 Dylan Cozens	0.8554886538048907	Buffalo Sabres
107 Rickard Rakell	0.8551125084868351	Pittsburgh Penguins
108 Andrei Kuzmenko	0.8514490245756489	Vancouver Canucks
109 Travis Boyd	0.8504989833686988	Arizona Coyotes
110 Pavel Buchnevich	0.8406531089568751	St. Louis Blues
111 Jack Eichel	0.8336684851630625	Vegas Golden Knights
112 Jared McCann	0.8330892704248452	Seattle Kraken
113 Jack Roslovic	0.8330503061035225	Columbus Blue Jackets
114 Reilly Smith	0.8266077820256369	Vegas Golden Knights
115 Roope Hintz	0.8253312274287901	Dallas Stars
116 Stefan Noesen	0.8238306071917316	Carolina Hurricanes
117 Matty Beniers	0.8210409370185009	Seattle Kraken
118 Boone Jenner	0.8198060331355213	Columbus Blue Jackets
119 Brandon Hagel	0.8193831972007023	Tampa Bay Lightning
120 Gabriel Vilardi	0.8147127271546949	Los Angeles Kings
121 Morgan Frost	0.8119121871126252	Philadelphia Flyers
122 Claude Giroux	0.8061158766232671	Ottawa Senators
123 J.T. Compher	0.8002212306546768	Colorado Avalanche
124 Oliver Bjorkstrand	0.7953480576038405	Seattle Kraken
125 Vladimir Tarasenko	0.7901515938480708	St. Louis Blues
126 Tyler Seguin	0.7774215716427668	Dallas Stars
127 Joel Farabee	0.7701624184908329	Philadelphia Flyers
128 Owen Tippett	0.7611930925926494	Philadelphia Flyers
129 Ryan Strome	0.7604839559473726	Anaheim Ducks
130 T.J. Oshie	0.758806719042182	Washington Capitals
131 Alex Wennberg	0.7578374100012297	Seattle Kraken
132 Scott Laughton	0.7528568856051896	Philadelphia Flyers
133 Taylor Hall	0.751051583262679	Boston Bruins
134 Seth Jarvis	0.7423962086940529	Carolina Hurricanes
135 Victor Olofsson	0.7417332892362287	Buffalo Sabres
136 Bryan Rust	0.7399919527953733	Pittsburgh Penguins
137 David Krejci	0.7385176594929312	Boston Bruins
138 Jaden Schwartz	0.7384606089825752	Seattle Kraken
139 Ivan Barbashev	0.7336504207256964	St. Louis Blues
140 Jake DeBrusk	0.7316742485123849	Boston Bruins
141 Noah Cates	0.7274400696663766	Philadelphia Flyers
142 Brock Boeser	0.7204614277588003	Vancouver Canucks
143 Nino Niederreiter	0.7199658721073373	Nashville Predators
144 Nick Schmaltz	0.7170361855111869	Arizona Coyotes
145 Christian Dvorak	0.7165349809830713	Montréal Canadiens
146 Phillip Danault	0.7137030367704178	Los Angeles Kings
147 Casey Mittelstadt	0.7108925656385907	Buffalo Sabres
148 Tomas Tatar	0.7106956705209388	New Jersey Devils
149 Blake Wheeler	0.708643556645456	Winnipeg Jets
150 William Karlsson	0.7059291882164842	Vegas Golden Knights
151 Philipp Kurashev	0.7015669856946163	Chicago Blackhawks
