Forward	Plus_Minus Base	Team
1 Joe Pavelski	36.96666666666667	Dallas Stars
2 Jason Robertson	36.03333333333333	Dallas Stars
3 Jack Eichel	35.81666666666666	Vegas Golden Knights
4 Roope Hintz	34.266666666666666	Dallas Stars
5 Patrice Bergeron	33.266666666666666	Boston Bruins
6 Auston Matthews	33.266666666666666	Toronto Maple Leafs
7 Tomas Tatar	33.06666666666666	New Jersey Devils
8 Michael Bunting	32.6	Toronto Maple Leafs
9 Nico Hischier	31.9	New Jersey Devils
10 Jesper Bratt	31.266666666666666	New Jersey Devils
11 Connor McDavid	30.65	Edmonton Oilers
12 Nicholas Paul	30.366666666666667	Tampa Bay Lightning
13 Leon Draisaitl	30.133333333333333	Edmonton Oilers
14 David Pastrnak	30.066666666666666	Boston Bruins
15 Rickard Rakell	29.983333333333334	Pittsburgh Penguins
16 Jack Hughes	29.366666666666667	New Jersey Devils
17 Charlie Coyle	28.883333333333333	Boston Bruins
18 Nathan MacKinnon	28.883333333333333	Colorado Avalanche
19 Chandler Stephenson	28.683333333333334	Vegas Golden Knights
20 Matthew Tkachuk	28.65	Florida Panthers
21 Mark Stone	28.416666666666668	Vegas Golden Knights
22 William Nylander	28.316666666666666	Toronto Maple Leafs
23 Chris Kreider	28.3	New York Rangers
24 Mika Zibanejad	27.833333333333332	New York Rangers
25 Brandon Hagel	27.733333333333334	Tampa Bay Lightning
26 Zach Hyman	27.383333333333333	Edmonton Oilers
27 Mikko Rantanen	27.233333333333334	Colorado Avalanche
28 Aleksander Barkov	27.2	Florida Panthers
29 Jake DeBrusk	27.183333333333334	Boston Bruins
30 Mitchell Marner	26.433333333333334	Toronto Maple Leafs
31 Dylan Larkin	26.266666666666666	Detroit Red Wings
32 Jeff Skinner	25.983333333333334	Buffalo Sabres
33 Brandon Tanev	25.95	Seattle Kraken
34 Anton Lundell	25.933333333333334	Florida Panthers
35 Erik Haula	25.716666666666665	New Jersey Devils
36 Alex Killorn	25.716666666666665	Tampa Bay Lightning
37 Eetu Luostarinen	25.21666666666667	Florida Panthers
38 Artturi Lehkonen	25.033333333333335	Colorado Avalanche
39 Jamie Benn	25.016666666666666	Dallas Stars
40 Sidney Crosby	24.883333333333333	Pittsburgh Penguins
41 Brad Marchand	24.85	Boston Bruins
42 Yanni Gourde	24.8	Seattle Kraken
43 Trent Frederic	24.75	Boston Bruins
44 Tage Thompson	24.75	Buffalo Sabres
45 Martin Necas	24.733333333333334	Carolina Hurricanes
46 Brock Nelson	24.733333333333334	New York Islanders
47 Alex Tuch	24.683333333333334	Buffalo Sabres
48 Steven Stamkos	24.566666666666666	Tampa Bay Lightning
49 Taylor Hall	24.216666666666665	Boston Bruins
50 Anze Kopitar	24.1	Los Angeles Kings
51 David Kampf	24.1	Toronto Maple Leafs
52 Morgan Geekie	24.03333333333333	Seattle Kraken
53 Valeri Nichushkin	23.933333333333334	Colorado Avalanche
54 Elias Pettersson	23.85	Vancouver Canucks
55 Mikael Backlund	23.6	Calgary Flames
56 Evander Kane	23.483333333333334	Edmonton Oilers
57 Brayden Point	23.35	Tampa Bay Lightning
58 Adam Lowry	23.316666666666666	Winnipeg Jets
59 Nikita Kucherov	23.283333333333335	Tampa Bay Lightning
60 Nick Bjugstad	23.116666666666667	Arizona Coyotes
61 Fabian Zetterlund	23.066666666666666	New Jersey Devils
62 Tyler Seguin	22.883333333333333	Dallas Stars
63 Pavel Zacha	22.866666666666667	Boston Bruins
64 Reilly Smith	22.8	Vegas Golden Knights
65 Jake Guentzel	22.583333333333332	Pittsburgh Penguins
