Forward	Plus_Minus Corrected	Team
1 Joe Pavelski	0.9988495394402231	Dallas Stars
2 Jason Robertson	0.998074735246532	Dallas Stars
3 David Pastrnak	0.996638880615398	Boston Bruins
4 Tomas Tatar	0.9939752638334949	New Jersey Devils
5 Roope Hintz	0.9921932608607811	Dallas Stars
6 Nathan MacKinnon	0.9911555450498938	Colorado Avalanche
7 Auston Matthews	0.9908267376319626	Toronto Maple Leafs
8 Nico Hischier	0.9895141609996096	New Jersey Devils
9 Patrice Bergeron	0.9882678014993913	Boston Bruins
10 Brandon Tanev	0.9876471053040257	Seattle Kraken
11 Brad Marchand	0.9858860447160467	Boston Bruins
12 Jesper Bratt	0.9851860999039651	New Jersey Devils
13 Mika Zibanejad	0.9835336327779653	New York Rangers
14 Michael Bunting	0.9809694466954946	Toronto Maple Leafs
15 Zach Hyman	0.9789833948343035	Edmonton Oilers
16 Jack Hughes	0.9765853347571666	New Jersey Devils
17 Charlie Coyle	0.9755090789416038	Boston Bruins
18 William Nylander	0.9752881111163733	Toronto Maple Leafs
19 Yanni Gourde	0.9712208751167666	Seattle Kraken
20 Jamie Benn	0.9687188101379473	Dallas Stars
21 Jake DeBrusk	0.9670004905924509	Boston Bruins
22 David Krejci	0.9666064376049818	Boston Bruins
23 Mikko Rantanen	0.9656013322070528	Colorado Avalanche
24 Jack Eichel	0.9656013322070528	Vegas Golden Knights
25 Brandon Hagel	0.9590516066763594	Tampa Bay Lightning
26 Trent Frederic	0.9570788144170939	Boston Bruins
27 Mark Stone	0.9548833827151219	Vegas Golden Knights
28 Tage Thompson	0.9528577493457056	Buffalo Sabres
29 Pavel Zacha	0.9500221717098205	Boston Bruins
30 Alex Tuch	0.9420436245338665	Buffalo Sabres
31 Artturi Lehkonen	0.9399995267507745	Colorado Avalanche
32 Eetu Luostarinen	0.938066658848676	Florida Panthers
33 Jeff Skinner	0.9371689862719782	Buffalo Sabres
34 Chris Kreider	0.9351512253264097	New York Rangers
35 Alex Killorn	0.9349648311438118	Tampa Bay Lightning
36 Matthew Tkachuk	0.9336460544120245	Florida Panthers
37 Elias Pettersson	0.9307360775002934	Vancouver Canucks
38 Chandler Stephenson	0.9299403586683258	Vegas Golden Knights
39 Aleksander Barkov	0.9236981637534929	Florida Panthers
40 Ryan Donato	0.9232643598984779	Seattle Kraken
41 Mitchell Marner	0.9219493489195809	Toronto Maple Leafs
42 Morgan Geekie	0.9215064473140469	Seattle Kraken
43 Leon Draisaitl	0.9197117653219514	Edmonton Oilers
44 Valeri Nichushkin	0.9162455142817039	Colorado Avalanche
45 Ryan Nugent-Hopkins	0.9162455142817039	Edmonton Oilers
46 Steven Stamkos	0.9071079062274019	Tampa Bay Lightning
47 Sam Steel	0.9052814758438146	Minnesota Wild
48 Erik Haula	0.902886001219321	New Jersey Devils
49 Tyler Seguin	0.9023463819311672	Dallas Stars
50 Nicholas Paul	0.8996080086477428	Tampa Bay Lightning
51 Dawson Mercer	0.897368402663797	New Jersey Devils
52 Mikael Backlund	0.8965172044389869	Calgary Flames
53 Kyle Connor	0.8942167547888643	Winnipeg Jets
54 Filip Chytil	0.8912778804822901	New York Rangers
55 Martin Necas	0.8897817242990297	Carolina Hurricanes
56 Matty Beniers	0.8897817242990297	Seattle Kraken
57 Jake Guentzel	0.8870431653168437	Pittsburgh Penguins
58 Taylor Hall	0.8854962206981501	Boston Bruins
59 Cole Perfetti	0.8851846267685537	Winnipeg Jets
60 Sebastian Aho	0.8807443356912169	Carolina Hurricanes
61 Connor McDavid	0.8800980234108164	Edmonton Oilers
62 Evan Rodrigues	0.8758229029265334	Colorado Avalanche
63 Colton Sissons	0.8734671549900321	Nashville Predators
64 Sidney Crosby	0.8703822837040296	Pittsburgh Penguins
65 Conor Sheary	0.8682903181920476	Washington Capitals
66 Brayden Point	0.8647401060929086	Tampa Bay Lightning
67 Frederick Gaudreau	0.8640204493314878	Minnesota Wild
68 Nick Bjugstad	0.8629349173151436	Arizona Coyotes
69 Kailer Yamamoto	0.8607419860629646	Edmonton Oilers
70 Jordan Eberle	0.8558897297850457	Seattle Kraken
71 Nikita Kucherov	0.8555107154027541	Tampa Bay Lightning
72 Wade Allison	0.8539863677140452	Philadelphia Flyers
73 Rickard Rakell	0.8532192069651382	Pittsburgh Penguins
74 Ty Dellandrea	0.8489400320305132	Dallas Stars
75 Tyler Toffoli	0.8433461053234094	Calgary Flames
76 Jesper Fast	0.8421256859209781	Carolina Hurricanes
77 Dylan Larkin	0.8413077887000032	Detroit Red Wings
78 Seth Jarvis	0.8408975524774654	Carolina Hurricanes
79 Jordan Martinook	0.8329389295040361	Carolina Hurricanes
80 Oliver Bjorkstrand	0.8320829286101477	Seattle Kraken
81 Alex Ovechkin	0.8320829286101477	Washington Capitals
82 Jordan Staal	0.8303604297073559	Carolina Hurricanes
83 Teuvo Teravainen	0.8303604297073559	Carolina Hurricanes
84 Alex Iafallo	0.8303604297073559	Los Angeles Kings
85 Pierre-Luc Dubois	0.8290593503747553	Winnipeg Jets
86 Nick Foligno	0.8237757837756791	Boston Bruins
87 Andrei Kuzmenko	0.8192754314383935	Vancouver Canucks
88 Nic Dowd	0.8156110382409498	Washington Capitals
89 Bo Horvat	0.8132917388177546	Vancouver Canucks
90 Gabriel Vilardi	0.8132917388177544	Los Angeles Kings
91 Alexander Kerfoot	0.8118894050199393	Toronto Maple Leafs
92 Nicolas Roy	0.8118894050199393	Vegas Golden Knights
93 Mathew Barzal	0.8104789929607605	New York Islanders
94 Anthony Cirelli	0.8052382177500946	Tampa Bay Lightning
95 Joel Eriksson Ek	0.8037899884643336	Minnesota Wild
96 Blake Wheeler	0.8033054400512233	Winnipeg Jets
97 David Kampf	0.8023336337892912	Toronto Maple Leafs
98 Daniel Sprong	0.801358213427123	Seattle Kraken
99 Jared McCann	0.7949297807738427	Seattle Kraken
100 Kyle Okposo	0.7826596158443854	Buffalo Sabres
101 Kirill Kaprizov	0.7816135359656626	Minnesota Wild
102 Alex Wennberg	0.7805638328472186	Seattle Kraken
103 Anton Lundell	0.778982486878947	Florida Panthers
104 Noah Cates	0.7773929950354327	Philadelphia Flyers
105 Ondrej Palat	0.7731145647635382	New Jersey Devils
106 Zach Parise	0.7725756960571787	New York Islanders
107 Carter Verhaeghe	0.7660389660006737	Florida Panthers
108 Stefan Noesen	0.7643845435246074	Carolina Hurricanes
109 Cody Glass	0.7571222217345053	Nashville Predators
110 Ilya Mikheyev	0.7565573303783498	Vancouver Canucks
111 William Karlsson	0.7542888665576647	Vegas Golden Knights
