Forward	Points Base	Team
1 Connor McDavid	0.08335292483275983	Edmonton Oilers
2 Tage Thompson	0.08269930532583526	Buffalo Sabres
3 Nikolaj Ehlers	0.07894736842105263	Winnipeg Jets
4 Chris Tierney	0.07822685788787484	Florida Panthers
5 Thomas Novak	0.07722007722007722	Nashville Predators
6 Jason Robertson	0.07717248586510893	Dallas Stars
7 Jeff Skinner	0.07299023417700132	Buffalo Sabres
8 Nikita Kucherov	0.07276687374699899	Tampa Bay Lightning
9 Leon Draisaitl	0.07246535936230483	Edmonton Oilers
10 Daniel Sprong	0.07163953999874317	Seattle Kraken
11 David Pastrnak	0.07077511861385619	Boston Bruins
12 Nathan MacKinnon	0.06752730883813307	Colorado Avalanche
13 Elias Pettersson	0.0655076845553036	Vancouver Canucks
14 Sidney Crosby	0.06542909312233719	Pittsburgh Penguins
15 Roope Hintz	0.06299028899711295	Dallas Stars
16 Kirill Kaprizov	0.06244705312840372	Minnesota Wild
17 William Nylander	0.06224231945737465	Toronto Maple Leafs
18 Pierre-Luc Dubois	0.06196616982080053	Winnipeg Jets
19 Adam Ruzicka	0.061323292092522866	Calgary Flames
20 Steven Stamkos	0.06131504638967326	Tampa Bay Lightning
21 Ryan Nugent-Hopkins	0.061154477203798546	Edmonton Oilers
22 Matthew Tkachuk	0.06113491482913576	Florida Panthers
23 Jamie Benn	0.0607307277892056	Dallas Stars
24 Brady Tkachuk	0.06048716691188491	Ottawa Senators
25 Andrei Kuzmenko	0.05926026837408896	Vancouver Canucks
26 Alex Tuch	0.05839659631267206	Buffalo Sabres
27 Jack Hughes	0.05822713691038639	New Jersey Devils
28 Artemi Panarin	0.057920512337540024	New York Rangers
29 Brad Marchand	0.05774569683509161	Boston Bruins
30 Jake Guentzel	0.05773941444068588	Pittsburgh Penguins
31 Jordan Kyrou	0.05711905753555066	St. Louis Blues
32 Jesper Bratt	0.057081903883299215	New Jersey Devils
33 Jack Eichel	0.05706040532563783	Vegas Golden Knights
34 Mikko Rantanen	0.056768455661470776	Colorado Avalanche
35 Kyle Connor	0.05666989784505257	Winnipeg Jets
36 Dylan Cozens	0.05657450497308148	Buffalo Sabres
37 Auston Matthews	0.05646309388799073	Toronto Maple Leafs
38 James van Riemsdyk	0.05619191700886104	Philadelphia Flyers
39 Evgeni Malkin	0.05540476257100484	Pittsburgh Penguins
40 Kevin Fiala	0.05534471853257432	Los Angeles Kings
41 Mats Zuccarello	0.0550131337661694	Minnesota Wild
42 Mitchell Marner	0.05501054368754011	Toronto Maple Leafs
43 Joe Pavelski	0.05477576172543649	Dallas Stars
44 Valeri Nichushkin	0.05393561436035733	Colorado Avalanche
45 Tyler Johnson	0.05348274544759965	Chicago Blackhawks
46 Johnny Gaudreau	0.053429716351064666	Columbus Blue Jackets
47 Pavel Buchnevich	0.05291977509095586	St. Louis Blues
48 Alex Ovechkin	0.052845057364700423	Washington Capitals
49 Travis Konecny	0.0526238853968718	Philadelphia Flyers
50 David Krejci	0.05251832670775739	Boston Bruins
51 Taylor Hall	0.05245094864987373	Boston Bruins
52 John Tavares	0.052407652644332364	Toronto Maple Leafs
53 Mika Zibanejad	0.052133351625737415	New York Rangers
54 Sebastian Aho	0.05191475725044063	Carolina Hurricanes
55 Mathew Barzal	0.05163511187607573	New York Islanders
56 Brock Nelson	0.051500806325755606	New York Islanders
57 Zach Hyman	0.05115587927212492	Edmonton Oilers
58 Lane Pederson	0.05106382978723405	Vancouver Canucks
59 Anthony Cirelli	0.05066344993968637	Tampa Bay Lightning
60 Andre Burakovsky	0.05064970303596732	Seattle Kraken
61 Drake Batherson	0.05059572384527501	Ottawa Senators
62 Elias Lindholm	0.05040560762384815	Calgary Flames
63 Blake Wheeler	0.05028527221738711	Winnipeg Jets
64 Dominik Kubalik	0.050032071840923675	Detroit Red Wings
65 Sonny Milano	0.049902966454117	Washington Capitals
66 Alex DeBrincat	0.049607275733774284	Ottawa Senators
67 Tomas Hertl	0.049339569306676254	San Jose Sharks
68 Dylan Larkin	0.049322478852324256	Detroit Red Wings
69 Morgan Geekie	0.049301561216105176	Seattle Kraken
70 Brayden Point	0.049145080372683524	Tampa Bay Lightning
71 Matias Maccelli	0.04889432159128792	Arizona Coyotes
72 Robert Thomas	0.04877387887820078	St. Louis Blues
73 Kevin Hayes	0.04864733385584174	Philadelphia Flyers
74 Timo Meier	0.04858068203467327	San Jose Sharks
75 Jared McCann	0.048500881834215165	Seattle Kraken
76 Carter Verhaeghe	0.04837037890130139	Florida Panthers
77 Anthony Richard	0.04830917874396135	Montréal Canadiens
78 Claude Giroux	0.04825826492123364	Ottawa Senators
79 Jordan Eberle	0.0481000481000481	Seattle Kraken
80 Tim Stützle	0.04807142039601694	Ottawa Senators
81 Martin Necas	0.047981426544563395	Carolina Hurricanes
82 David Perron	0.04789389659830529	Detroit Red Wings
83 Andrei Svechnikov	0.047769389155799584	Carolina Hurricanes
84 Clayton Keller	0.047752958030455775	Arizona Coyotes
85 Evander Kane	0.047636496885305975	Edmonton Oilers
86 Cole Caufield	0.04732127767449721	Montréal Canadiens
87 Jason Zucker	0.046873256203266246	Pittsburgh Penguins
88 Tyler Toffoli	0.046801872074883	Calgary Flames
89 Chandler Stephenson	0.04625837228352527	Vegas Golden Knights
90 Jonathan Marchessault	0.046156476152487316	Vegas Golden Knights
91 Bo Horvat	0.046125232486050834	Vancouver Canucks
92 Alex Iafallo	0.04561966714539157	Los Angeles Kings
93 Nico Hischier	0.04558553838092743	New Jersey Devils
94 Arthur Kaliyev	0.0453857791225416	Los Angeles Kings
95 Matty Beniers	0.04537891393132658	Seattle Kraken
96 Vladimir Tarasenko	0.04536930615207792	St. Louis Blues
97 Jack Quinn	0.04525087618118096	Buffalo Sabres
98 Viktor Arvidsson	0.04518355820520866	Los Angeles Kings
99 Jake DeBrusk	0.04514814234205988	Boston Bruins
100 Filip Forsberg	0.044864509182269544	Nashville Predators
101 Michael Bunting	0.04486400598186746	Toronto Maple Leafs
102 Nick Schmaltz	0.04472733528298641	Arizona Coyotes
103 Zac Dalpe	0.0446594715295869	Florida Panthers
104 Kasperi Kapanen	0.04453579993148339	Pittsburgh Penguins
105 Patrice Bergeron	0.04452944366739931	Boston Bruins
106 Nick Suzuki	0.04451677755971471	Montréal Canadiens
