Forward	Points Corrected	Team
1 Connor McDavid	0.9971706166252848	Edmonton Oilers
2 Tage Thompson	0.9947108764724625	Buffalo Sabres
3 Nikolaj Ehlers	0.9935048458340533	Winnipeg Jets
4 Chris Tierney	0.992993135461924	Florida Panthers
5 Samuel Fagemo	0.9920463708322151	Los Angeles Kings
6 Jason Robertson	0.9919187293493072	Dallas Stars
7 Leon Draisaitl	0.9918252923012925	Edmonton Oilers
8 Nikita Kucherov	0.9877360733172542	Tampa Bay Lightning
9 Jeff Skinner	0.9829556195814799	Buffalo Sabres
10 David Pastrnak	0.9809820451143737	Boston Bruins
11 Daniel Sprong	0.9809528810270982	Seattle Kraken
12 Roope Hintz	0.9785608572406169	Dallas Stars
13 Nathan MacKinnon	0.9785438113783801	Colorado Avalanche
14 Matthew Tkachuk	0.9783552840064081	Florida Panthers
15 Sidney Crosby	0.977474071791586	Pittsburgh Penguins
16 Anthony Cirelli	0.9760906387662409	Tampa Bay Lightning
17 Tyler Johnson	0.9664982533221341	Chicago Blackhawks
18 Adam Ruzicka	0.9640198276046329	Calgary Flames
19 Valeri Nichushkin	0.9624037532002526	Colorado Avalanche
20 Brady Tkachuk	0.960683410404926	Ottawa Senators
21 Jake Guentzel	0.9574820924874855	Pittsburgh Penguins
22 Dylan Cozens	0.9549062746368232	Buffalo Sabres
23 Jack Hughes	0.9545434110212982	New Jersey Devils
24 Jamie Benn	0.9541674300783302	Dallas Stars
25 Mikko Rantanen	0.9533653330729638	Colorado Avalanche
26 Steven Stamkos	0.9531450229182276	Tampa Bay Lightning
27 Andrei Kuzmenko	0.9507203571028592	Vancouver Canucks
28 Kirill Kaprizov	0.9500574570232412	Minnesota Wild
29 Kevin Fiala	0.9496977693408499	Los Angeles Kings
30 Elias Pettersson	0.9489024584222043	Vancouver Canucks
31 William Nylander	0.9437392002267969	Toronto Maple Leafs
32 Jesper Bratt	0.942532103810551	New Jersey Devils
33 Ryan Nugent-Hopkins	0.9423226574602342	Edmonton Oilers
34 Evgeni Malkin	0.9406821460864679	Pittsburgh Penguins
35 Pierre-Luc Dubois	0.9383662352931648	Winnipeg Jets
36 Jack Eichel	0.9376681637478747	Vegas Golden Knights
37 Joe Pavelski	0.9374047727416708	Dallas Stars
38 James van Riemsdyk	0.937134914218682	Philadelphia Flyers
39 Zach Hyman	0.9293453577503357	Edmonton Oilers
40 Auston Matthews	0.9285672326006559	Toronto Maple Leafs
41 Mitchell Marner	0.9284600481074362	Toronto Maple Leafs
42 John Tavares	0.9284374493621381	Toronto Maple Leafs
43 Artemi Panarin	0.928036891575111	New York Rangers
44 Brad Marchand	0.9277879868044444	Boston Bruins
45 Alex Tuch	0.9261141798383911	Buffalo Sabres
46 Johnny Gaudreau	0.9163829200308701	Columbus Blue Jackets
47 Kyle Connor	0.9142626425872655	Winnipeg Jets
48 Brock Nelson	0.9104383696932115	New York Islanders
49 Andre Burakovsky	0.9102985901419619	Seattle Kraken
50 Alex Ovechkin	0.9102977215966123	Washington Capitals
51 Mathew Barzal	0.9090523911619075	New York Islanders
52 Pavel Buchnevich	0.908334582513643	St. Louis Blues
53 Dominik Kubalik	0.9041292255037731	Detroit Red Wings
54 Brayden Point	0.902853445632798	Tampa Bay Lightning
55 Sebastian Aho	0.8971234388633469	Carolina Hurricanes
56 Matias Maccelli	0.8964373604601088	Arizona Coyotes
57 Travis Konecny	0.894544331354222	Philadelphia Flyers
58 David Krejci	0.891778102105677	Boston Bruins
59 Mika Zibanejad	0.888443186765727	New York Rangers
60 Jordan Eberle	0.8868390823166374	Seattle Kraken
61 Mats Zuccarello	0.8835218912135682	Minnesota Wild
62 Andrei Svechnikov	0.8824096593517747	Carolina Hurricanes
63 Jack Quinn	0.8813119647333247	Buffalo Sabres
64 Blake Wheeler	0.8800596075285785	Winnipeg Jets
65 Nico Hischier	0.8793365838768408	New Jersey Devils
66 Cole Caufield	0.8788732370043078	Montréal Canadiens
67 Clayton Keller	0.8781534358454761	Arizona Coyotes
68 Kevin Hayes	0.8731420657564423	Philadelphia Flyers
69 Claude Giroux	0.8697984501418876	Ottawa Senators
70 Bo Horvat	0.8692498141625101	Vancouver Canucks
71 Filip Forsberg	0.8692204768557298	Nashville Predators
72 Tomas Hertl	0.8683194934751135	San Jose Sharks
73 Jonathan Marchessault	0.865527718654059	Vegas Golden Knights
74 Martin Necas	0.8637310061483181	Carolina Hurricanes
75 Taylor Hall	0.8635047494803321	Boston Bruins
76 Tim Stützle	0.8609601309352859	Ottawa Senators
77 Drake Batherson	0.8590385262197986	Ottawa Senators
78 Jason Zucker	0.8523401231385617	Pittsburgh Penguins
79 Alex DeBrincat	0.8512784766285952	Ottawa Senators
80 Carter Verhaeghe	0.8495473613652322	Florida Panthers
81 Jake DeBrusk	0.8493507648654679	Boston Bruins
82 Evander Kane	0.8471364986229222	Edmonton Oilers
83 Dylan Larkin	0.8462425265216128	Detroit Red Wings
84 Nick Suzuki	0.8441536090668681	Montréal Canadiens
85 Kasperi Kapanen	0.8387759161339448	Pittsburgh Penguins
86 Kevin Stenlund	0.8331960016828618	Winnipeg Jets
87 Jared McCann	0.8326895800914219	Seattle Kraken
