Forward	Utilization Rating	Team
1 Connor McDavid	0.9199736000998704	Edmonton Oilers
2 Mitchell Marner	0.9154841437840393	Toronto Maple Leafs
3 Nick Suzuki	0.9114090651428742	Montréal Canadiens
4 Chandler Stephenson	0.9097060397040206	Vegas Golden Knights
5 Leon Draisaitl	0.9087498158912385	Edmonton Oilers
6 Bo Horvat	0.9083167471506055	Vancouver Canucks
7 J.T. Miller	0.908024086296395	Vancouver Canucks
8 Mark Stone	0.8999876265416072	Vegas Golden Knights
9 Boone Jenner	0.8962416211970555	Columbus Blue Jackets
10 Mika Zibanejad	0.8960005002416764	New York Rangers
11 Anze Kopitar	0.8919219301006467	Los Angeles Kings
12 Vincent Trocheck	0.8886158241791988	New York Rangers
13 Mark Scheifele	0.885237564838894	Winnipeg Jets
14 Kyle Connor	0.885157115423301	Winnipeg Jets
15 Mikko Rantanen	0.8847667703215513	Colorado Avalanche
16 Robert Thomas	0.8828322350976974	St. Louis Blues
17 Martin Necas	0.8767166245502861	Carolina Hurricanes
18 Timo Meier	0.8762650183590721	San Jose Sharks
19 Troy Terry	0.875823723207687	Anaheim Ducks
20 Tomas Hertl	0.8751996998520896	San Jose Sharks
21 Elias Pettersson	0.8742673262673569	Vancouver Canucks
22 Kirill Kaprizov	0.8729715827876238	Minnesota Wild
23 Zach Hyman	0.8721246325984562	Edmonton Oilers
24 Alex Wennberg	0.8698985527924442	Seattle Kraken
25 Ryan O'Reilly	0.8694359750515743	St. Louis Blues
26 Nikita Kucherov	0.8694086959386179	Tampa Bay Lightning
27 Trevor Zegras	0.8676768801765538	Anaheim Ducks
28 Mats Zuccarello	0.8666212486794033	Minnesota Wild
29 Johnny Gaudreau	0.8661159502238732	Columbus Blue Jackets
30 Patrick Kane	0.8625643689977377	Chicago Blackhawks
31 Auston Matthews	0.8625388884931245	Toronto Maple Leafs
32 Artemi Panarin	0.8611767685828471	New York Rangers
33 Clayton Keller	0.86091567654938	Arizona Coyotes
34 Dylan Larkin	0.8591297456568018	Detroit Red Wings
35 Joel Eriksson Ek	0.858589772080483	Minnesota Wild
36 Brayden Point	0.8548697515153734	Tampa Bay Lightning
37 Sidney Crosby	0.8543650395083586	Pittsburgh Penguins
38 Jack Hughes	0.8516053483897343	New Jersey Devils
39 Brandon Hagel	0.8503233308510908	Tampa Bay Lightning
40 Brock Nelson	0.8481884458037041	New York Islanders
41 Mikael Granlund	0.8479969741439642	Nashville Predators
42 Logan Couture	0.8454204198778248	San Jose Sharks
43 David Pastrnak	0.8450983863164302	Boston Bruins
44 J.T. Compher	0.8443643168468977	Colorado Avalanche
45 Kevin Hayes	0.8443204516696157	Philadelphia Flyers
46 Ryan Nugent-Hopkins	0.8442721027714332	Edmonton Oilers
47 Sam Reinhart	0.8436757586815645	Florida Panthers
48 Adrian Kempe	0.8436662279362023	Los Angeles Kings
49 Chris Kreider	0.8433996176277264	New York Rangers
50 Nico Hischier	0.84285794822659	New Jersey Devils
51 Tim Stützle	0.838988903556209	Ottawa Senators
52 Brayden Schenn	0.8374681271190405	St. Louis Blues
53 William Karlsson	0.8373550704694679	Vegas Golden Knights
54 Steven Stamkos	0.8369901253262212	Tampa Bay Lightning
55 Noah Cates	0.8354823518480501	Philadelphia Flyers
56 Alex Ovechkin	0.8311255808991659	Washington Capitals
57 Phillip Danault	0.8306293123605921	Los Angeles Kings
58 Mathew Barzal	0.8300431760407476	New York Islanders
59 Max Domi	0.8292462590123121	Chicago Blackhawks
60 Tage Thompson	0.8278791525422303	Buffalo Sabres
61 Blake Wheeler	0.8273241147890725	Winnipeg Jets
62 Jason Robertson	0.8243093081643056	Dallas Stars
63 Alex DeBrincat	0.8237944870546263	Ottawa Senators
64 Frank Vatrano	0.823704026594579	Anaheim Ducks
65 Andrei Svechnikov	0.8233030163671448	Carolina Hurricanes
66 Artturi Lehkonen	0.8225089471890618	Colorado Avalanche
67 Alex Tuch	0.8220322953875177	Buffalo Sabres
68 Evgeny Kuznetsov	0.819310770186244	Washington Capitals
69 Nathan MacKinnon	0.8190777607103431	Colorado Avalanche
