Goalie	Save Percentage Corrected	Team
1 John Gibson	0.9821082958634225	Anaheim Ducks
2 Connor Hellebuyck	0.9717620528747671	Winnipeg Jets
3 Logan Thompson	0.9549172044825922	Vegas Golden Knights
4 Jordan Binnington	0.9540916944088433	St. Louis Blues
5 Ilya Sorokin	0.9503270866155776	New York Islanders
6 Carter Hart	0.9449153631877784	Philadelphia Flyers
7 Tristan Jarry	0.9203877100707415	Pittsburgh Penguins
8 Darcy Kuemper	0.9085820111805282	Washington Capitals
9 Alexandar Georgiev	0.903866943739966	Colorado Avalanche
10 Igor Shesterkin	0.8961613757526995	New York Rangers
11 Juuse Saros	0.8929960095496369	Nashville Predators
12 James Reimer	0.8753608072911103	San Jose Sharks
13 Andrei Vasilevskiy	0.8665837166688867	Tampa Bay Lightning
14 Thatcher Demko	0.86106164958977	Vancouver Canucks
15 Karel Vejmelka	0.8561721000534611	Arizona Coyotes
16 Linus Ullmark	0.8556321793068293	Boston Bruins
17 Jonathan Quick	0.8328154916690579	Los Angeles Kings
18 Martin Jones	0.82807132581833	Seattle Kraken
19 Jake Oettinger	0.8079384562403416	Dallas Stars
20 Jake Allen	0.7959704251646197	Montréal Canadiens
21 Jacob Markstrom	0.7748898738359771	Calgary Flames
22 Ville Husso	0.7738397216792551	Detroit Red Wings
23 Stuart Skinner	0.7337585175462056	Edmonton Oilers
24 Vitek Vanecek	0.7164405744634654	New Jersey Devils
25 Marc-Andre Fleury	0.6940978752402317	Minnesota Wild
26 Anton Forsberg	0.6632623924868365	Ottawa Senators
27 Jack Campbell	0.583652967019262	Edmonton Oilers
28 Spencer Knight	0.5746712393162808	Florida Panthers
29 Eric Comrie	0.5097039222831741	Buffalo Sabres
30 Arvid Soderblom	0.4666106230334714	Chicago Blackhawks
31 Sergei Bobrovsky	0.4577429269249379	Florida Panthers
32 Craig Anderson	0.4351857870813	Buffalo Sabres
33 Scott Wedgewood	0.4314894507173583	Dallas Stars
34 Joonas Korpisalo	0.4287997807017618	Columbus Blue Jackets
35 Spencer Martin	0.41888654281855026	Vancouver Canucks
36 Kaapo Kahkonen	0.4129981471834424	San Jose Sharks
37 Cam Talbot	0.38777186248073947	Ottawa Senators
38 Casey DeSmith	0.386614984783428	Pittsburgh Penguins
39 Anthony Stolarz	0.3426255181042967	Anaheim Ducks
40 Sam Montembeault	0.3180880236683198	Montréal Canadiens
41 Semyon Varlamov	0.3117859164838388	New York Islanders
42 Petr Mrazek	0.31093030299735924	Chicago Blackhawks
43 Alex Nedeljkovic	0.30907779122867624	Detroit Red Wings
44 Ilya Samsonov	0.3015956959222028	Toronto Maple Leafs
45 Filip Gustavsson	0.28097888418040917	Minnesota Wild
46 Adin Hill	0.28022789210413923	Vegas Golden Knights
47 Matt Murray	0.2510072369407242	Toronto Maple Leafs
48 Thomas Greiss	0.25067610972568816	St. Louis Blues
49 Elvis Merzlikins	0.24733969801793745	Columbus Blue Jackets
50 Charlie Lindgren	0.2293578514343927	Washington Capitals
51 Frederik Andersen	0.21564719419634723	Carolina Hurricanes
52 Felix Sandstrom	0.19210674857640547	Philadelphia Flyers
53 Dan Vladar	0.18751189878913227	Calgary Flames
54 Pyotr Kochetkov	0.18090957856212977	Carolina Hurricanes
55 Pavel Francouz	0.1734273031566202	Colorado Avalanche
56 Brian Elliott	0.16859458068020922	Tampa Bay Lightning
57 Jaroslav Halak	0.16778831062871974	New York Rangers
58 Connor Ingram	0.15899626343732468	Arizona Coyotes
59 Alex Stalock	0.1525836073414455	Chicago Blackhawks
60 Antti Raanta	0.14615536868696127	Carolina Hurricanes
61 Kevin Lankinen	0.1428595883743044	Nashville Predators
62 Jeremy Swayman	0.14266766633883918	Boston Bruins
63 Mackenzie Blackwood	0.09486864960971803	New Jersey Devils
64 Philipp Grubauer	0.07422343896539264	Seattle Kraken
65 Ukko-Pekka Luukkonen	0.07064227225162543	Buffalo Sabres
66 Akira Schmid	0.06503363827130454	New Jersey Devils
67 David Rittich	0.06364927087198988	Winnipeg Jets
68 Magnus Hellberg	0.033359774781184334	Detroit Red Wings
69 Aaron Dell	0.03177877935248021	San Jose Sharks
