Goalie	Utilization Corrected	Team
John Gibson	0.9153937851095008	Anaheim Ducks
Anthony Stolarz	0.203976302046787	Anaheim Ducks
Karel Vejmelka	0.9323690960327861	Arizona Coyotes
Connor Ingram	0.16317582060840374	Arizona Coyotes
Linus Ullmark	0.9253586306683843	Boston Bruins
Jeremy Swayman	0.12666320318102528	Boston Bruins
Eric Comrie	0.6159199842939141	Buffalo Sabres
Craig Anderson	0.37908057750981083	Buffalo Sabres
Ukko-Pekka Luukkonen	0.03398882027165797	Buffalo Sabres
Jacob Markstrom	0.9385690364428804	Calgary Flames
Dan Vladar	0.15497472153350333	Calgary Flames
Frederik Andersen	0.31691737189597396	Carolina Hurricanes
Antti Raanta	0.31751128148493946	Carolina Hurricanes
Pyotr Kochetkov	0.15912398219476825	Carolina Hurricanes
Alex Stalock	0.1596703090506746	Chicago Blackhawks
Petr Mrazek	0.2559999957195032	Chicago Blackhawks
Arvid Soderblom	0.3483681084372	Chicago Blackhawks
Alexandar Georgiev	0.9058911862756163	Colorado Avalanche
Pavel Francouz	0.21525499413523794	Colorado Avalanche
Elvis Merzlikins	0.3417000231416848	Columbus Blue Jackets
Joonas Korpisalo	0.3269337299221491	Columbus Blue Jackets
Daniil Tarasov	0.12774966907843363	Columbus Blue Jackets
Scott Wedgewood	0.31877854847243103	Dallas Stars
Jake Oettinger	0.8476911525642357	Dallas Stars
Magnus Hellberg	0.02250950749016171	Detroit Red Wings
Alex Nedeljkovic	0.19622345832483917	Detroit Red Wings
Ville Husso	0.9221687793061454	Detroit Red Wings
Jack Campbell	0.6816591795206303	Edmonton Oilers
Stuart Skinner	0.5315010125592212	Edmonton Oilers
Sergei Bobrovsky	0.5861607843433305	Florida Panthers
Spencer Knight	0.6335450051289269	Florida Panthers
Jonathan Quick	0.8538832396422045	Los Angeles Kings
Cal Petersen	0.31450412177064885	Los Angeles Kings
Marc-Andre Fleury	0.832212586243235	Minnesota Wild
Filip Gustavsson	0.345604579863652	Minnesota Wild
Jake Allen	0.8326603225656041	Montréal Canadiens
Sam Montembeault	0.35192057517148545	Montréal Canadiens
Juuse Saros	0.9268179318293004	Nashville Predators
Kevin Lankinen	0.16765703366794948	Nashville Predators
Mackenzie Blackwood	0.1646065952915411	New Jersey Devils
Vitek Vanecek	0.7705367280057573	New Jersey Devils
Akira Schmid	0.054297250660203786	New Jersey Devils
Semyon Varlamov	0.2559782761576871	New York Islanders
Ilya Sorokin	0.8755975497919518	New York Islanders
Jaroslav Halak	0.154770375880873	New York Rangers
Igor Shesterkin	0.934792471909052	New York Rangers
Cam Talbot	0.3172271634910208	Ottawa Senators
Anton Forsberg	0.7556076857937764	Ottawa Senators
Felix Sandstrom	0.2528564436294111	Philadelphia Flyers
Carter Hart	0.8899165749772369	Philadelphia Flyers
Tristan Jarry	0.7976157935670101	Pittsburgh Penguins
Casey DeSmith	0.4051717711868812	Pittsburgh Penguins
James Reimer	0.8726616018455888	San Jose Sharks
Kaapo Kahkonen	0.26884442477007053	San Jose Sharks
Martin Jones	0.9415843635632062	Seattle Kraken
Philipp Grubauer	0.09377375222333961	Seattle Kraken
Thomas Greiss	0.14792928523877266	St. Louis Blues
Jordan Binnington	0.936246185671092	St. Louis Blues
Brian Elliott	0.1344408540126371	Tampa Bay Lightning
Andrei Vasilevskiy	0.9442796703113612	Tampa Bay Lightning
Ilya Samsonov	0.2468149745098633	Toronto Maple Leafs
Matt Murray	0.14335507691609187	Toronto Maple Leafs
Erik Kallgren	0.4012925377757777	Toronto Maple Leafs
Spencer Martin	0.34627293527568537	Vancouver Canucks
Thatcher Demko	0.8264624538556196	Vancouver Canucks
Adin Hill	0.27872944155921364	Vegas Golden Knights
Logan Thompson	0.867348564826029	Vegas Golden Knights
Darcy Kuemper	0.9164709041341853	Washington Capitals
Charlie Lindgren	0.18626929386607527	Washington Capitals
Connor Hellebuyck	0.962208286222693	Winnipeg Jets
David Rittich	0.09360847305128532	Winnipeg Jets
