Goalie	Utilization Base	Team
1 Connor Hellebuyck	48.71111111111111	Winnipeg Jets
2 Martin Jones	46.11969696969697	Seattle Kraken
3 Jordan Binnington	45.36376811594202	St. Louis Blues
4 Juuse Saros	44.81969696969697	Nashville Predators
5 Andrei Vasilevskiy	44.24710144927536	Tampa Bay Lightning
6 Alexandar Georgiev	43.12777777777777	Colorado Avalanche
7 Jacob Markstrom	42.99710144927536	Calgary Flames
8 Darcy Kuemper	42.911111111111104	Washington Capitals
9 Igor Shesterkin	42.636805555555554	New York Rangers
10 Carter Hart	41.87916666666667	Philadelphia Flyers
11 Karel Vejmelka	41.4525	Arizona Coyotes
12 John Gibson	41.3125	Anaheim Ducks
13 Linus Ullmark	41.00681818181818	Boston Bruins
14 Logan Thompson	40.708	Vegas Golden Knights
15 Ilya Sorokin	40.168055555555554	New York Islanders
16 Ville Husso	40.09318181818182	Detroit Red Wings
17 Marc-Andre Fleury	39.21666666666667	Minnesota Wild
18 Jake Allen	39.131159420289855	Montréal Canadiens
19 Jonathan Quick	38.536	Los Angeles Kings
20 Tristan Jarry	37.77847222222222	Pittsburgh Penguins
21 Jake Oettinger	37.21458333333333	Dallas Stars
22 Vitek Vanecek	36.79027777777778	New Jersey Devils
23 Thatcher Demko	36.33405797101449	Vancouver Canucks
24 James Reimer	34.67051282051282	San Jose Sharks
25 Anton Forsberg	31.031818181818185	Ottawa Senators
26 Spencer Knight	30.418840579710146	Florida Panthers
27 Jack Campbell	30.325694444444448	Edmonton Oilers
28 Stuart Skinner	29.23888888888889	Edmonton Oilers
29 Sergei Bobrovsky	29.191304347826087	Florida Panthers
30 Eric Comrie	26.218055555555555	Buffalo Sabres
31 Cam Talbot	25.437878787878788	Ottawa Senators
32 Arvid Soderblom	23.58181818181818	Chicago Blackhawks
33 Craig Anderson	23.556944444444444	Buffalo Sabres
34 Spencer Martin	23.423188405797102	Vancouver Canucks
35 Kaapo Kahkonen	22.887820512820515	San Jose Sharks
36 Scott Wedgewood	22.773611111111112	Dallas Stars
37 Casey DeSmith	22.479166666666668	Pittsburgh Penguins
38 Antti Raanta	21.92222222222222	Carolina Hurricanes
39 Elvis Merzlikins	21.710317460317462	Columbus Blue Jackets
40 Joonas Korpisalo	21.30873015873016	Columbus Blue Jackets
41 Sam Montembeault	21.07536231884058	Montréal Canadiens
42 Petr Mrazek	21.062121212121212	Chicago Blackhawks
43 Filip Gustavsson	20.82348484848485	Minnesota Wild
44 Ilya Samsonov	20.656	Toronto Maple Leafs
45 Alex Nedeljkovic	20.618939393939396	Detroit Red Wings
46 Frederik Andersen	20.242361111111112	Carolina Hurricanes
47 Semyon Varlamov	19.341666666666665	New York Islanders
48 Adin Hill	19.247333333333334	Vegas Golden Knights
49 Anthony Stolarz	19.150694444444444	Anaheim Ducks
50 Connor Ingram	18.669166666666666	Arizona Coyotes
51 Pyotr Kochetkov	18.449305555555558	Carolina Hurricanes
52 Felix Sandstrom	18.40486111111111	Philadelphia Flyers
53 Dan Vladar	17.38623188405797	Calgary Flames
54 Jaroslav Halak	17.325	New York Rangers
55 Pavel Francouz	16.95793650793651	Colorado Avalanche
56 Charlie Lindgren	16.860416666666666	Washington Capitals
57 Matt Murray	16.754666666666665	Toronto Maple Leafs
58 Jeremy Swayman	16.753030303030304	Boston Bruins
59 Brian Elliott	15.868115942028984	Tampa Bay Lightning
60 Kevin Lankinen	15.25530303030303	Nashville Predators
61 Mackenzie Blackwood	15.254166666666668	New Jersey Devils
62 Alex Stalock	14.918181818181818	Chicago Blackhawks
63 Thomas Greiss	14.459420289855073	St. Louis Blues
64 Philipp Grubauer	11.407575757575758	Seattle Kraken
65 David Rittich	11.342063492063492	Winnipeg Jets
66 Ukko-Pekka Luukkonen	10.077777777777778	Buffalo Sabres
67 Akira Schmid	8.071527777777778	New Jersey Devils
68 Magnus Hellberg	2.727272727272727	Detroit Red Wings
69 Aaron Dell	2.228846153846154	San Jose Sharks
