Goalie	Utilization Corrected	Team
1 Connor Hellebuyck	0.9647210229438511	Winnipeg Jets
2 Martin Jones	0.9486304339225898	Seattle Kraken
3 Jordan Binnington	0.9427544678744825	St. Louis Blues
4 Juuse Saros	0.9381404912509823	Nashville Predators
5 Andrei Vasilevskiy	0.9329110362902564	Tampa Bay Lightning
6 Alexandar Georgiev	0.9214868069734367	Colorado Avalanche
7 Jacob Markstrom	0.9200425555457195	Calgary Flames
8 Darcy Kuemper	0.9190789867859296	Washington Capitals
9 Igor Shesterkin	0.915934104008299	New York Rangers
10 Carter Hart	0.9066641044538378	Philadelphia Flyers
11 Karel Vejmelka	0.9010486308217859	Arizona Coyotes
12 John Gibson	0.8991414978628337	Anaheim Ducks
13 Linus Ullmark	0.8948636727142837	Boston Bruins
14 Logan Thompson	0.8905279262013381	Vegas Golden Knights
15 Ilya Sorokin	0.8822952887514863	New York Islanders
16 Ville Husso	0.8811122214240926	Detroit Red Wings
17 Marc-Andre Fleury	0.8664837329091667	Minnesota Wild
18 Jake Allen	0.864978001356576	Montréal Canadiens
19 Jonathan Quick	0.8540972185936634	Los Angeles Kings
20 Tristan Jarry	0.8392077539352898	Pittsburgh Penguins
21 Jake Oettinger	0.8273441645249091	Dallas Stars
22 Vitek Vanecek	0.8179681426707445	New Jersey Devils
23 Thatcher Demko	0.8074504331416154	Vancouver Canucks
24 James Reimer	0.7652199865198559	San Jose Sharks
25 Anton Forsberg	0.6525532932247727	Ottawa Senators
26 Spencer Knight	0.6312121238970425	Florida Panthers
27 Jack Campbell	0.6279213053476308	Edmonton Oilers
28 Stuart Skinner	0.5887177626980181	Edmonton Oilers
29 Sergei Bobrovsky	0.5869712231213892	Florida Panthers
30 Eric Comrie	0.47527900531746015	Buffalo Sabres
31 Cam Talbot	0.4459235482894347	Ottawa Senators
32 Arvid Soderblom	0.37793241539979694	Chicago Blackhawks
33 Craig Anderson	0.37704692873154166	Buffalo Sabres
34 Spencer Martin	0.37229950320448874	Vancouver Canucks
35 Kaapo Kahkonen	0.35355057868057016	San Jose Sharks
36 Scott Wedgewood	0.34960629982102837	Dallas Stars
37 Casey DeSmith	0.3395329665674971	Pittsburgh Penguins
38 Antti Raanta	0.32087604843594175	Carolina Hurricanes
39 Elvis Merzlikins	0.3139211731005865	Columbus Blue Jackets
40 Joonas Korpisalo	0.30096899361677726	Columbus Blue Jackets
41 Sam Montembeault	0.29358385565717987	Montréal Canadiens
42 Petr Mrazek	0.29316801529487524	Chicago Blackhawks
43 Filip Gustavsson	0.2857330885357349	Minnesota Wild
44 Ilya Samsonov	0.28058307621846396	Toronto Maple Leafs
45 Alex Nedeljkovic	0.27945117552762716	Detroit Red Wings
46 Frederik Andersen	0.2681097505791855	Carolina Hurricanes
47 Semyon Varlamov	0.24219514931026062	New York Islanders
48 Adin Hill	0.23958194695834112	Vegas Golden Knights
49 Anthony Stolarz	0.23692497115932887	Anaheim Ducks
50 Connor Ingram	0.22399062217091914	Arizona Coyotes
51 Pyotr Kochetkov	0.2182544699019088	Carolina Hurricanes
52 Felix Sandstrom	0.21710787283406188	Philadelphia Flyers
53 Dan Vladar	0.19202358190289784	Calgary Flames
54 Jaroslav Halak	0.19058849457044869	New York Rangers
55 Pavel Francouz	0.1821575147425592	Colorado Avalanche
56 Charlie Lindgren	0.1799669460998331	Washington Capitals
57 Matt Murray	0.17761480271273591	Toronto Maple Leafs
58 Jeremy Swayman	0.17757859600367268	Boston Bruins
59 Brian Elliott	0.15883832794337185	Tampa Bay Lightning
60 Kevin Lankinen	0.146823756434537	Nashville Predators
61 Mackenzie Blackwood	0.1468021931205448	New Jersey Devils
62 Alex Stalock	0.14054094040926776	Chicago Blackhawks
63 Thomas Greiss	0.1323540715609279	St. Louis Blues
64 Philipp Grubauer	0.08765313760373857	Seattle Kraken
65 David Rittich	0.08686270954291037	Winnipeg Jets
66 Ukko-Pekka Luukkonen	0.07282476513810235	Buffalo Sabres
67 Akira Schmid	0.05478390178284655	New Jersey Devils
68 Magnus Hellberg	0.025145023797930342	Detroit Red Wings
69 Aaron Dell	0.02335901093134364	San Jose Sharks
