Goalie	Win Rating Corrected	Team
John Gibson	0.27361338392174267	Anaheim Ducks
Anthony Stolarz	0.2257106832802917	Anaheim Ducks
Karel Vejmelka	0.8071408191261346	Arizona Coyotes
Connor Ingram	0.11821587592841075	Arizona Coyotes
Jeremy Swayman	0.2257106832802917	Boston Bruins
Keith Kinkaid	0.11821587592841075	Boston Bruins
Linus Ullmark	0.99368773829075	Boston Bruins
Craig Anderson	0.3879474378156959	Buffalo Sabres
Eric Comrie	0.5795179810741368	Buffalo Sabres
Jacob Markstrom	0.833437599128314	Calgary Flames
Dan Vladar	0.11821587592841075	Calgary Flames
Frederik Andersen	0.7497985638687769	Carolina Hurricanes
Antti Raanta	0.4502593126682439	Carolina Hurricanes
Pyotr Kochetkov	0.11821587592841075	Carolina Hurricanes
Alex Stalock	0.4502593126682439	Chicago Blackhawks
Petr Mrazek	0.14765541856467007	Chicago Blackhawks
Arvid Soderblom	0.27361338392174267	Chicago Blackhawks
Alexandar Georgiev	0.9482085842588723	Colorado Avalanche
Pavel Francouz	0.11821587592841075	Colorado Avalanche
Joonas Korpisalo	0.14765541856467007	Columbus Blue Jackets
Elvis Merzlikins	0.2257106832802917	Columbus Blue Jackets
Scott Wedgewood	0.4502593126682439	Dallas Stars
Jake Oettinger	0.7640859211003947	Dallas Stars
Alex Nedeljkovic	0.27361338392174267	Detroit Red Wings
Ville Husso	0.853901833564624	Detroit Red Wings
Jack Campbell	0.8669529091405187	Edmonton Oilers
Stuart Skinner	0.3879474378156959	Edmonton Oilers
Sergei Bobrovsky	0.4502593126682439	Florida Panthers
Spencer Knight	0.7640859211003947	Florida Panthers
Jonathan Quick	0.9009906988526996	Los Angeles Kings
Cal Petersen	0.5795179810741368	Los Angeles Kings
Marc-Andre Fleury	0.9009906988526996	Minnesota Wild
Filip Gustavsson	0.11821587592841075	Minnesota Wild
Jake Allen	0.7497985638687769	Montréal Canadiens
Sam Montembeault	0.4502593126682439	Montréal Canadiens
Juuse Saros	0.640404508240534	Nashville Predators
Kevin Lankinen	0.2257106832802917	Nashville Predators
Mackenzie Blackwood	0.5795179810741368	New Jersey Devils
Vitek Vanecek	0.8756597514563861	New Jersey Devils
Akira Schmid	0.2257106832802917	New Jersey Devils
Semyon Varlamov	0.3879474378156959	New York Islanders
Ilya Sorokin	0.9386990239131905	New York Islanders
Jaroslav Halak	0.07379170284534389	New York Rangers
Igor Shesterkin	0.9623610291016877	New York Rangers
Cam Talbot	0.11821587592841075	Ottawa Senators
Anton Forsberg	0.4502593126682439	Ottawa Senators
Felix Sandstrom	0.11821587592841075	Philadelphia Flyers
Carter Hart	0.9158253668053185	Philadelphia Flyers
Tristan Jarry	0.6970829771561231	Pittsburgh Penguins
Casey DeSmith	0.27361338392174267	Pittsburgh Penguins
James Reimer	0.5335436868820367	San Jose Sharks
Kaapo Kahkonen	0.14765541856467007	San Jose Sharks
Philipp Grubauer	0.07379170284534389	Seattle Kraken
Martin Jones	0.9518929761093698	Seattle Kraken
Magnus Hellberg	0.11821587592841075	Seattle Kraken
Thomas Greiss	0.05807566949409054	St. Louis Blues
Jordan Binnington	0.7640859211003947	St. Louis Blues
Brian Elliott	0.3879474378156959	Tampa Bay Lightning
Andrei Vasilevskiy	0.640404508240534	Tampa Bay Lightning
Matt Murray	0.05807566949409054	Toronto Maple Leafs
Ilya Samsonov	0.8669529091405187	Toronto Maple Leafs
Erik Kallgren	0.38610471886847947	Toronto Maple Leafs
Spencer Martin	0.4502593126682439	Vancouver Canucks
Thatcher Demko	0.18290562458699192	Vancouver Canucks
Adin Hill	0.7497985638687769	Vegas Golden Knights
Logan Thompson	0.9729623944893477	Vegas Golden Knights
Darcy Kuemper	0.8071408191261346	Washington Capitals
Charlie Lindgren	0.27361338392174267	Washington Capitals
Connor Hellebuyck	0.955327612198131	Winnipeg Jets
David Rittich	0.11821587592841075	Winnipeg Jets
