Team	Clutch Rating Base
Anaheim Ducks	0.5058391962676017
Arizona Coyotes	0.2686470398752202
Boston Bruins	0.9117395520976344
Buffalo Sabres	0.8444394366607173
Calgary Flames	0.4160987697944892
Carolina Hurricanes	0.19625000159244452
Chicago Blackhawks	0.007704691130371458
Colorado Avalanche	0.6599181324532625
Columbus Blue Jackets	0.8269972877883981
Dallas Stars	0.8366957224587128
Detroit Red Wings	0.457779730362277
Edmonton Oilers	0.7404316915731675
Florida Panthers	0.48465365935582944
Los Angeles Kings	0.5699134835743226
Minnesota Wild	0.5998377423847034
Montréal Canadiens	0.9117395520976344
Nashville Predators	0.30567572780752306
New Jersey Devils	0.8645325070145289
New York Islanders	0.9117395520976344
New York Rangers	0.10364638693361791
Ottawa Senators	0.2935494938344789
Philadelphia Flyers	0.7404316915731675
Pittsburgh Penguins	0.19262919869790313
San Jose Sharks	0.02839285126631806
Seattle Kraken	0.3801126830392211
St. Louis Blues	0.8562031417104569
Tampa Bay Lightning	0.6007621923502452
Toronto Maple Leafs	0.32142946580972437
Vancouver Canucks	0.02947525648159058
Vegas Golden Knights	0.6853598949329135
Washington Capitals	0.2437010665713424
Winnipeg Jets	0.9117395520976344
