Team	Offensive Rating Final
Anaheim Ducks	0.161475479712518
Arizona Coyotes	0.2821101848377368
Boston Bruins	0.8647068643757694
Buffalo Sabres	0.769080697457056
Calgary Flames	0.48853433888808484
Carolina Hurricanes	0.497776821002846
Chicago Blackhawks	0.21232350302646347
Colorado Avalanche	0.8556440226959541
Columbus Blue Jackets	0.17892591805283203
Dallas Stars	0.7223756047907905
Detroit Red Wings	0.2668631702312893
Edmonton Oilers	0.8230105258149254
Florida Panthers	0.5723871680782295
Los Angeles Kings	0.5673527150859338
Minnesota Wild	0.3971679459259244
Montréal Canadiens	0.3522780005187746
Nashville Predators	0.13842028100421036
New Jersey Devils	0.8145751533651336
New York Islanders	0.5627490337253689
New York Rangers	0.5566275305579486
Ottawa Senators	0.7230693493547259
Philadelphia Flyers	0.1399606459124914
Pittsburgh Penguins	0.7409985377637286
San Jose Sharks	0.2535740727688709
Seattle Kraken	0.5664392933898018
St. Louis Blues	0.16398314133073444
Tampa Bay Lightning	0.43827526616277407
Toronto Maple Leafs	0.4037403483054497
Vancouver Canucks	0.6516884110945224
Vegas Golden Knights	0.8187454999032695
Washington Capitals	0.27566447441619785
Winnipeg Jets	0.3863030420223053
