Team	Scoring Difference
Anaheim Ducks	0.23916684501352475
Arizona Coyotes	0.04179983614219849
Boston Bruins	0.7430781523591029
Buffalo Sabres	0.14639108133451786
Calgary Flames	0.9299292950037248
Carolina Hurricanes	0.9122348826811674
Chicago Blackhawks	0.0903569406603275
Colorado Avalanche	0.9098094457812331
Columbus Blue Jackets	0.23376446019817756
Dallas Stars	0.41657085885680345
Detroit Red Wings	0.0742111403406903
Edmonton Oilers	0.7378067201865668
Florida Panthers	0.947340899404112
Los Angeles Kings	0.5229909038005303
Minnesota Wild	0.8459102598549861
Montréal Canadiens	0.04697708185343187
Nashville Predators	0.5899668194677655
New Jersey Devils	0.15016997170478222
New York Islanders	0.4849846216801502
New York Rangers	0.8019714724371436
Ottawa Senators	0.22844746538037433
Philadelphia Flyers	0.07218133467677794
Pittsburgh Penguins	0.8066807217847413
San Jose Sharks	0.1792680091445144
Seattle Kraken	0.10366252135443912
St. Louis Blues	0.8934794973670086
Tampa Bay Lightning	0.850088404887335
Toronto Maple Leafs	0.8611725749055443
Vancouver Canucks	0.6120863244730693
Vegas Golden Knights	0.6331743624495098
Washington Capitals	0.7011057626218338
Winnipeg Jets	0.47751455611971333
