Team	Scoring Rating
Anaheim Ducks	0.21622428060795013
Arizona Coyotes	0.03514996175202005
Boston Bruins	0.7976507260944293
Buffalo Sabres	0.16220922913924155
Calgary Flames	0.9334241942121684
Carolina Hurricanes	0.9165653552568265
Chicago Blackhawks	0.1031476881450136
Colorado Avalanche	0.8795014105598007
Columbus Blue Jackets	0.19934433384314867
Dallas Stars	0.4180904299165654
Detroit Red Wings	0.09008544936560323
Edmonton Oilers	0.7234752444789074
Florida Panthers	0.9473656448060571
Los Angeles Kings	0.6275037138583055
Minnesota Wild	0.7883094556523719
Montréal Canadiens	0.06466320379032597
Nashville Predators	0.5051757586963662
New Jersey Devils	0.2448884215806807
New York Islanders	0.40585458552314546
New York Rangers	0.6833813619034788
Ottawa Senators	0.21828540280378367
Philadelphia Flyers	0.10765579002839452
Pittsburgh Penguins	0.8072501766725351
San Jose Sharks	0.19350114267304092
Seattle Kraken	0.20703941742151794
St. Louis Blues	0.7631232122869208
Tampa Bay Lightning	0.7930001872022306
Toronto Maple Leafs	0.8576809036081554
Vancouver Canucks	0.5873665530405916
Vegas Golden Knights	0.6941928017510386
Washington Capitals	0.7111200303491259
Winnipeg Jets	0.4583575349082422
