Team	Shooting Difference
Anaheim Ducks	0.14739658739122616
Arizona Coyotes	0.015200338581484717
Boston Bruins	0.9613684473004086
Buffalo Sabres	0.20966367255341253
Calgary Flames	0.9439088918374995
Carolina Hurricanes	0.9295567729838039
Chicago Blackhawks	0.14151993059907192
Colorado Avalanche	0.7885773048955035
Columbus Blue Jackets	0.09608395477806195
Dallas Stars	0.42264914309585155
Detroit Red Wings	0.13770837644034203
Edmonton Oilers	0.6804808173559295
Florida Panthers	0.9474398810118926
Los Angeles Kings	0.9410421440316312
Minnesota Wild	0.6155070430445292
Montréal Canadiens	0.11772156960100828
Nashville Predators	0.25080257638216824
New Jersey Devils	0.5290437712083761
New York Islanders	0.16846447705213138
New York Rangers	0.3276110303024841
Ottawa Senators	0.18779921507401165
Philadelphia Flyers	0.2140791560832443
Pittsburgh Penguins	0.8089585413359165
San Jose Sharks	0.2362005432586205
Seattle Kraken	0.5171701056227543
St. Louis Blues	0.3720543570466573
Tampa Bay Lightning	0.6217355341469174
Toronto Maple Leafs	0.8472058897159888
Vancouver Canucks	0.5132072387431584
Vegas Golden Knights	0.877248119655625
Washington Capitals	0.741162833531002
Winnipeg Jets	0.400886471273829
