Team	Special Teams
Anaheim Ducks	0.6838306671410541
Arizona Coyotes	0.04513279380140521
Boston Bruins	0.6717301824591717
Buffalo Sabres	0.34489361889044245
Calgary Flames	0.8472804344419466
Carolina Hurricanes	0.9423481918792019
Chicago Blackhawks	0.2225117806218033
Colorado Avalanche	0.7404848399288306
Columbus Blue Jackets	0.32030191372442385
Dallas Stars	0.6013893527809389
Detroit Red Wings	0.06183281352080492
Edmonton Oilers	0.820463079867124
Florida Panthers	0.7509904281442176
Los Angeles Kings	0.12223447969496755
Minnesota Wild	0.2852393117428815
Montréal Canadiens	0.04885332378434733
Nashville Predators	0.7351253385078629
New Jersey Devils	0.2422716391964913
New York Islanders	0.8543133452490138
New York Rangers	0.8910303517655234
Ottawa Senators	0.478152340292643
Philadelphia Flyers	0.03848662299214395
Pittsburgh Penguins	0.7854715582495946
San Jose Sharks	0.7662074664940784
Seattle Kraken	0.052863576589099494
St. Louis Blues	0.9568397766817602
Tampa Bay Lightning	0.7807660551189761
Toronto Maple Leafs	0.9308624081111619
Vancouver Canucks	0.39653697068171895
Vegas Golden Knights	0.24227163919649203
Washington Capitals	0.4505943966837525
Winnipeg Jets	0.2578548353063553
