Team	Strength of Schedule Corrected
Anaheim Ducks	0.018946310584565713
Arizona Coyotes	0.45259523978804833
Boston Bruins	0.9819330586227136
Buffalo Sabres	0.6536433882650976
Calgary Flames	0.46717084427569355
Carolina Hurricanes	0.21924182667240483
Chicago Blackhawks	0.14037152230169297
Colorado Avalanche	0.5701984561663369
Columbus Blue Jackets	0.36079768982482985
Dallas Stars	0.3241554766232463
Detroit Red Wings	0.23120820744093457
Edmonton Oilers	0.9553530427408656
Florida Panthers	0.27772651774277807
Los Angeles Kings	0.699781490544144
Minnesota Wild	0.14608000739934673
Montréal Canadiens	0.28551275873592763
Nashville Predators	0.4319673599331566
New Jersey Devils	0.9727618143885575
New York Islanders	0.9562906444580874
New York Rangers	0.17592141638976058
Ottawa Senators	0.5966118423958426
Philadelphia Flyers	0.6713718609624841
Pittsburgh Penguins	0.20756506169430386
San Jose Sharks	0.231054750640469
Seattle Kraken	0.9293852535195477
St. Louis Blues	0.1703536844931431
Tampa Bay Lightning	0.31690169066872775
Toronto Maple Leafs	0.6105415848021114
Vancouver Canucks	0.13438690306678844
Vegas Golden Knights	0.7703180961256246
Washington Capitals	0.34716748296589695
Winnipeg Jets	0.8672501701541503
