Team	Win Rating Base
Anaheim Ducks	0.16825285714285715
Arizona Coyotes	0.42105210526315795
Boston Bruins	0.7666657142857143
Buffalo Sabres	0.4126980952380952
Calgary Flames	0.41745952380952384
Carolina Hurricanes	0.4787868181818181
Chicago Blackhawks	0.33333199999999996
Colorado Avalanche	0.5368415789473684
Columbus Blue Jackets	0.3333325
Dallas Stars	0.6060599999999999
Detroit Red Wings	0.554999
Edmonton Oilers	0.5079361904761904
Florida Panthers	0.48095190476190475
Los Angeles Kings	0.4826078260869564
Minnesota Wild	0.40499900000000005
Montréal Canadiens	0.3793642857142857
Nashville Predators	0.39333299999999993
New Jersey Devils	0.7727263636363637
New York Islanders	0.6086947826086957
New York Rangers	0.49999909090909095
Ottawa Senators	0.36666649999999995
Philadelphia Flyers	0.39393863636363635
Pittsburgh Penguins	0.504545
San Jose Sharks	0.2797091304347826
Seattle Kraken	0.6166655
St. Louis Blues	0.44920571428571426
Tampa Bay Lightning	0.5666655
Toronto Maple Leafs	0.6231873913043477
Vancouver Canucks	0.4285709523809524
Vegas Golden Knights	0.666665652173913
Washington Capitals	0.4202891304347826
Winnipeg Jets	0.5438573684210526
