Team	Defensive Rating Final
Anaheim Ducks	0.013743127520924013
Arizona Coyotes	0.284159769410664
Boston Bruins	0.8799986734734698
Buffalo Sabres	0.33285377421108914
Calgary Flames	0.6436750126752506
Carolina Hurricanes	0.7148046773536143
Chicago Blackhawks	0.3966483725036961
Colorado Avalanche	0.5388651389979898
Columbus Blue Jackets	0.15011165173371688
Dallas Stars	0.7910659049695417
Detroit Red Wings	0.39891053757594164
Edmonton Oilers	0.14184787286952666
Florida Panthers	0.5277666507336319
Los Angeles Kings	0.44086344123356697
Minnesota Wild	0.6187108322309891
Montréal Canadiens	0.43501140312705955
Nashville Predators	0.4240599906083944
New Jersey Devils	0.8576096754028524
New York Islanders	0.7176064443014478
New York Rangers	0.7566216828316394
Ottawa Senators	0.2827391811632187
Philadelphia Flyers	0.572485933444141
Pittsburgh Penguins	0.2388711352559169
San Jose Sharks	0.4891208065475865
Seattle Kraken	0.7324993077033628
St. Louis Blues	0.21419682658222342
Tampa Bay Lightning	0.5218563641614606
Toronto Maple Leafs	0.7432788186250587
Vancouver Canucks	0.12190201592427792
Vegas Golden Knights	0.7600175251206467
Washington Capitals	0.6856653697966748
Winnipeg Jets	0.7863267541803338
