Team	Recent Form
Anaheim Ducks	0.17746173443702765
Arizona Coyotes	0.5
Boston Bruins	0.8953281424264975
Buffalo Sabres	0.28495789429901025
Calgary Flames	0.9554836025886468
Carolina Hurricanes	0.822403934169726
Chicago Blackhawks	0.3512293125232401
Colorado Avalanche	0.7731808542245397
Columbus Blue Jackets	0.6485610208947424
Dallas Stars	0.9554836025886468
Detroit Red Wings	0.28495789429901025
Edmonton Oilers	0.5759965306810308
Florida Panthers	0.7150421057009898
Los Angeles Kings	0.8629487074245404
Minnesota Wild	0.28495789429901025
Montreal Canadiens	0.8629487074245404
Nashville Predators	0.28495789429901025
New Jersey Devils	0.28495789429901025
New York Islanders	0.42377879847794564
New York Rangers	0.8953281424264975
Ottawa Senators	0.17746173443702765
Philadelphia Flyers	0.10458567051895498
Pittsburgh Penguins	0.822403934169726
San Jose Sharks	0.13694252212606156
Seattle Kraken	0.0791727701829794
St. Louis Blues	0.7731808542245397
Tampa Bay Lightning	0.8953281424264975
Toronto Maple Leafs	0.5759965306810308
Vancouver Canucks	0.8629487074245404
Vegas Golden Knights	0.3512293125232401
Washington Capitals	0.5
Winnipeg Jets	0.42377879847794564
