Team	Scoring Difference
Anaheim Ducks	0.5728814081254422
Arizona Coyotes	0.029981221757908516
Boston Bruins	0.6987733384935599
Buffalo Sabres	0.13329972800532203
Calgary Flames	0.8252745162556823
Carolina Hurricanes	0.9331793573966354
Chicago Blackhawks	0.11520565910156859
Colorado Avalanche	0.936035989292029
Columbus Blue Jackets	0.20646914141734418
Dallas Stars	0.4030716078709058
Detroit Red Wings	0.16307072646702245
Edmonton Oilers	0.5
Florida Panthers	0.9432733026812842
Los Angeles Kings	0.5382584045560131
Minnesota Wild	0.8813344560484251
Montreal Canadiens	0.02193109952972463
Nashville Predators	0.7150421057009897
New Jersey Devils	0.1992964004598199
New York Islanders	0.36008390326226586
New York Rangers	0.704514446303059
Ottawa Senators	0.1895968938194284
Philadelphia Flyers	0.12629846935071284
Pittsburgh Penguins	0.8617075686259987
San Jose Sharks	0.3247958668116737
Seattle Kraken	0.11046044207379058
St. Louis Blues	0.8419390987613873
Tampa Bay Lightning	0.8070743807140014
Toronto Maple Leafs	0.8629487074245404
Vancouver Canucks	0.36008390326226586
Vegas Golden Knights	0.6827993860934125
Washington Capitals	0.7641477400300309
Winnipeg Jets	0.45802585001961427
