Team	Shooting Difference
Anaheim Ducks	0.19372269577057136
Arizona Coyotes	0.023522369045592382
Boston Bruins	0.947747481182744
Buffalo Sabres	0.062152285111320926
Calgary Flames	0.95417424359168
Carolina Hurricanes	0.9009656167252947
Chicago Blackhawks	0.20849848803335969
Colorado Avalanche	0.8574169883779952
Columbus Blue Jackets	0.05457802670323421
Dallas Stars	0.545870656554194
Detroit Red Wings	0.1482996340890728
Edmonton Oilers	0.5909756196683736
Florida Panthers	0.8879529614430097
Los Angeles Kings	0.952120310150081
Minnesota Wild	0.6130141761393355
Montreal Canadiens	0.06488821852707806
Nashville Predators	0.2489911653930035
New Jersey Devils	0.6345994816941168
New York Islanders	0.22408804865669954
New York Rangers	0.1797562183987463
Ottawa Senators	0.22408804865669985
Philadelphia Flyers	0.1425830116220047
Pittsburgh Penguins	0.8967848191197313
San Jose Sharks	0.3761316860104211
Seattle Kraken	0.43143470092229486
St. Louis Blues	0.34434289450151584
Tampa Bay Lightning	0.5685652990777051
Toronto Maple Leafs	0.83341138642454
Vancouver Canucks	0.5685652990777047
Vegas Golden Knights	0.8574169883779952
Washington Capitals	0.8202437816012537
Winnipeg Jets	0.6556571054984841
