Team	Special Teams
Anaheim Ducks	0.9049950088534093
Arizona Coyotes	0.022999830032522695
Boston Bruins	0.8709067613736678
Buffalo Sabres	0.1973404882826158
Calgary Flames	0.8427720692212612
Carolina Hurricanes	0.9551694957054216
Chicago Blackhawks	0.13170121998139944
Colorado Avalanche	0.7150421057009898
Columbus Blue Jackets	0.36540051830588277
Dallas Stars	0.6292498476593305
Detroit Red Wings	0.13435376057997278
Edmonton Oilers	0.8487717474909259
Florida Panthers	0.6451986045631828
Los Angeles Kings	0.09304580908461718
Minnesota Wild	0.4201884100030748
Montreal Canadiens	0.0328945674191934
Nashville Predators	0.7759119513433007
New Jersey Devils	0.31388900042858553
New York Islanders	0.31886341639711585
New York Rangers	0.8902209518637819
Ottawa Senators	0.47701620894755137
Philadelphia Flyers	0.1482996340890726
Pittsburgh Penguins	0.8334113864245404
San Jose Sharks	0.47701620894755214
Seattle Kraken	0.1797562183987461
St. Louis Blues	0.9705737426214051
Tampa Bay Lightning	0.5629147648722985
Toronto Maple Leafs	0.9850207972618469
Vancouver Canucks	0.06920280637862578
Vegas Golden Knights	0.4712816430485603
Washington Capitals	0.3340330732481797
Winnipeg Jets	0.20849848803335913
