Team	Strength of Schedule
Anaheim Ducks	0.24125452171970593
Arizona Coyotes	0.020071212348718427
Boston Bruins	0.7705808077894076
Buffalo Sabres	0.01836147603852576
Calgary Flames	0.7656617425567471
Carolina Hurricanes	0.9167710441301703
Chicago Blackhawks	0.09036730537285105
Colorado Avalanche	0.9199647800803072
Columbus Blue Jackets	0.48438298456927203
Dallas Stars	0.7507323028301572
Detroit Red Wings	0.21049457072748698
Edmonton Oilers	0.4220684850961964
Florida Panthers	0.9299079041958755
Los Angeles Kings	0.6136591392597794
Minnesota Wild	0.7261981488006146
Montreal Canadiens	0.010555749339097956
Nashville Predators	0.6364861962507308
New Jersey Devils	0.04441330600314354
New York Islanders	0.07635957682181584
New York Rangers	0.8630339526417787
Ottawa Senators	0.09331284694799546
Philadelphia Flyers	0.037787058998520764
Pittsburgh Penguins	0.7170014657679797
San Jose Sharks	0.1935552563414571
Seattle Kraken	0.02058921545793127
St. Louis Blues	0.6377894389039072
Tampa Bay Lightning	0.9051428446821924
Toronto Maple Leafs	0.8127405937400484
Vancouver Canucks	0.37391025844549614
Vegas Golden Knights	0.6733828750173313
Washington Capitals	0.5027475306782956
Winnipeg Jets	0.17549914298490008
