Team	Defensive Rating Final
Anaheim Ducks	0.021809110383162113
Arizona Coyotes	0.1834134118653603
Boston Bruins	0.9413359278043145
Buffalo Sabres	0.21162627991184457
Calgary Flames	0.7118872804587828
Carolina Hurricanes	0.8462623361992596
Chicago Blackhawks	0.18968308193042085
Colorado Avalanche	0.5467540719989555
Columbus Blue Jackets	0.13750644414996827
Dallas Stars	0.7395634406528112
Detroit Red Wings	0.5398917533851519
Edmonton Oilers	0.21613876488594236
Florida Panthers	0.44042052755283545
Los Angeles Kings	0.35096654581509795
Minnesota Wild	0.6339393504239973
Montréal Canadiens	0.33051082611151894
Nashville Predators	0.4666111241153085
New Jersey Devils	0.93118133680102
New York Islanders	0.7075050820891092
New York Rangers	0.7743908530878517
Ottawa Senators	0.3801404202016189
Philadelphia Flyers	0.4008322021612577
Pittsburgh Penguins	0.547506453543065
San Jose Sharks	0.46949787272771776
Seattle Kraken	0.5332177168987783
St. Louis Blues	0.13873886144375835
Tampa Bay Lightning	0.6501950899347648
Toronto Maple Leafs	0.854629194883428
Vancouver Canucks	0.140862533980679
Vegas Golden Knights	0.647151232149081
Washington Capitals	0.7116015555513744
Winnipeg Jets	0.7745189996842058
