Team	Goals Against Base
New Jersey Devils	2.333
New York Islanders	2.759
New York Rangers	2.793
Philadelphia Flyers	3.276
Pittsburgh Penguins	2.964
Boston Bruins	2.154
Buffalo Sabres	3.679
Montréal Canadiens	3.556
Ottawa Senators	3.296
Toronto Maple Leafs	2.414
Carolina Hurricanes	2.704
Florida Panthers	3.286
Tampa Bay Lightning	3.0
Washington Capitals	2.9
Chicago Blackhawks	3.538
Detroit Red Wings	3.111
Nashville Predators	3.08
St. Louis Blues	3.857
Calgary Flames	3.071
Colorado Avalanche	2.808
Edmonton Oilers	3.464
Vancouver Canucks	3.857
Anaheim Ducks	4.214
Dallas Stars	2.821
Los Angeles Kings	3.613
San Jose Sharks	3.567
Columbus Blue Jackets	4.074
Minnesota Wild	3.074
Winnipeg Jets	2.556
Arizona Coyotes	3.615
Vegas Golden Knights	2.655
Seattle Kraken	3.192
