Team	Goals Against Corrected
New Jersey Devils	0.9512674393873276
New York Islanders	0.8100086752336642
New York Rangers	0.7906158751730143
Philadelphia Flyers	0.40220051057409945
Pittsburgh Penguins	0.6721546488680893
Boston Bruins	0.9736789771318383
Buffalo Sabres	0.1375789542757955
Montréal Canadiens	0.19840810481875767
Ottawa Senators	0.38515342569671385
Toronto Maple Leafs	0.9359663689551143
Carolina Hurricanes	0.8384159657570731
Florida Panthers	0.3936445966965356
Tampa Bay Lightning	0.6432226482115788
Washington Capitals	0.7204129236646917
Chicago Blackhawks	0.2088304098678757
Detroit Red Wings	0.5480915583324655
Nashville Predators	0.5753403120756514
St. Louis Blues	0.0778991060676413
Calgary Flames	0.5831736907304552
Colorado Avalanche	0.7816097514948146
Edmonton Oilers	0.25583837415318744
Vancouver Canucks	0.0778991060676413
Anaheim Ducks	0.023062820098252883
Dallas Stars	0.7735813042137613
Los Angeles Kings	0.1680041631502726
San Jose Sharks	0.1922341497827402
Columbus Blue Jackets	0.03746309522774888
Minnesota Wild	0.5805670222754374
Winnipeg Jets	0.897985963139201
Arizona Coyotes	0.16700814055841356
Vegas Golden Knights	0.8607440490970024
Seattle Kraken	0.4759401033660086
