Team	Goals For Corrected
New Jersey Devils	0.9178130695726165
New York Islanders	0.5070735075708283
New York Rangers	0.3565678419517545
Philadelphia Flyers	0.033263813658376794
Pittsburgh Penguins	0.8402291173936062
Boston Bruins	0.967537534235474
Buffalo Sabres	0.9568441798396187
Montréal Canadiens	0.2545663890994419
Ottawa Senators	0.39867447233551256
Toronto Maple Leafs	0.5461641931149978
Carolina Hurricanes	0.2243911296707235
Florida Panthers	0.7347647493341449
Tampa Bay Lightning	0.8297322612103984
Washington Capitals	0.2330890760475762
Chicago Blackhawks	0.029327922653109975
Detroit Red Wings	0.39867447233551256
Nashville Predators	0.0733926248474883
St. Louis Blues	0.2882151188958547
Calgary Flames	0.35862730130452236
Colorado Avalanche	0.4019026492976723
Edmonton Oilers	0.8946895024590669
Vancouver Canucks	0.7920278283688402
Anaheim Ducks	0.03549518786869045
Dallas Stars	0.9320866685042882
Los Angeles Kings	0.7294902929977581
San Jose Sharks	0.3911766628123814
Columbus Blue Jackets	0.28729641597664735
Minnesota Wild	0.39867447233551256
Winnipeg Jets	0.6420168441906041
Arizona Coyotes	0.14453044630090653
Vegas Golden Knights	0.6211608064551336
Seattle Kraken	0.8173600590845289
