Team	Offensive Rating Final
Anaheim Ducks	0.10822101578161013
Arizona Coyotes	0.15046628140436902
Boston Bruins	0.9478296367614877
Buffalo Sabres	0.8662073534944719
Calgary Flames	0.48399491955145374
Carolina Hurricanes	0.4037963371211683
Chicago Blackhawks	0.14161954714907254
Colorado Avalanche	0.5950766945274832
Columbus Blue Jackets	0.21959488322994514
Dallas Stars	0.8089557365524604
Detroit Red Wings	0.3542504760494011
Edmonton Oilers	0.8179599205021368
Florida Panthers	0.7114718652279958
Los Angeles Kings	0.6927522317926957
Minnesota Wild	0.5157634510851875
Montréal Canadiens	0.18633919536108617
Nashville Predators	0.139554085665977
New Jersey Devils	0.8018023621940017
New York Islanders	0.5168641725411387
New York Rangers	0.5014669054847175
Ottawa Senators	0.612079626999006
Philadelphia Flyers	0.0905793693959572
Pittsburgh Penguins	0.7106072769492033
San Jose Sharks	0.36426446542855734
Seattle Kraken	0.6029283704990662
St. Louis Blues	0.32140242285069937
Tampa Bay Lightning	0.766381490188041
Toronto Maple Leafs	0.5643261044427457
Vancouver Canucks	0.662779363196614
Vegas Golden Knights	0.5928108186831771
Washington Capitals	0.3219604042516113
Winnipeg Jets	0.5374169602689448
