Team	Penalty Kill Base
New Jersey Devils	81.8
New York Islanders	81.8
New York Rangers	79.5
Philadelphia Flyers	74.4
Pittsburgh Penguins	82.0
Boston Bruins	85.9
Buffalo Sabres	70.5
Montréal Canadiens	80.7
Ottawa Senators	78.0
Toronto Maple Leafs	79.8
Carolina Hurricanes	79.3
Florida Panthers	77.4
Tampa Bay Lightning	79.6
Washington Capitals	81.4
Chicago Blackhawks	74.2
Detroit Red Wings	79.5
Nashville Predators	77.5
St. Louis Blues	65.6
Calgary Flames	80.2
Colorado Avalanche	76.1
Edmonton Oilers	71.3
Vancouver Canucks	68.2
Anaheim Ducks	66.7
Dallas Stars	84.6
Los Angeles Kings	71.6
San Jose Sharks	84.9
Columbus Blue Jackets	77.5
Minnesota Wild	78.9
Winnipeg Jets	83.6
Arizona Coyotes	75.9
Vegas Golden Knights	73.3
Seattle Kraken	68.6
