Team	Penalty Kill Corrected
New Jersey Devils	0.8230772396503251
New York Islanders	0.8230772396503251
New York Rangers	0.6833456992657642
Philadelphia Flyers	0.2820954237559569
Pittsburgh Penguins	0.8325951173645011
Boston Bruins	0.9481737763940793
Buffalo Sabres	0.09651154944223689
Montréal Canadiens	0.7631382105915786
Ottawa Senators	0.5666571150499797
Toronto Maple Leafs	0.7046173519001682
Carolina Hurricanes	0.6687185343217263
Florida Panthers	0.5169532562900767
Tampa Bay Lightning	0.690527788124301
Washington Capitals	0.8027776631108124
Chicago Blackhawks	0.26876713798293744
Detroit Red Wings	0.6833456992657642
Nashville Predators	0.5252875829158149
St. Louis Blues	0.02037049753252081
Calgary Flames	0.7316428946400544
Colorado Avalanche	0.40942793518273957
Edmonton Oilers	0.12245128080287906
Vancouver Canucks	0.04721187071726168
Anaheim Ducks	0.029150133505240993
Dallas Stars	0.9221893121234308
Los Angeles Kings	0.13363128281615477
San Jose Sharks	0.9290814754916923
Columbus Blue Jackets	0.5252875829158149
Minnesota Wild	0.6384871993428076
Winnipeg Jets	0.8945887706651945
Arizona Coyotes	0.39338009152417014
Vegas Golden Knights	0.2139184449212442
Seattle Kraken	0.05359795828722052
