Team	Power Play Base
New Jersey Devils	21.2
New York Islanders	23.0
New York Rangers	22.1
Philadelphia Flyers	16.3
Pittsburgh Penguins	20.0
Boston Bruins	28.7
Buffalo Sabres	28.0
Montréal Canadiens	15.7
Ottawa Senators	26.5
Toronto Maple Leafs	25.3
Carolina Hurricanes	17.2
Florida Panthers	19.8
Tampa Bay Lightning	27.7
Washington Capitals	21.9
Chicago Blackhawks	23.5
Detroit Red Wings	21.4
Nashville Predators	16.7
St. Louis Blues	22.4
Calgary Flames	20.4
Colorado Avalanche	29.0
Edmonton Oilers	30.7
Vancouver Canucks	27.3
Anaheim Ducks	15.0
Dallas Stars	25.3
Los Angeles Kings	24.1
San Jose Sharks	21.8
Columbus Blue Jackets	14.7
Minnesota Wild	24.7
Winnipeg Jets	22.7
Arizona Coyotes	21.4
Vegas Golden Knights	21.9
Seattle Kraken	24.4
