Team	Power Play Corrected
New Jersey Devils	0.36235809729140606
New York Islanders	0.5504771492379217
New York Rangers	0.45480554564667963
Philadelphia Flyers	0.06567475294431603
Pittsburgh Penguins	0.25407940009148494
Boston Bruins	0.9330044548728029
Buffalo Sabres	0.9117520215871548
Montréal Canadiens	0.05161127769519852
Ottawa Senators	0.8449371475403584
Toronto Maple Leafs	0.7655950623532101
Carolina Hurricanes	0.09353313622508304
Florida Panthers	0.23825377352149105
Tampa Bay Lightning	0.9008995827529916
Washington Capitals	0.4337475519670665
Chicago Blackhawks	0.602492306592087
Detroit Red Wings	0.3822901053155783
Nashville Predators	0.0769519170824149
St. Louis Blues	0.4866742907876542
Calgary Flames	0.2877446841880324
Colorado Avalanche	0.9405730203283788
Edmonton Oilers	0.9703107470039043
Vancouver Canucks	0.8845917777238513
Anaheim Ducks	0.03880639327075225
Dallas Stars	0.7655950623532101
Los Angeles Kings	0.6619004588760116
San Jose Sharks	0.42330277571386693
Columbus Blue Jackets	0.03430529744997604
Minnesota Wild	0.7166062083398709
Winnipeg Jets	0.5186517530301116
Arizona Coyotes	0.3822901053155783
Vegas Golden Knights	0.4337475519670665
Seattle Kraken	0.6899171371421692
