Team	Recent Form Rating
Anaheim Ducks	0.06812954599991787
Arizona Coyotes	0.26391049478929407
Boston Bruins	0.7679707465616643
Buffalo Sabres	0.4838636686882147
Calgary Flames	0.2905166188213447
Carolina Hurricanes	0.6888821130397781
Chicago Blackhawks	0.014818679030124685
Colorado Avalanche	0.28158969314076476
Columbus Blue Jackets	0.3102225603000064
Dallas Stars	0.6507458559896522
Detroit Red Wings	0.5021107688711248
Edmonton Oilers	0.6507458559896522
Florida Panthers	0.25581095191696557
Los Angeles Kings	0.3558267588107593
Minnesota Wild	0.7951696717488858
Montréal Canadiens	0.40939931834094606
Nashville Predators	0.606815387861884
New Jersey Devils	0.7679707465616643
New York Islanders	0.5565048303739855
New York Rangers	0.5193702267754963
Ottawa Senators	0.47500747679737115
Philadelphia Flyers	0.0920742038558425
Pittsburgh Penguins	0.9561786461380019
San Jose Sharks	0.19860679131303072
Seattle Kraken	0.7951696717488858
St. Louis Blues	0.0750462610720502
Tampa Bay Lightning	0.8238025389081274
Toronto Maple Leafs	0.95847360105629
Vancouver Canucks	0.5565048303739855
Vegas Golden Knights	0.6221129888304106
Washington Capitals	0.8849013991410194
Winnipeg Jets	0.7295615132924607
